TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e s      ,Cause_Status,State_A_A,State_A_FA,State_A_FPA,State_A_PA,State_A_SPA,State_FA_A,State_FA_FA,State_FA_FPA,State_FA_PA,State_FPA_FPA,State_FPA_FSPA,State_FPA_PA,State_FRPA_FPA,State_FSPA_FSPA,State_PA_A,State_PA_FPA,State_PA_FSPA,State_PA_PA,State_PA_SPA,State_RA_PA,State_R_PA,State_SA_SPA,State_SPA_FSPA,State_SPA_SPA,State_S_RA,State_S_SA,State__A,State__FA,State__FPA,State__PA,State__SA,TcpOpt_MwsS  T,label
973.0,758.0,215.0,0.0,0.0,189.5,71.666664,64256.0,31872.0,0.557846,1721542272.0,0.557846,0.0,0.557846,0.557846,0.557846,62.0,64.0,0.227827,0.034451,0.193376,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.0,10225.043945,8159.958008,2065.085938,0.0,0.0,10.755656,5.377828,3.585219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
276.0,144.0,132.0,0.0,0.0,72.0,66.0,64256.0,31872.0,0.40975,1721542272.0,0.40975,0.0,0.40975,0.40975,0.40975,62.0,64.0,0.227827,0.034451,0.193376,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,2694.325684,1405.735107,1288.590576,0.0,0.0,7.321537,2.440512,2.440512,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1167.0,561.0,606.0,0.0,0.0,80.14286,86.571426,64256.0,31872.0,0.908971,1721542272.0,0.908971,0.0,0.908971,0.908971,0.908971,62.0,64.0,0.093395,0.001993,0.091402,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,8809.961914,4233.358398,4576.603516,0.0,0.0,14.301887,6.600871,6.600871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
708.0,560.0,148.0,0.0,0.0,560.0,74.0,64256.0,31872.0,0.623933,1721542272.0,0.623933,0.0,0.623933,0.623933,0.623933,62.0,64.0,0.093395,0.001993,0.091402,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,-0.0,948.819824,0.0,948.819824,25.0,0.0,3.205472,0.0,1.602736,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
563.0,282.0,281.0,0.0,0.0,70.5,70.25,64256.0,31872.0,0.406303,1721542272.0,0.406303,0.0,0.406303,0.406303,0.406303,62.0,64.0,0.093395,0.001993,0.091402,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.0,8328.759766,4174.224609,4154.535156,0.0,0.0,17.228521,7.383652,7.383652,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1771.0,1091.0,680.0,0.0,0.0,136.375,85.0,64256.0,31872.0,0.930594,1721542272.0,0.930594,0.0,0.930594,0.930594,0.930594,62.0,64.0,0.200341,0.00149,0.198851,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.0,13324.822266,8209.80957,5115.012207,0.0,0.0,16.118736,7.522077,7.522077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
345.0,138.0,207.0,0.0,0.0,69.0,69.0,64256.0,31872.0,0.211689,1721542272.0,0.211689,0.0,0.211689,0.211689,0.211689,62.0,64.0,0.200341,0.00149,0.198851,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.0,7822.796875,2607.598877,5215.197754,0.0,0.0,18.895645,4.723911,9.447823,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2128.0,1241.0,887.0,0.0,0.0,124.099998,80.63636,64256.0,31872.0,0.89339,1721542272.0,0.89339,0.0,0.89339,0.89339,0.89339,62.0,64.0,0.095386,0.004967,0.090419,21.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.0,17228.757812,10002.350586,7226.407227,0.0,0.0,22.386641,10.073988,11.19332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
992.0,489.0,503.0,0.0,0.0,81.5,83.833336,64256.0,31872.0,0.858541,1721542272.0,0.858541,0.0,0.858541,0.858541,0.858541,62.0,64.0,0.278358,0.003476,0.274882,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,-0.0,7715.414551,3801.798584,3913.616211,0.0,0.0,12.812434,5.823833,5.823833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1154.0,770.0,384.0,0.0,0.0,192.5,76.800003,64256.0,31872.0,0.58602,1721542272.0,0.58602,0.0,0.58602,0.58602,0.58602,62.0,64.0,0.278358,0.003476,0.274882,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.0,12095.150391,7890.515625,4204.634766,0.0,0.0,13.651411,5.119279,6.825706,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
