application,window,seed,partition,n,silhouette_n,ari,ami,mapped_balanced_accuracy,silhouette,occupied_clusters,recall_low,recall_medium,recall_high
SFTP,20,123,train,8210,1000,0.2963122396902204,0.33370727140395795,0.5858945653150874,0.3868181839741523,3,0.9385474860335196,0.2789237668161435,0.5402124430955993
SFTP,20,123,validation,3030,1000,0.31425791745460946,0.339362006150536,0.4904271228829402,0.3949111369505317,3,0.869177403369673,0.19243243243243244,0.4096715328467153
SMTP,1,0,train,2027,1000,0.08326502529306043,0.11993130210651094,0.5486865182125827,0.4206387907005482,3,0.925,0.09750297265160524,0.6235565819861432
SMTP,1,0,validation,1195,1000,0.10595526239151315,0.14886359722870934,0.467030169434077,0.3747124656225486,3,0.6142131979695431,0.3269230769230769,0.459954233409611
SMTP,1,21,train,2027,1000,0.07337552648412995,0.11211858175811304,0.5385529571361488,0.4265419332830937,3,0.925,0.08442330558858502,0.6062355658198614
SMTP,1,21,validation,1195,1000,0.10571570002368882,0.14021135126731585,0.4520721740517533,0.381623853095939,3,0.6421319796954315,0.27472527472527475,0.43935926773455375
SMTP,1,42,train,2027,1000,0.07025847895027279,0.11018970366342887,0.5366283997843397,0.427081187938579,3,0.925,0.08442330558858502,0.6004618937644342
SMTP,1,42,validation,1195,1000,0.10477127284228464,0.13729892661472087,0.44729775774682784,0.38349989304681414,3,0.6548223350253807,0.25,0.43707093821510296
SMTP,1,84,train,2027,1000,0.06250718158450078,0.10500207972249508,0.5312396391992743,0.4281754478085071,3,0.925,0.08442330558858502,0.5842956120092379
SMTP,1,84,validation,1195,1000,0.10602929915798553,0.1384632832710642,0.44785554365175456,0.38600031092806797,3,0.6624365482233503,0.2692307692307692,0.41189931350114417
SMTP,1,123,train,2027,1000,0.0840162924590937,0.11981812623000067,0.5478709269638494,0.421291177873626,3,0.925,0.09274673008323424,0.625866050808314
SMTP,1,123,validation,1195,1000,0.10424440366322611,0.14882615569112134,0.46313094417962636,0.37656205289753175,3,0.6116751269035533,0.3131868131868132,0.4645308924485126
SMTP,3,0,train,2027,1000,0.16709819781648222,0.17371470771731215,0.588627367823415,0.2850969897438108,3,0.890625,0.11890606420927467,0.75635103926097
SMTP,3,0,validation,1195,1000,0.11829721622043139,0.19674199369464382,0.5164204481800225,0.2203443054178049,3,0.5101522842639594,0.4532967032967033,0.585812356979405
SMTP,3,21,train,2027,1000,0.13622703817511153,0.15509025085403444,0.57864096043879,0.3045077515484631,3,0.925,0.09036860879904875,0.7205542725173211
SMTP,3,21,validation,1195,1000,0.10865052073442552,0.19528794699639843,0.47013332356407544,0.2424915218574568,3,0.5786802030456852,0.3076923076923077,0.5240274599542334
SMTP,3,42,train,2027,1000,0.14970188699442175,0.16158986298753683,0.5837693794458191,0.3018412611569456,3,0.9125,0.09631391200951249,0.7424942263279446
SMTP,3,42,validation,1195,1000,0.10426602922435277,0.1963909576489385,0.4761544158853919,0.23497004505537172,3,0.5482233502538071,0.3241758241758242,0.5560640732265446
SMTP,3,84,train,2027,1000,0.13470271772687958,0.15404009515809172,0.578087183935507,0.3021448108106195,3,0.921875,0.10107015457788347,0.7113163972286374
SMTP,3,84,validation,1195,1000,0.11403551737964593,0.19588890340957313,0.4756975562856686,0.2385600488314274,3,0.5761421319796954,0.3269230769230769,0.5240274599542334
