application,window,seed,cluster,training_mapped_level,TcpRtt_mean,TcpRtt_max,TcpRtt_median,TcpRtt_min,TcpRtt_std,SynAck_mean,SynAck_max,SynAck_median,SynAck_min,SynAck_std,AckDat_mean,AckDat_max,AckDat_median,AckDat_min,AckDat_std
HTTP,3,42,1,Medium,0.2740540197530866,0.33369041754385864,0.27180980428849877,0.21666183742689982,0.05290004871125949,0.024965061858349596,0.0321069968810915,0.024677976998050688,0.018110211695906417,0.006294692719038725,0.24908895789473612,0.30744198167641357,0.24654205614035068,0.1932828358674466,0.05163018492726226
HTTP,3,42,2,High,0.12107166145108937,0.14617583669448317,0.12173702445526191,0.09530212320352349,0.02276658149047258,0.012114029902642556,0.015220389893370418,0.011871499188687995,0.009250200625869268,0.002662188489685055,0.10895763154844681,0.1335666904265183,0.1095726957579971,0.08373350846082521,0.022324915779609204
HTTP,3,84,0,High,0.13190810539531517,0.1621059114877585,0.13350895886609182,0.10010944583209429,0.02773875724723149,0.013318683582779926,0.016878094459312123,0.013006685697294055,0.010071270591733567,0.0030414726917785116,0.11858942181253491,0.14813718872038867,0.12015430201209204,0.0874767747051243,0.02718368200040877
HTTP,3,84,1,Low,0.0548132450252377,0.06411060264997163,0.05372781304601007,0.04660131937973208,0.007831669078471605,0.006786160818287714,0.008448539021549281,0.006637345515433879,0.0052725979178800285,0.001414198886624556,0.048027084206949455,0.05674111837507256,0.04700574839836942,0.04033438584740817,0.007349476792078695
HTTP,3,84,2,Medium,0.2956491261164693,0.3541950539478376,0.2930901571989996,0.23966216720257133,0.05189765769803735,0.026300667143027257,0.03383380564487311,0.0257844383708467,0.019283757413361913,0.0065671837302556085,0.2693484589734417,0.32675565451947064,0.2668888113612005,0.2144009110396572,0.050880851091557364
HTTP,3,123,0,Low,0.04830578826024802,0.056779090607276386,0.04717842786000798,0.04095984631345978,0.007085367767847687,0.0064578585788721745,0.008006844653479072,0.006330332411121872,0.005036398672015448,0.0013252035499104243,0.04184792968137559,0.04974279084243981,0.04079600843823494,0.035004989763453315,0.00660916521379608
HTTP,3,123,1,High,0.1266125241536013,0.15426657300613492,0.12808406448534423,0.09748693496932517,0.02542130568103452,0.01266372828902522,0.016008384594410365,0.012376510565780496,0.009606289706884808,0.002857055760828129,0.11394879586457607,0.14091013674164968,0.1153749085207906,0.08556134233128829,0.024811481582812656
HTTP,3,123,2,Medium,0.2937547161172162,0.3488027873626377,0.2937153714285707,0.23874598956043863,0.04982922858847067,0.025583037728937795,0.03253342087912082,0.025299643406593433,0.01891604890109891,0.006134587099246488,0.26817167838827904,0.3219283554945068,0.26806752307692294,0.21451915659340653,0.048641112897719635
HTTP,5,0,0,High,0.12751795707007807,0.1717999467904446,0.12821548511264563,0.08012973089550551,0.036079079781779155,0.012996517128948282,0.018322055587003328,0.012726846258349349,0.008423817389335456,0.003848464129090252,0.11452143994112973,0.15815954828484083,0.11510036273066898,0.06813918612023094,0.035499372535411966
HTTP,5,0,1,Medium,0.288342479544459,0.37801718221638014,0.28625160928602816,0.20636384056066548,0.06769533027500538,0.026381625054752486,0.03815405957074018,0.025730111695137933,0.015955341217695915,0.008923272277041846,0.26196085448970685,0.35012934296977627,0.2589990683311435,0.1828313854577317,0.06628081532630818
HTTP,5,0,2,Low,0.05384782377743585,0.06803477791682766,0.05248159491721274,0.04193297535618014,0.010156303972877798,0.006656792587601146,0.009205245379283715,0.006410443973815974,0.004528597805159799,0.001814197595557833,0.0471910311898346,0.06046027416249515,0.04589595783596463,0.036121818348094345,0.009497150215112733
HTTP,5,21,0,Low,0.049455859292589235,0.06262259205099364,0.047962629171353924,0.038589271091113715,0.009334859380009913,0.006418483189601336,0.00895152980877385,0.006180463567054165,0.0043262952130983575,0.0017952916598611287,0.04303737610298747,0.05521369953755713,0.04165114098237738,0.033022815023122765,0.008651616392788795
HTTP,5,21,1,Medium,0.2797885712732211,0.366391059809696,0.27848889669234417,0.1996245505210689,0.06622279686321825,0.02554390385138191,0.03674458722247388,0.024951776166742157,0.015515561395559534,0.00857104219141784,0.25424466742183965,0.33914270367014054,0.25240578840054423,0.17663679610330846,0.06481234619006479
HTTP,5,21,2,High,0.12207661468871596,0.16301446194066144,0.1228085345330738,0.07896067898832684,0.033166199724883494,0.012389653283073936,0.017406388618677052,0.012127083171206232,0.008100196133268494,0.0036207494113933295,0.10968696140564196,0.14993148711089485,0.11024294163424127,0.06754820877918284,0.03253923825486011
HTTP,5,42,0,Medium,0.28278482406150995,0.37116524830393427,0.27960117458163875,0.20368748891904082,0.06639701805997861,0.025442879421076394,0.03651062143826317,0.024810415196743527,0.015467948891904053,0.008473578748997812,0.2573419446404342,0.3445649063772048,0.2533812080506569,0.1808432460425154,0.0651592758013887
HTTP,5,42,1,Low,0.05694378273628831,0.0711145526209274,0.055736423396074285,0.04494925480671935,0.010173937876716194,0.006762064824934247,0.009349594414086148,0.006521057883019671,0.004594568204816841,0.001845587077827545,0.050181717911353896,0.06339587047156416,0.04906713054037657,0.03901632948795861,0.009504718877153734
HTTP,5,42,2,High,0.12688965948662226,0.17293589555887529,0.12750841722124126,0.07803554380008146,0.03742841824679079,0.013222037022952611,0.018720730816243442,0.01296173896509574,0.008471323781067512,0.003987929321208646,0.11366762246366972,0.15907329879125337,0.1139590024446557,0.06596906315360586,0.036793711531222
HTTP,5,84,0,Low,0.061014838664627376,0.07573211152490653,0.059763636962160666,0.04820115574915222,0.010711670835608256,0.007179524413114402,0.00982568238345402,0.0069898787657113395,0.00487544703065772,0.001921240157407885,0.05383531425151281,0.06761912110128396,0.052607508412582354,0.041890911085987914,0.0100367502845458
HTTP,5,84,1,Medium,0.2873790782203085,0.3787368288482206,0.28400729494079713,0.20590243702906336,0.068670129207413,0.02599375206315027,0.0376960283458915,0.0253317944025834,0.015616383566558917,0.008898680979391975,0.26138532615715915,0.3513410014352354,0.256933271618227,0.18273876354503055,0.06726618915739585
HTTP,5,84,2,High,0.13455310350000002,0.1844608806818174,0.1358007968181821,0.08087621375000002,0.04076882392514783,0.013601494636363664,0.01947322113636375,0.013276767613636367,0.008696995454545466,0.004200198236233617,0.12095160886363664,0.17026783079545452,0.12205261261363615,0.06828511761363633,0.04023172448096775
HTTP,5,123,0,Medium,0.28172036763250874,0.3670917653710256,0.2803498565371036,0.2011657208480564,0.06596860543467692,0.02501930572438158,0.035900337809187194,0.02427392791519433,0.015318719434628977,0.008317247217410506,0.256701061908127,0.3411631236749117,0.25437076183745655,0.17867165229682033,0.06488877440546564
HTTP,5,123,1,High,0.12280845765061317,0.16359655749066998,0.1234858393460102,0.08002763017593746,0.032772779589520525,0.012386638777323619,0.017401686156033415,0.012128346898880402,0.008112422605295898,0.003605448292179056,0.11042181887328945,0.1504675285231917,0.11095347716367515,0.06864852265861024,0.03215313688833126
HTTP,5,123,2,Low,0.048653935646206924,0.06174774666412518,0.04712416221883306,0.037928114372855606,0.009250779715207588,0.006419455890202081,0.008929900114372818,0.0061739738848646695,0.004306966831871898,0.0017972343544711785,0.04223447975600443,0.054362001334350415,0.04079822073961147,0.032408178231033556,0.008568518584789808
HTTP,10,0,0,High,0.12518557503207592,0.18945317616114993,0.1264947561585837,0.05961582961252245,0.04461730951350635,0.01271078498845266,0.020871131126507608,0.012278232678983833,0.006600766230433667,0.004703326864728605,0.11247479004362329,0.17564546125224562,0.11359681639722854,0.04817676032845784,0.043961836938937196
HTTP,10,0,1,Medium,0.28085868748577886,0.4100276023890792,0.27702753043230777,0.17496060864618848,0.07809565665460265,0.026400974288964728,0.0439677104664392,0.02441052303754261,0.01267549544937434,0.010700635014551027,0.25445771319681476,0.38228481399317477,0.24976606911262822,0.15207542377701838,0.07606317731501097
HTTP,10,0,2,Low,0.05325593001527502,0.07359609241344105,0.05217199217158918,0.035915691318737064,0.012620768862203056,0.006551069259164998,0.010317278640529427,0.006272022594195479,0.0035217343431772183,0.0022370896097699162,0.04670486075610933,0.06585731491853535,0.04563938098268813,0.03068820392057013,0.011765824440497574
HTTP,10,21,0,Low,0.07213262079043356,0.1005189004182753,0.07125059974260076,0.04599341489703967,0.01831369087883463,0.0082516361111111,0.012831328131703146,0.008027838293650773,0.004479135617760612,0.0027521942613450527,0.06388098467932192,0.09126525943801156,0.06281991910660634,0.038950003485627924,0.01759827972496426
HTTP,10,21,1,High,0.16190282241048573,0.2733859418158575,0.16218640489130381,0.05950232241048597,0.07263944401074544,0.015503988570971912,0.026851361732736667,0.014622430626598407,0.0074523937020460505,0.006427023185722745,0.14639883383951416,0.2558136392263462,0.1470700268542207,0.04600565505115109,0.07129699294284582
HTTP,10,21,2,Medium,0.30682351581395323,0.398997218604651,0.30748739883720827,0.22032669709302324,0.06037599462236326,0.028445442790697648,0.04739779767441861,0.026276587209302246,0.013709763953488443,0.011548725752422745,0.27837807302325607,0.37023437441860446,0.2765141177325583,0.1962871093023258,0.05862306609270894
HTTP,10,42,0,Medium,0.29466219715909076,0.3977853686868692,0.29280463573232135,0.20350809785353496,0.06503783290381615,0.027305013194444373,0.04525564267676769,0.02515220643939392,0.01304719507575764,0.011056798081775933,0.267357183964647,0.36998481060606137,0.2636367743055554,0.18011105681818151,0.06303823550319235
HTTP,10,42,1,High,0.1429218418893617,0.2365010030638296,0.14390119327659562,0.055086110978723346,0.06203288767101926,0.014369622876595768,0.024405620765957474,0.013710791659574438,0.0071429547234042505,0.005694421614435255,0.1285522190127659,0.22068246195744756,0.1295424793191492,0.042506829106383384,0.06112299723541004
HTTP,10,42,2,Low,0.06676842583979332,0.09140070484287595,0.06599381766274987,0.04441346436609137,0.015639827384761676,0.007650471759606579,0.01191134533633402,0.0074435963574226716,0.0041343700091689625,0.002552556426604461,0.059117954080186344,0.08266203992664997,0.05817256439109747,0.03798064607818589,0.014867234409742837
HTTP,10,84,0,Medium,0.2669202322719437,0.4009020542168702,0.2624911576305233,0.15977865777395192,0.08005385340585344,0.02433845714285702,0.04072719678714867,0.022576016351118756,0.011699428858290367,0.009912542768717825,0.2425817751290872,0.37525056167527815,0.23713679905335713,0.13865997676419972,0.07827055573898689
HTTP,10,84,1,High,0.12121961810138684,0.18038524533715927,0.12287070400924607,0.05895900047824004,0.04185054222867718,0.012402682321058515,0.020303977602423143,0.011999877610393742,0.006431158058345293,0.0045698356440185125,0.1088169357803284,0.16699843495934977,0.11030442754662843,0.04782097154471576,0.041194750795183824
HTTP,10,84,2,Low,0.05212070384493697,0.07258324145569646,0.05080910007911529,0.035363473892404365,0.012441579893326647,0.006451083607594961,0.010235149920886064,0.006140075474683531,0.0034671185917721317,0.0022251681308161336,0.04566962023734174,0.06488685158228062,0.04438640154272127,0.030258180537974782,0.011566911328101254
HTTP,10,123,0,Low,0.05563345127774935,0.07664027490965321,0.05443951806917969,0.037943793624160824,0.012940094275870694,0.006682334525038716,0.010484496644295202,0.006393470443985556,0.0036127527103769026,0.002252607472399506,0.048951116752710015,0.06878094127516926,0.047758711732059776,0.03261442423851298,0.0121002702910376
HTTP,10,123,1,High,0.12452104823599175,0.19000775111177004,0.12542118611028769,0.057735351615772285,0.04531561287726287,0.012851948147050107,0.02116784909576049,0.012428500889415946,0.006660542099021642,0.0047920077101926035,0.11166910008894153,0.17594660154165448,0.11246180988734061,0.04630113800770849,0.04454584470866943
HTTP,10,123,2,Medium,0.2724790900529097,0.40040077724867706,0.2693392365079348,0.16929784338624318,0.07700378191671313,0.02458184042328038,0.0408963243386244,0.022825988359788295,0.01192287037037041,0.009888244886465586,0.24789724962963008,0.37505820687830715,0.24359026322751337,0.14787424761904708,0.0753971030263542
HTTP,20,0,0,Medium,0.25474930227272713,0.44080896496212135,0.24980425142045448,0.11851606439393894,0.093884283602066,0.02429106003787879,0.0460838475378786,0.021949341382575746,0.009962205965909143,0.010933827273664615,0.23045824223484795,0.4134069393939382,0.2246301652462125,0.09911598958333273,0.09071707329974335
HTTP,20,0,1,Low,0.05727722775453283,0.08824876696884944,0.05528728376336543,0.03300168723849408,0.016217477202154842,0.006827479695490494,0.012609384937238545,0.006373616457461672,0.0029038726173872594,0.0027031789702096683,0.05044974805904202,0.08004506996745425,0.04851969467689483,0.027488771385402344,0.015284899113221277
HTTP,20,0,2,High,0.12576767709952177,0.20991523684997015,0.12851345606694553,0.04237767319187088,0.05101080099012696,0.012812380641063954,0.02420930558876268,0.012137175508069347,0.005353654512851167,0.00541804585412027,0.11295529645845795,0.19556618634190046,0.11591561259713078,0.031015324118350708,0.050285286416066784
HTTP,20,21,0,Low,0.07240139499500003,0.11304276409999843,0.07061397175000002,0.03648624650000011,0.02262439633642902,0.008156611720000012,0.014782449200000082,0.00778236680000001,0.0035214903999999936,0.0031507041445547734,0.06424478327500022,0.10366514219999956,0.062429260400000054,0.02964494600000022,0.021746935642535024
HTTP,20,21,1,High,0.16548854186746983,0.3151667086527923,0.16863376615553102,0.04315525246440307,0.0809039535024925,0.01641112758762324,0.03213964320920039,0.015029033132530092,0.006363392113910179,0.007530360385582576,0.14907741427984667,0.295736036144576,0.1523642808050385,0.02901612322015373,0.07935309575623678
HTTP,20,21,2,Medium,0.31188132975146227,0.4284763640350887,0.3061821842105263,0.21210035380116887,0.06613030299689013,0.02877907141812865,0.05495714181286546,0.025548555555555526,0.011942978070175404,0.013521020806120457,0.2831022583333334,0.39639978216374194,0.2764530913742684,0.19073211988304098,0.06192060676190965
HTTP,20,42,0,Low,0.05687304424305893,0.08812130969093553,0.05472982221058056,0.03247936563645939,0.01637377464159859,0.006814715646935568,0.012547825563122098,0.0063745696699843415,0.002909509481403872,0.00269259657060487,0.05005832859612347,0.07993184672603153,0.04799293258250449,0.026980906966998543,0.015424479190718543
HTTP,20,42,1,Medium,0.2601344577985947,0.45371982669789207,0.25318291709601937,0.1254931358313813,0.09513427105554893,0.024588493817330227,0.046689141451990435,0.022091354332552698,0.009977882903981307,0.011061443887274447,0.23554596398126443,0.4259969545667447,0.22754368477751807,0.10587218266978843,0.09186166927137163
HTTP,20,42,2,High,0.12778177755915637,0.21414097530864218,0.1305475732381688,0.042695340792181034,0.05201536115683282,0.012966244457304517,0.024585636959876554,0.012248104166666673,0.005362429783950621,0.00552627484739154,0.11481553310185205,0.19962019122942348,0.11777263612397106,0.03125084580761357,0.051234695443858176
HTTP,20,84,0,Medium,0.2908349968628538,0.45616002109939063,0.2820988667406998,0.1713976835091608,0.08472227052985587,0.026623821571349272,0.05117631260410871,0.023867769572459747,0.010279787340366497,0.012581279442857345,0.26421117529150373,0.42705499222653875,0.253437907828984,0.1510080749583558,0.08116264657782365
HTTP,20,84,1,Low,0.06727200644880142,0.10290074267040057,0.06559876791160887,0.03606245571117387,0.019489269094529884,0.007662361372549021,0.014047304637410583,0.007272196202925626,0.0033080916277622077,0.0029926982293197535,0.059609645076252535,0.09392653657018163,0.057794636819172525,0.029504575163398272,0.01860416791484874
HTTP,20,84,2,High,0.14792603989526765,0.2694027734678072,0.15127384167313151,0.039936592061029196,0.06901525354629086,0.014937855449961223,0.028593081329195687,0.0138013654641841,0.006123662141194707,0.006517394653143547,0.13298818444530672,0.2522513708301004,0.13703743211792113,0.027039547970003186,0.06797986394968113
HTTP,20,123,0,Medium,0.2580180864330132,0.4485099089881295,0.25133689768230644,0.1216357642736004,0.09438706790735857,0.024233315291124928,0.0465299977388353,0.021783942057659704,0.009844013566986996,0.010991699384628174,0.23378477114188762,0.4214863041266238,0.226120251554551,0.10191361955907285,0.09129622321813305
HTTP,20,123,1,High,0.12263291750315428,0.20207336240011212,0.12433247315295093,0.04506544749754662,0.047508572765548276,0.012471886289078922,0.023522730968736826,0.011789040305621761,0.005183197392401511,0.005230260682980904,0.1101610312140755,0.18805184368428415,0.112050800574793,0.033858282770223146,0.04676522676055572
HTTP,20,123,2,Low,0.05048658638123227,0.08013659058531923,0.0483827235212138,0.0286490000000003,0.015112383513893834,0.006323752121399827,0.01175483694642315,0.005863485366986712,0.0026924560235366845,0.0025314079578523637,0.044162834259832855,0.07233404413130862,0.04219807866212466,0.02390976029730587,0.014067007584139854
SFTP,1,0,0,Low,0.04434956234161179,0.04434956234161179,0.04434956234161179,0.04434956234161179,0.0,0.005100744551444497,0.005100744551444497,0.005100744551444497,0.005100744551444497,0.0,0.03924881779016702,0.03924881779016702,0.03924881779016702,0.03924881779016702,0.0
SFTP,1,0,1,Medium,0.21120507803753652,0.21120507803753652,0.21120507803753652,0.21120507803753652,0.0,0.015933652946987162,0.015933652946987162,0.015933652946987162,0.015933652946987162,0.0,0.19527142509055018,0.19527142509055018,0.19527142509055018,0.19527142509055018,0.0
SFTP,1,0,2,High,0.11046708432630616,0.11046708432630616,0.11046708432630616,0.11046708432630616,0.0,0.011797076076993577,0.011797076076993577,0.011797076076993577,0.011797076076993577,0.0,0.09867000824931245,0.09867000824931245,0.09867000824931245,0.09867000824931245,0.0
SFTP,1,21,0,Low,0.04442685408921937,0.04442685408921937,0.04442685408921937,0.04442685408921937,0.0,0.005228654142326062,0.005228654142326062,0.005228654142326062,0.005228654142326062,0.0,0.03919819994689312,0.03919819994689312,0.03919819994689312,0.03919819994689312,0.0
SFTP,1,21,1,Medium,0.21300718589025788,0.21300718589025788,0.21300718589025788,0.21300718589025788,0.0,0.0159019287047406,0.0159019287047406,0.0159019287047406,0.0159019287047406,0.0,0.1971052571855176,0.1971052571855176,0.1971052571855176,0.1971052571855176,0.0
SFTP,1,21,2,High,0.11114617304330934,0.11114617304330934,0.11114617304330934,0.11114617304330934,0.0,0.011994232666537187,0.011994232666537187,0.011994232666537187,0.011994232666537187,0.0,0.09915194037677207,0.09915194037677207,0.09915194037677207,0.09915194037677207,0.0
SFTP,1,42,0,High,0.12602246442234075,0.12602246442234075,0.12602246442234075,0.12602246442234075,0.0,0.011701930593507463,0.011701930593507463,0.011701930593507463,0.011701930593507463,0.0,0.1143205338288337,0.1143205338288337,0.1143205338288337,0.1143205338288337,0.0
SFTP,1,42,1,Low,0.04510481875842358,0.04510481875842358,0.04510481875842358,0.04510481875842358,0.0,0.005675033933243454,0.005675033933243454,0.005675033933243454,0.005675033933243454,0.0,0.0394297848251807,0.0394297848251807,0.0394297848251807,0.0394297848251807,0.0
