application,level,partition,window,median_span_seconds,p95_span_seconds
SSH,Medium,train,20,30.249839,35.3668973
SSH,Medium,validation,20,30.505958,34.706901599999995
SSH,High,train,20,29.077506,32.5185972
SSH,High,validation,20,29.1585875,32.01100525
Video,Low,train,1,0.0,0.0
Video,Low,validation,1,0.0,0.0
Video,Medium,train,1,0.0,0.0
Video,Medium,validation,1,0.0,0.0
Video,High,train,1,0.0,0.0
Video,High,validation,1,0.0,0.0
Video,Low,train,3,2.085056,10.2357476
Video,Low,validation,3,2.050008,10.0875216
Video,Medium,train,3,2.508844,9.83269485
Video,Medium,validation,3,2.507845,9.3507521
Video,High,train,3,2.3023465,9.56387235
Video,High,validation,3,2.307237,9.493019199999997
Video,Low,train,5,8.0268735,13.4337439
Video,Low,validation,5,7.56518,13.2659752
Video,Medium,train,5,7.3509785,13.37255315
Video,Medium,validation,5,7.159247,13.211962299999996
Video,High,train,5,7.1090990000000005,13.572478600000002
Video,High,validation,5,6.791851,13.6940992
Video,Low,train,10,16.6712095,25.309057749999997
Video,Low,validation,10,16.341931,25.0328572
Video,Medium,train,10,16.0220195,24.4562246
Video,Medium,validation,10,15.74408,24.4232451
Video,High,train,10,15.8953555,24.64251335
Video,High,validation,10,15.466525,23.65938
Video,Low,train,20,36.4557565,46.79326735
Video,Low,validation,20,36.661725,45.706240900000005
Video,Medium,train,20,34.831298000000004,46.04815104999999
Video,Medium,validation,20,34.579831,45.179021299999995
Video,High,train,20,34.530418499999996,44.476595
Video,High,validation,20,34.353376,41.8872852
