application,window,partition,ari_mean,ari_std,ami_mean,ami_std,mapped_balanced_accuracy_mean,mapped_balanced_accuracy_std,silhouette_mean,silhouette_std,recall_low_mean,recall_low_std,recall_medium_mean,recall_medium_std,recall_high_mean,recall_high_std
HTTP,1,train,0.08516780243440786,0.007966605083487038,0.11677834267457274,0.003970115259268069,0.4950795281758828,0.006418100750502354,0.4563470567226943,0.0015810797115657768,0.8851162790697675,0.0035269188111867237,0.07109004739336493,0.008055323086244529,0.5290322580645161,0.015661872959487944
HTTP,1,validation,0.1622758194004697,0.010860202518356333,0.2111362556996467,0.004645065768899139,0.5649653934962406,0.003904254449060976,0.35702909483118456,0.00310460543086335,0.9727923627684965,0.017667547038970693,0.05937888198757764,0.006769901412888801,0.6627249357326479,0.0157841454323997
HTTP,3,train,0.13349845749294803,0.018941809531039945,0.1492410756001494,0.01115642818747493,0.5194705050326733,0.010246224457972316,0.345132957542116,0.0029806553373199467,0.8706976744186047,0.008639151451630994,0.07424960505529225,0.007977492052418704,0.6134642356241234,0.03572447792411326
HTTP,3,validation,0.22117168610888688,0.016908577329034682,0.2626985908020575,0.011283307577090269,0.5782983531219884,0.005433900732563431,0.24492758917700014,0.0013173559813459503,0.9632458233890215,0.014961745125210013,0.061366459627329194,0.007432683379702652,0.7102827763496145,0.02581276419286139
HTTP,5,train,0.11425292667098064,0.0327319047897246,0.13625412221658975,0.020636700434814085,0.5078384593744425,0.017037409256884017,0.3394279484809508,0.009071311143258806,0.872093023255814,0.01305229320967652,0.07330173775671406,0.002395853220869369,0.5781206171107994,0.06168238527057502
HTTP,5,validation,0.2317115460379325,0.02915717189607916,0.2862046407490523,0.02107630010886884,0.5809334958897818,0.010134898079192385,0.2389720480386796,0.0018199442942583455,0.98854415274463,0.01149555568381128,0.05142857142857142,0.006724158311912725,0.702827763496144,0.03448229431571081
HTTP,10,train,0.080595281098201,0.048842019443957344,0.11307178802414189,0.032006360611145576,0.4846291743277189,0.0365880699308068,0.3694496679405146,0.04323073536398221,0.881860465116279,0.015635103547880586,0.0631911532385466,0.022563754908508215,0.5088359046283311,0.10229491382101605
HTTP,10,validation,0.2054843387612828,0.12172941509740855,0.2928079044116085,0.10530605859730631,0.554047225079544,0.0537903282058238,0.2539804462210714,0.014637482752565455,0.9990453460620525,0.0021346711002384624,0.026335403726708072,0.010808167321319853,0.6367609254498714,0.15231660752234208
HTTP,20,train,0.08171161063304352,0.046220508483680714,0.11397965338074408,0.02983872209433707,0.48795641694955644,0.030431267047655638,0.3836746067014395,0.048526362447157766,0.8851162790697675,0.01949885936395776,0.05813586097946288,0.025458467940773895,0.520617110799439,0.08582029234560244
HTTP,20,validation,0.2368257587893535,0.1458784044388814,0.34505985977377246,0.14414815015556318,0.5544545391644979,0.0523385073563253,0.2792687117880508,0.02063249860366898,1.0,0.0,0.018633540372670808,0.012171377603891568,0.6447300771208226,0.14487577538070462
SFTP,1,train,0.21394953353431237,0.015675108681791415,0.21236020295282887,0.006594619048616713,0.5264885626547113,0.023038133557852076,0.4423943068794542,0.011233961333483245,0.8404469273743016,0.01796340122650646,0.14466367713004485,0.009683399391373302,0.5943550834597875,0.06120787388967345
SFTP,1,validation,0.20138301373246925,0.010005769844976765,0.2216129038854228,0.010439818301748085,0.43488166526252225,0.020584862155044552,0.40888456517902805,0.023170608454799298,0.7236868186323092,0.053050111985415406,0.1107027027027027,0.005329192451401618,0.4702554744525547,0.01663238833842779
SFTP,3,train,0.24569483626782454,0.025093689788840138,0.2390573078938238,0.01334419331108365,0.5494816024991869,0.03462362973003101,0.35476819280347255,0.039328579934154444,0.8782122905027933,0.04502437477566034,0.12367713004484307,0.031180272205538533,0.6465553869499241,0.0839721066888966
SFTP,3,validation,0.23886600741563474,0.025451887427870596,0.2510856171834742,0.01650999160221494,0.47034273018469996,0.06009700261593692,0.34832802258193646,0.06989534412159039,0.7902874132804757,0.08549352828473064,0.10486486486486486,0.03615565731500679,0.5158759124087591,0.13634116485709277
SFTP,5,train,0.2580672701521632,0.031701656965734626,0.25734402083410335,0.020295668690066503,0.5421657452280418,0.030490096150460277,0.3095619212987075,0.025636875304012822,0.8495344506517691,0.057922421849376717,0.202152466367713,0.08484549053646222,0.5748103186646434,0.11961342907698883
SFTP,5,validation,0.2503382630862731,0.013667699636281241,0.2663805725907249,0.006443770361306458,0.4953510986770411,0.0536517109478639,0.2915379232348961,0.05497628957172597,0.7353815659068385,0.09180742039342524,0.19027027027027027,0.10896149660718694,0.5604014598540146,0.12727595285932086
SFTP,10,train,0.29368597287569226,0.019209920985720073,0.30345640907060967,0.014472415963198244,0.5785008827560992,0.02927461052169008,0.3542597912381297,0.04000196083151141,0.9186592178770949,0.04672861457906306,0.19201793721973096,0.029313774780193397,0.6248254931714718,0.05303502076440891
SFTP,10,validation,0.2915490806744568,0.01051646578428332,0.3039624819391251,0.012489302559855312,0.4790326799711389,0.060135999360575725,0.34370661625168797,0.0705056005044441,0.8334985133795838,0.06557252557114975,0.13535135135135135,0.028951989174089508,0.46824817518248174,0.14458641947822476
SFTP,20,train,0.3193166273795781,0.032845290517627274,0.3423858800831212,0.012400114668444344,0.5969804984864754,0.0179260026033509,0.376742301583219,0.02091348543212278,0.9319925512104283,0.013044955250124264,0.2672645739910314,0.020041883390212133,0.5916843702579666,0.08302649284334156
SFTP,20,validation,0.31420912576917504,0.004493612558032694,0.34091568007738254,0.0036348694442415647,0.47839335335567057,0.02593348885690438,0.3750601116142708,0.04495506947950981,0.8475718533201189,0.0393784518721412,0.18724324324324323,0.008895136186259119,0.40036496350364964,0.042116337648918985
SMTP,1,train,0.07468450095421153,0.009087050162109502,0.11341195869610972,0.006448306691008983,0.540595688259239,0.007513960504284055,0.4247457075208708,0.0035087232387204827,0.925,0.0,0.08870392390011891,0.006097922190229769,0.6080831408775981,0.01719740340982119
SMTP,1,validation,0.10534318761573966,0.0007934990163848109,0.14273266281458633,0.005675145701244906,0.45547731781280787,0.009064188124350184,0.3804797151181803,0.004730664555558423,0.6370558375634519,0.023192470663067354,0.2868131868131868,0.03207351400592589,0.44256292906178485,0.021010304679428896
SMTP,3,train,0.14092064007578128,0.018717231225256776,0.15792899781914288,0.0105776141375065,0.5800158009362366,0.006632728951574657,0.30014627701789787,0.008678864787585268,0.9168749999999999,0.01662429509783794,0.09869203329369798,0.01255571467416342,0.7244803695150115,0.025516756549740782
SMTP,3,validation,0.11113355636284594,0.005328674866353144,0.1932900109468104,0.006256899161129516,0.4767465218399717,0.025526459600377954,0.23714911849268275,0.010808197394399166,0.5634517766497462,0.03575889036448063,0.33131868131868136,0.07590078149668651,0.5354691075514875,0.03718095379696091
SMTP,5,train,0.18832603398779976,0.016143032385624232,0.19168423016852576,0.011118841943521257,0.6041205568126584,0.006887296377580931,0.2876944702095116,0.007046450262738924,0.8943749999999999,0.022793228161013104,0.11105826397146254,0.01285065977275272,0.8069284064665126,0.032542210451459025
SMTP,5,validation,0.10766582383016547,0.015766732720421405,0.2190921284853463,0.009581548347351098,0.49447516130019115,0.03474622780281683,0.22751289777366868,0.010010153039152904,0.47106598984771575,0.04920193309001563,0.4054945054945055,0.09596921048538568,0.6068649885583525,0.056688716566979554
