application,window,seed,partition,level,cluster,training_mapped_level,count
HTTP,3,42,train,Medium,0,Low,267
HTTP,3,42,train,Medium,1,Medium,56
HTTP,3,42,train,Medium,2,High,310
HTTP,3,42,train,High,0,Low,130
HTTP,3,42,train,High,1,Medium,133
HTTP,3,42,train,High,2,High,450
HTTP,3,42,validation,Low,0,Low,399
HTTP,3,42,validation,Low,1,Medium,0
HTTP,3,42,validation,Low,2,High,20
HTTP,3,42,validation,Medium,0,Low,156
HTTP,3,42,validation,Medium,1,Medium,58
HTTP,3,42,validation,Medium,2,High,591
HTTP,3,42,validation,High,0,Low,74
HTTP,3,42,validation,High,1,Medium,143
HTTP,3,42,validation,High,2,High,561
HTTP,3,84,train,Low,0,High,25
HTTP,3,84,train,Low,1,Low,381
HTTP,3,84,train,Low,2,Medium,24
HTTP,3,84,train,Medium,0,High,273
HTTP,3,84,train,Medium,1,Low,316
HTTP,3,84,train,Medium,2,Medium,44
HTTP,3,84,train,High,0,High,392
HTTP,3,84,train,High,1,Low,197
HTTP,3,84,train,High,2,Medium,124
HTTP,3,84,validation,Low,0,High,5
HTTP,3,84,validation,Low,1,Low,414
HTTP,3,84,validation,Low,2,Medium,0
HTTP,3,84,validation,Medium,0,High,532
HTTP,3,84,validation,Medium,1,Low,231
HTTP,3,84,validation,Medium,2,Medium,42
HTTP,3,84,validation,High,0,High,520
HTTP,3,84,validation,High,1,Low,138
HTTP,3,84,validation,High,2,Medium,120
HTTP,3,123,train,Low,0,Low,373
HTTP,3,123,train,Low,1,High,33
HTTP,3,123,train,Low,2,Medium,24
HTTP,3,123,train,Medium,0,Low,282
HTTP,3,123,train,Medium,1,High,306
HTTP,3,123,train,Medium,2,Medium,45
HTTP,3,123,train,High,0,Low,143
HTTP,3,123,train,High,1,High,445
HTTP,3,123,train,High,2,Medium,125
HTTP,3,123,validation,Low,0,Low,405
HTTP,3,123,validation,Low,1,High,14
HTTP,3,123,validation,Low,2,Medium,0
HTTP,3,123,validation,Medium,0,Low,188
HTTP,3,123,validation,Medium,1,High,569
HTTP,3,123,validation,Medium,2,Medium,48
HTTP,3,123,validation,High,0,Low,99
HTTP,3,123,validation,High,1,High,547
HTTP,3,123,validation,High,2,Medium,132
HTTP,5,0,train,Low,0,High,27
HTTP,5,0,train,Low,1,Medium,25
HTTP,5,0,train,Low,2,Low,378
HTTP,5,0,train,Medium,0,High,280
HTTP,5,0,train,Medium,1,Medium,45
HTTP,5,0,train,Medium,2,Low,308
HTTP,5,0,train,High,0,High,404
HTTP,5,0,train,High,1,Medium,123
HTTP,5,0,train,High,2,Low,186
HTTP,5,0,validation,Low,0,High,2
HTTP,5,0,validation,Low,1,Medium,0
HTTP,5,0,validation,Low,2,Low,417
HTTP,5,0,validation,Medium,0,High,579
HTTP,5,0,validation,Medium,1,Medium,38
HTTP,5,0,validation,Medium,2,Low,188
HTTP,5,0,validation,High,0,High,549
HTTP,5,0,validation,High,1,Medium,130
HTTP,5,0,validation,High,2,Low,99
HTTP,5,21,train,Low,0,Low,369
HTTP,5,21,train,Low,1,Medium,25
HTTP,5,21,train,Low,2,High,36
HTTP,5,21,train,Medium,0,Low,276
HTTP,5,21,train,Medium,1,Medium,48
HTTP,5,21,train,Medium,2,High,309
HTTP,5,21,train,High,0,Low,127
HTTP,5,21,train,High,1,Medium,130
HTTP,5,21,train,High,2,High,456
HTTP,5,21,validation,Low,0,Low,409
HTTP,5,21,validation,Low,1,Medium,0
HTTP,5,21,validation,Low,2,High,10
HTTP,5,21,validation,Medium,0,Low,155
HTTP,5,21,validation,Medium,1,Medium,47
HTTP,5,21,validation,Medium,2,High,603
HTTP,5,21,validation,High,0,Low,72
HTTP,5,21,validation,High,1,Medium,134
HTTP,5,21,validation,High,2,High,572
HTTP,5,42,train,Low,0,Medium,25
HTTP,5,42,train,Low,1,Low,378
HTTP,5,42,train,Low,2,High,27
HTTP,5,42,train,Medium,0,Medium,46
HTTP,5,42,train,Medium,1,Low,319
HTTP,5,42,train,Medium,2,High,268
HTTP,5,42,train,High,0,Medium,129
HTTP,5,42,train,High,1,Low,196
HTTP,5,42,train,High,2,High,388
HTTP,5,42,validation,Low,0,Medium,0
HTTP,5,42,validation,Low,1,Low,417
HTTP,5,42,validation,Low,2,High,2
HTTP,5,42,validation,Medium,0,Medium,40
HTTP,5,42,validation,Medium,1,Low,205
HTTP,5,42,validation,Medium,2,High,560
HTTP,5,42,validation,High,0,Medium,132
HTTP,5,42,validation,High,1,Low,110
HTTP,5,42,validation,High,2,High,536
HTTP,5,84,train,Low,0,Low,381
HTTP,5,84,train,Low,1,Medium,25
HTTP,5,84,train,Low,2,High,24
HTTP,5,84,train,Medium,0,Low,351
HTTP,5,84,train,Medium,1,Medium,45
HTTP,5,84,train,Medium,2,High,237
HTTP,5,84,train,High,0,Low,236
HTTP,5,84,train,High,1,Medium,121
HTTP,5,84,train,High,2,High,356
HTTP,5,84,validation,Low,0,Low,419
HTTP,5,84,validation,Low,1,Medium,0
