pRetran,SrcRetra,PCRatio,SrcWin,SrcLoss,DstRate,SrcLoad,Load,DstLoad,TcpRtt,Sum,AckDat,dTtl,Min,pLoss,DstLoss,Loss,StdDev,Rate,SrcRate,IdleTime,Dur,SrcPkts,SrcGap,DstBytes,DstGap,sTtl,DstWin,TotPkts,DstPkts,Mean,SrcBytes,TotBytes,dMeanPktSz,DstRetra,SynAck,label
0.0,0.0,-0.0,64128.0,0.0,29.869024,27598.978516,173240.34375,145641.359375,0.091823,0.200877,0.091335,64.0,0.200877,0.0,0.0,0.0,0.0,64.716217,29.869024,1721542400.0,0.200877,7.0,0.0,4266.0,0.0,62.0,31872.0,14.0,7.0,0.200877,808.0,5074.0,609.428589,0.0,0.000488,HTTP
0.0,0.0,-0.0,61568.0,0.0,40.048256,27673.345703,295516.09375,267842.75,0.091823,0.199759,0.091335,64.0,0.199759,0.0,0.0,0.0,0.0,75.090485,30.036192,1721542400.0,0.199759,7.0,0.0,7523.0,0.0,62.0,31872.0,16.0,9.0,0.199759,806.0,8329.0,835.888916,0.0,0.000488,HTTP
0.0,0.0,-0.0,64128.0,0.0,29.685923,27152.724609,194818.8125,167666.09375,0.106883,0.202116,0.106161,64.0,0.202116,0.0,0.0,0.0,0.0,64.319504,29.685923,1721542400.0,0.202116,7.0,0.0,4941.0,0.0,62.0,31872.0,14.0,7.0,0.202116,800.0,5741.0,705.857117,0.0,0.000722,HTTP
0.0,0.0,-0.0,63488.0,0.0,26.718679,26162.931641,114441.445312,88278.515625,0.09243,0.187135,0.091436,64.0,0.187135,0.0,0.0,0.0,0.0,58.781094,26.718679,1721542400.0,0.187135,6.0,0.0,2478.0,0.0,62.0,31872.0,12.0,6.0,0.187135,734.0,3212.0,413.0,0.0,0.000994,HTTP
0.0,0.0,-0.0,63488.0,0.0,34.922821,30412.787109,243262.390625,212849.59375,0.093371,0.200442,0.092555,64.0,0.200442,0.0,0.0,0.0,0.0,74.834618,34.922821,1721542400.0,0.200442,8.0,0.0,6094.0,0.0,62.0,31872.0,16.0,8.0,0.200442,870.0,6964.0,761.75,0.0,0.000816,HTTP
0.0,0.0,-0.0,62592.0,0.0,31.998465,26238.740234,177399.484375,151160.75,0.094301,0.187509,0.093304,64.0,0.187509,0.0,0.0,0.0,0.0,63.996929,26.665386,1721542400.0,0.187509,6.0,0.0,4133.0,0.0,62.0,31872.0,13.0,7.0,0.187509,737.0,4870.0,590.428589,0.0,0.000997,HTTP
0.0,0.0,-0.0,64128.0,0.0,34.420189,29739.044922,252073.8125,222334.765625,0.093748,0.203369,0.093748,64.0,0.203369,0.0,0.0,0.0,0.0,73.757553,34.420189,1721542400.0,0.203369,8.0,0.0,6459.0,0.0,62.0,31872.0,16.0,8.0,0.203369,863.0,7322.0,807.375,0.0,0.0,HTTP
0.0,0.0,-0.0,64128.0,0.0,34.58498,30000.0,211462.453125,181462.453125,0.093748,0.2024,0.092822,64.0,0.2024,0.0,0.0,0.0,0.0,74.110672,34.58498,1721542400.0,0.2024,8.0,0.0,5246.0,0.0,62.0,31872.0,16.0,8.0,0.2024,867.0,6113.0,655.75,0.0,0.000926,HTTP
0.0,0.0,-0.0,64128.0,0.0,18.531387,22904.794922,76905.257812,54000.464844,0.107602,0.21585,0.1071,64.0,0.21585,0.0,0.0,0.0,0.0,46.328468,23.164234,1721542400.0,0.21585,6.0,0.0,1821.0,0.0,62.0,31872.0,11.0,5.0,0.21585,741.0,2562.0,364.200012,0.0,0.000502,HTTP
0.0,0.0,-0.0,62592.0,0.0,25.993717,21314.847656,130003.242188,108688.398438,0.105517,0.230825,0.105517,64.0,0.230825,0.0,0.0,0.0,0.0,51.987434,21.66143,1721542400.0,0.230825,6.0,0.0,3658.0,0.0,62.0,31872.0,13.0,7.0,0.230825,738.0,4396.0,522.571411,0.0,0.0,HTTP
