SrcPkts,DstLoad,Cause_Status,Load,AckDat,pLoss,DstBytes,SrcRate,TotBytes,IdleTime,Loss,SrcRetra,SrcGap,DstWin,dTtl,DstLoss,SrcLoss,State_SPA_SPA,DstRetra,Max,Rate,Dur,TcpRtt,Flgs_ e *      ,SynAck,sTtl,Min,SrcLoad,pRetran,TcpOpt_MwsS  T,dMeanPktSz,DstPkts,sMeanPktSz,StdDev,Sum,DstRate,PCRatio,TotPkts,SrcBytes,Mean,SrcWin,Flgs_ e d      ,DstGap,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0029378641727464,0.0,0.0001255792342178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0705609149518607e-05,0.3961352652964251,2.0705609149518607e-05,0.0,0.0,0.0,0.0,2.0705609149518607e-05,0.0,0.0,0.0,0.2435064994360348,0.003257328990228,0.0136986301369863,0.0,2.0705609149518607e-05,0.0,0.0,0.0014450867052023,3.21934180556785e-05,2.0705609149518607e-05,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0029378641727464,0.0,0.0001255792342178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.202221981934908e-06,1.0,8.202221981934908e-06,0.0,0.0,0.0,0.0,8.202221981934908e-06,0.0,0.0,0.0,0.2435064994360348,0.003257328990228,0.0136986301369863,0.0,8.202221981934908e-06,0.0,0.0,0.0014450867052023,3.21934180556785e-05,8.202221981934908e-06,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0029378641727464,0.0,0.0001255792342178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.763811149773807e-05,0.465028359982934,1.763811149773807e-05,0.0,0.0,0.0,0.0,1.763811149773807e-05,0.0,0.0,0.0,0.2435064994360348,0.003257328990228,0.0136986301369863,0.0,1.763811149773807e-05,0.0,0.0,0.0014450867052023,3.21934180556785e-05,1.763811149773807e-05,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0029378641727464,0.0,0.0001255792342178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.218893164825018e-06,0.9979715808629204,8.218893164825018e-06,0.0,0.0,0.0,0.0,8.218893164825018e-06,0.0,0.0,0.0,0.2435064994360348,0.003257328990228,0.0136986301369863,0.0,8.218893164825018e-06,0.0,0.0,0.0014450867052023,3.21934180556785e-05,8.218893164825018e-06,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0047985114821524,0.0,0.0002229031407366,0.0,0.0,0.0,0.0010774146165185,0.0399123907705405,0.0,0.0,0.0,0.0,0.0,1.9655324627441574e-05,0.4173027974298218,1.9655324627441574e-05,0.0,0.0,0.0,0.0,1.9655324627441574e-05,0.0,0.0,0.0,0.3977272824121903,0.003257328990228,0.0301369863013698,0.0,1.9655324627441574e-05,0.0,0.0,0.0014450867052023,7.082551972249273e-05,1.9655324627441574e-05,0.0024137931034482,0.0,0.0010990475900031,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0047985114821524,0.0,0.0002229031407366,0.0,0.0,0.0,0.0010774146165185,0.0399123907705405,0.0,0.0,0.0,0.0,0.0,0.0001989538966105,0.0412267501014199,0.0001989538966105,0.0,0.0,0.0,0.0,0.0001989538966105,0.0,0.0,0.0,0.3977272824121903,0.003257328990228,0.0301369863013698,0.0,0.0001989538966105,0.0,0.0,0.0014450867052023,7.082551972249273e-05,0.0001989538966105,0.0024137931034482,0.0,0.0010990475900031,0.0
0.0214285714285714,0.0699024391129768,0.0,0.0040997306536179,0.0973132885974765,0.0,0.056358027713852,0.0252410640689945,0.0036512162348833,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.015218489355433,0.012935142377503,0.015218489355433,0.095239273978452,0.0,0.0055026880519441,0.0,0.015218489355433,0.0021062933313329,0.0,0.0,0.3114177429728346,0.0488599348534201,0.0471917821917808,0.0,0.015218489355433,0.0605625690510511,0.0,0.0346820809248554,0.0018913633107711,0.015218489355433,0.0,0.0,0.0,0.0
0.0214285714285714,0.0972509107961408,0.0,0.0061306948374522,0.0987244840816509,0.0,0.0498947265338099,0.0401169446671394,0.0034534289409903,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0095752772759473,0.0188452910794694,0.0095752772759473,0.0962417926519094,0.0,0.0037602942709496,0.0,0.0095752772759473,0.0033627624506053,0.0,0.0,0.3181193786879718,0.0423452768729641,0.0476027397260273,0.0,0.0095752772759473,0.0825045015534666,0.0,0.0317919075144508,0.0019010213361878,0.0095752772759473,0.0,0.0,0.0,0.0
0.0214285714285714,0.0979937574721457,0.0,0.0062256682855315,0.0973724884080371,0.0,0.0498947265338099,0.0404233775897876,0.0034816842686893,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0095026909456438,0.018989240443804,0.0095026909456438,0.0949406843118204,0.0,0.0037900787800265,0.0,0.0095026909456438,0.0034372036827623,0.0,0.0,0.3181193786879718,0.0423452768729641,0.0488356184931506,0.0,0.0095026909456438,0.08313471410261,0.0,0.0317919075144508,0.0019299954124379,0.0095026909456438,0.0,0.0,0.0,0.0
0.0214285714285714,0.1028924747420245,0.0,0.0066063974665738,0.099028483108854,0.0,0.0498947265338099,0.0424441472093908,0.0035193580389546,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0090502683843719,0.0199385136363885,0.0090502683843719,0.0965187229644848,0.0,0.0036783868709883,0.0,0.0090502683843719,0.0036794187790612,0.0,0.0,0.3181193786879718,0.0423452768729641,0.0504794499999999,0.0,0.0090502683843719,0.087290626057269,0.0,0.0317919075144508,0.0019686275141047,0.0090502683843719,0.0,0.0,0.0,0.0
0.0214285714285714,0.0910971479816551,0.0,0.006471271756938,0.0970316894985936,0.0,0.0434314253537678,0.0438182566233483,0.0033592445153269,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0087664581668507,0.018712739879478,0.0087664581668507,0.0959834274999535,0.0,0.0103947936678133,0.0,0.0087664581668507,0.0038877211624983,0.0,0.0,0.3272579625143984,0.0358306188925081,0.0525342445205479,0.0,0.0087664581668507,0.0750971840943103,0.0,0.0289017341040462,0.0020169176411882,0.0087664581668507,0.0,0.0,0.0,0.0
0.0214285714285714,0.1032048141011802,0.0,0.0068134252373331,0.0986524843120502,0.0,0.0498947265338099,0.0425729882082234,0.0036229609071843,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0090228776308835,0.019999039478211,0.0090228776308835,0.0961536081389664,0.0,0.0036709407437191,0.0,0.0090228776308835,0.003879930951246,0.0,0.0,0.3181193786879718,0.0423452768729641,0.0550000020547945,0.0,0.0090228776308835,0.0875556043908743,0.0,0.0317919075144508,0.0020748657936884,0.0090228776308835,0.0,0.0,0.0,0.0
0.0214285714285714,0.090233756644825,0.0,0.0060623834826258,0.0986028844707697,0.0,0.0498947265338099,0.0372222989721161,0.0036888900051487,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0103199123309171,0.0174855043905235,0.0103199123309171,0.0961071952374174,0.0,0.0036783868709883,0.0,0.0103199123309171,0.0034989136804272,0.0,0.0,0.3181193786879718,0.0423452768729641,0.0578767123287671,0.0,0.0103199123309171,0.0765513761539442,0.0,0.0317919075144508,0.0021424719716054,0.0103199123309171,0.0,0.0,0.0,0.0
0.0214285714285714,0.0974317422784755,0.0,0.0066746288417935,0.0971372891606747,0.0,0.0498947265338099,0.0401915405972534,0.0037642375456794,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0095575057949865,0.0188803332885245,0.0095575057949865,0.0957560042823637,0.0,0.0088087685594722,0.0,0.0095575057949865,0.0039083002787408,0.0,0.0,0.3181193786879718,0.0423452768729641,0.0611643856164383,0.0,0.0095575057949865,0.0826579221170782,0.0,0.0317919075144508,0.002219736174939,0.0095575057949865,0.0,0.0,0.0,0.0
0.0214285714285714,0.1004489237870233,0.0,0.007032458738456,0.0972172889046755,0.0,0.0498947265338099,0.0414361561667806,0.0038490035287764,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0092704280256188,0.0194650019981301,0.0092704280256188,0.0947643152859344,0.0,0.0036634946164499,0.0,0.0092704280256188,0.0041823812016373,0.0,0.0,0.3181193786879718,0.0423452768729641,0.0648630116438356,0.0,0.0092704280256188,0.0852175944176097,0.0,0.0317919075144508,0.0023066584036893,0.0092704280256188,0.0,0.0,0.0,0.0
0.0214285714285714,0.1058868820411819,0.0,0.0075887472848146,0.0980284863088438,0.0,0.0498947265338099,0.0436793643624906,0.0039431879544398,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.008794332384643,0.0205187695978611,0.008794332384643,0.0955533346122666,0.0,0.0036858329982576,0.0,0.008794332384643,0.004586601606356,0.0,0.0,0.3181193786879718,0.0423452768729641,0.0689726006849315,0.0,0.008794332384643,0.0898309801060904,0.0,0.0317919075144508,0.0024032386578564,0.008794332384643,0.0,0.0,0.0,0.0
0.0214285714285714,0.0782688731952502,0.0,0.0057512051307421,0.0980252863190837,0.0,0.0498947265338099,0.0322866710457501,0.0040467908226695,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0118975063678083,0.0151669498927071,0.0118975063678083,0.0947844275432723,0.0,0.0,0.0,0.0118975063678083,0.0035338935135344,0.0,0.0,0.3181193786879718,0.0423452768729641,0.073493152739726,0.0,0.0118975063678083,0.0664007642793205,0.0,0.0317919075144508,0.0025094769374401,0.0118975063678083,0.0,0.0,0.0,0.0
0.0214285714285714,0.1001923424959254,0.0,0.0075621186908623,0.098054086226924,0.0,0.0498947265338099,0.0413303132542374,0.0041598121334656,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0092941677900543,0.019415282936633,0.0092941677900543,0.0955734468696045,0.0,0.0036634946164499,0.0,0.0092941677900543,0.004726262692958,0.0,0.0,0.3181193786879718,0.0423452768729641,0.0784246575342465,0.0,0.0092941677900543,0.0849999205274293,0.0,0.0317919075144508,0.0026253732424405,0.0092941677900543,0.0,0.0,0.0,0.0
0.0214285714285714,0.0996751004065418,0.0,0.0077373250573802,0.0988588836515723,0.0,0.0498947265338099,0.0411169479518488,0.0042822518868279,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0093423975221554,0.0193150507256148,0.0093423975221554,0.0955904649335057,0.0,0.0,0.0,0.0093423975221554,0.0049188247873022,0.0,0.0,0.3181193786879718,0.0423452768729641,0.0837671253424657,0.0,0.0093423975221554,0.0845611134689619,0.0,0.0317919075144508,0.0027509275728577,0.0093423975221554,0.0,0.0,0.0,0.0
0.0214285714285714,0.0975418309413763,0.0,0.0077993598994399,0.0985068847779687,0.0,0.0498947265338099,0.0402369504888836,0.0044141100827567,0.0,0.0,0.0,0.0,0.0078164239075841,0.0,0.0,0.0,0.0,0.0,0.0095467195396566,0.0189016654251669,0.0095467195396566,0.0960128223376012,0.0,0.0036709407437191,0.0,0.0095467195396566,0.00504406734702,0.0,0.0,0.3181193786879718,0.0423452768729641,0.0895205458904109,0.0,0.0095467195396566,0.0827513107791165,0.0,0.0317919075144508,0.0028861399286915,0.0095467195396566,0.0,0.0,0.0,0.0
