pRetran,Load,TcpOpt_MwsS  T,Sum,DstLoss,SynAck,SrcLoss,SrcBytes,SrcRate,SrcRetra,SrcPkts,DstGap,Dur,SrcLoad,AckDat,State_SPA_SPA,IdleTime,sTtl,dMeanPktSz,sMeanPktSz,TcpRtt,Rate,Cause_Status,Max,Mean,dTtl,DstBytes,DstRetra,DstLoad,Flgs_ e d      ,Flgs_ e *      ,PCRatio,Loss,TotPkts,DstRate,StdDev,TotBytes,DstWin,SrcWin,pLoss,SrcGap,Min,DstPkts,label
0.0,0.0,0.0,4.140960702883069e-05,0.0,0.0,0.0,0.0001191052939084,0.0,0.0,0.002375296912114,0.0,4.140960702883069e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0488771466314399,0.0,0.3961352652964251,0.0,4.140960702883069e-05,4.140960702883069e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014450867052023,0.0,0.0,9.418738265821907e-05,0.0,1.0,0.0,0.0,4.140960702883069e-05,0.0,0.0
0.0,0.0,0.0,1.6403805682918437e-05,0.0,0.0,0.0,0.0001191052939084,0.0,0.0,0.002375296912114,0.0,1.6403805682918437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0488771466314399,0.0,1.0,0.0,1.6403805682918437e-05,1.6403805682918437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014450867052023,0.0,0.0,9.418738265821907e-05,0.0,1.0,0.0,0.0,1.6403805682918437e-05,0.0,0.0
0.0,0.0,0.0,3.527485043196688e-05,0.0,0.0,0.0,0.0001191052939084,0.0,0.0,0.002375296912114,0.0,3.527485043196688e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0488771466314399,0.0,0.465028359982934,0.0,3.527485043196688e-05,3.527485043196688e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014450867052023,0.0,0.0,9.418738265821907e-05,0.0,1.0,0.0,0.0,3.527485043196688e-05,0.0,0.0
0.0,0.0,0.0,1.6437146751379652e-05,0.0,0.0,0.0,0.0001191052939084,0.0,0.0,0.002375296912114,0.0,1.6437146751379652e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0488771466314399,0.0,0.9979715808629204,0.0,1.6437146751379652e-05,1.6437146751379652e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014450867052023,0.0,0.0,9.418738265821907e-05,0.0,1.0,0.0,0.0,1.6437146751379652e-05,0.0,0.0
0.0,0.0,0.0,3.930911971577406e-05,0.0,0.0,0.0,0.0001577340378787,0.0,0.0,0.002375296912114,0.0009462716917015,3.930911971577406e-05,0.0,0.0,0.0,0.0,0.0,0.203862667506309,0.0647291941875825,0.0,0.4173027974298218,0.0,3.930911971577406e-05,3.930911971577406e-05,0.0,0.0018661297451259,0.0,0.0,0.0,0.0,0.0,0.0,0.0014450867052023,0.0,0.0,0.0001915143447383,0.0389361833501748,0.0026420079260237,0.0,0.0010284742030719,3.930911971577406e-05,0.0,0.0
0.0,0.0,0.0,0.0003978923110161,0.0,0.0,0.0,0.0001577340378787,0.0,0.0,0.002375296912114,0.0009462716917015,0.0003978923110161,0.0,0.0,0.0,0.0,0.0,0.203862667506309,0.0647291941875825,0.0,0.0412267501014199,0.0,0.0003978923110161,0.0003978923110161,0.0,0.0018661297451259,0.0,0.0,0.0,0.0,0.0,0.0,0.0014450867052023,0.0,0.0,0.0001915143447383,0.0389361833501748,0.0026420079260237,0.0,0.0010284742030719,0.0003978923110161,0.0,0.0
0.0,0.0040997306536179,0.0,0.0304357944376428,0.0,0.0055026880519441,0.0,0.0019781135974788,0.0252410640689945,0.0,0.0237529691211401,0.0,0.0304357944376428,0.0021062933313329,0.0973132885974765,0.0,0.0,0.0,0.0897710865806143,0.0811756948480845,0.095239273978452,0.012935142377503,0.0,0.0304357944376428,0.0304357944376428,0.0,0.0535775671561164,0.0,0.0499905833238883,0.0,0.0,0.0,0.0,0.0346820809248554,0.0462238552529637,0.0,0.0036199350734975,0.0078164239075841,0.0,0.0,0.0,0.0304357944376428,0.0457516339869281,0.0
0.0,0.0061306948374522,0.0,0.0191498094224526,0.0,0.0037602942709496,0.0,0.0019877707834714,0.0401169446671394,0.0,0.0237529691211401,0.0,0.0191498094224526,0.0033627624506053,0.0987244840816509,0.0,0.0,0.0,0.0986299012434517,0.0815719947159841,0.0962417926519094,0.0188452910794694,0.0,0.0191498094224526,0.0191498094224526,0.0,0.0470952217256789,0.0,0.0695487857243594,0.0,0.0,0.0,0.0,0.0317919075144508,0.0629708448185319,0.0,0.0034221415699152,0.0078164239075841,0.0,0.0,0.0,0.0191498094224526,0.0392156862745098,0.0
0.0,0.0062256682855315,0.0,0.0190046424103725,0.0,0.0037900787800265,0.0,0.0020167423414491,0.0404233775897876,0.0,0.0237529691211401,0.0,0.0190046424103725,0.0034372036827623,0.0973724884080371,0.0,0.0,0.0,0.0986299012434517,0.0827609002642008,0.0949406843118204,0.018989240443804,0.0,0.0190046424103725,0.0190046424103725,0.0,0.0470952217256789,0.0,0.0700800309730936,0.0,0.0,0.0,0.0,0.0317919075144508,0.0634518490775429,0.0,0.0034503977847127,0.0078164239075841,0.0,0.0,0.0,0.0190046424103725,0.0392156862745098,0.0
0.0,0.0066063974665738,0.0,0.018099832494472,0.0,0.0036783868709883,0.0,0.0020553710854194,0.0424441472093908,0.0,0.0237529691211401,0.0,0.018099832494472,0.0036794187790612,0.099028483108854,0.0,0.0,0.0,0.0986299012434517,0.0843461010568031,0.0965187229644848,0.0199385136363885,0.0,0.018099832494472,0.018099832494472,0.0,0.0470952217256789,0.0,0.0735833383965192,0.0,0.0,0.0,0.0,0.0317919075144508,0.0666238128110214,0.0,0.003488072737776,0.0078164239075841,0.0,0.0,0.0,0.018099832494472,0.0392156862745098,0.0
