pRetran,Load,TcpOpt_MwsS  T,Sum,DstLoss,SynAck,SrcLoss,SrcBytes,SrcRate,SrcRetra,SrcPkts,DstGap,Dur,SrcLoad,AckDat,State_SPA_SPA,IdleTime,sTtl,dMeanPktSz,sMeanPktSz,TcpRtt,Rate,Cause_Status,Max,Mean,dTtl,DstBytes,DstRetra,DstLoad,Flgs_ e d      ,Flgs_ e *      ,PCRatio,Loss,TotPkts,DstRate,StdDev,TotBytes,DstWin,SrcWin,pLoss,SrcGap,Min,DstPkts,label
0.0,0.0128891974920007,0.0,0.0046359271382461,0.0,0.0025439203425188,0.0,0.0130453959421863,0.0747800854239988,0.0,0.0067796610169491,0.0,0.0046359271382461,0.1387654316342829,0.0839309842335858,0.0,0.0,1.0,0.2103393012379642,0.2860863214285714,0.0844790713986095,0.0595966560816047,0.0,0.0046359271382461,0.0046359271382461,0.0,0.000888228784437,0.0,0.0097335268344051,0.0,0.0,0.0,0.0,0.0046669495120916,0.0401188139630073,0.0,0.0011916564312233,0.0,0.0023165539694465,0.0,0.0,0.0046359271382461,0.0031426775612822,1.0
0.0,0.006456132976594,0.0,0.0041575764418317,0.0,0.0025491226336078,0.0,0.0112132727149351,0.0667071359900746,0.0,0.0056497175141242,0.0,0.0041575764418317,0.127695414265119,0.0851526850559957,0.0,0.0,1.0,0.0585969718019257,0.2950892790178571,0.0857003362604264,0.0543710927469484,0.0,0.0041575764418317,0.0041575764418317,0.0,0.0002770774568782,0.0,0.0034458123790276,0.0,0.0,0.0,0.0,0.0038184132371658,0.0357877523623685,0.0,0.0005431946672346,0.0,0.0023322063611319,0.0,0.0,0.0041575764418317,0.0025141420490257,1.0
0.0,0.9502191274354947,1.0,0.0561613593669125,0.0707070707070707,0.0,0.0,0.9504817805523512,1.0,0.0,0.9163841807909604,0.0,0.0561613593669125,1.0,0.0836513841581076,0.0,0.0,1.0,0.9968307895460796,0.154210515625,0.0835273649972837,1.0,0.0,0.0561613593669125,0.0561613593669125,0.0,0.8954398708635997,0.0,0.9443546820870375,1.0,0.0,0.0,0.0707070707070707,0.948663555366992,0.943826083460404,0.0,0.9080750965599452,0.0,0.3790383170548459,0.0136828121368281,0.0,0.0561613593669125,0.8956631049654307,1.0
0.0,0.0519249731484583,1.0,0.149751143268501,0.0454545454545454,0.079007194768576,0.0,0.0804098527515776,0.0296320977020192,0.0,0.0734463276836158,0.0,0.149751143268501,0.0312838791386854,0.3680308303846773,0.0,0.0,1.0,0.98193510522696,0.1627747321428571,0.388371853145651,0.0466273188109201,0.0,0.149751143268501,0.149751143268501,0.0,0.1324292953246299,0.0,0.052178479878714,1.0,0.0,0.0,0.0454545454545454,0.1179465422146796,0.0529083425787614,0.0,0.1328376185128637,0.0,0.0171393688955672,0.0687500006874999,0.0,0.149751143268501,0.1338780641106222,1.0
0.0,0.0743828836742627,1.0,0.3806632882912547,0.1919191919191919,0.1271491965061413,0.0,0.2317975164551808,0.0346071000579217,0.0,0.215819209039548,0.0,0.3806632882912547,0.0358372120848146,0.3273386893505427,0.0,0.0,1.0,0.9937860839064648,0.1596858660714285,0.3604670512917489,0.0633426231790121,0.0,0.3806632882912547,0.3806632882912547,0.0,0.4820827404874234,0.0,0.0749666056453133,1.0,0.0,0.0,0.1919191919191919,0.4072974119643615,0.0751449961384898,0.0,0.4820990423572592,0.0,0.0902829952416729,0.0836836888368368,0.0,0.3806632882912547,0.4833438089252043,1.0
0.0,3.1063529278877464e-05,0.0,0.2132993297321766,0.0,0.1190960499003761,0.0,0.0046142362760399,0.0009751780148714,0.0,0.0045197740112994,0.0,0.2132993297321766,0.0009598437776955,0.3115819166240838,0.0,0.0,1.0,0.0068775790921595,0.1517857142857142,0.3426046773894088,0.0005887710320286,0.0,0.2132993297321766,0.2132993297321766,0.0,3.328257740279407e-05,0.0,8.092156817976144e-06,0.0,0.0,0.0,0.0,0.0021213406873143,0.0001743912840681,0.0,0.0001422750604566,1.0,0.0023478587528174,0.0,0.0,0.2132993297321766,0.0006285355122564,1.0
0.0,0.000318047282555,0.0,0.004866066306422,0.0,0.2102037737419559,0.0,0.0021714053063717,0.0142486776176103,0.0,0.0022598870056497,0.0,0.004866066306422,0.0131996323548119,0.0,0.0,0.0,1.0,0.0096286107290233,0.1428571428571428,0.0555703018092048,0.0103232818192433,0.0,0.004866066306422,0.004866066306422,0.0,5.824451045488967e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0008485362749257,0.0,0.0,5.592314515057923e-05,1.0,1.0,0.0,0.0,0.004866066306422,0.0,1.0
0.0,0.0662145803508359,1.0,0.784284342377327,0.8838383838383839,0.1010440998215614,0.0,0.6433636425324014,0.0460592368180899,0.0,0.5898305084745763,0.0,0.784284342377327,0.048438047811877,0.2285131474015787,1.0,0.0,1.0,0.997346356258597,0.162172453125,0.2548867785701024,0.0614564159893529,0.0,0.784284342377327,0.784284342377327,0.0,0.8782931030178978,0.0,0.0663279121111333,1.0,0.0,0.0,0.8838383838383839,0.8141705557912601,0.0662578847090479,0.0,0.8836831476835687,0.0,0.313094790884047,0.1837708858377088,0.0,0.784284342377327,0.8780641106222502,1.0
0.0,0.2228313300741617,1.0,0.0436535189802627,0.2474747474747475,0.1010440998215614,0.0,0.0633100359639003,0.0810034463081162,0.0,0.0587570621468926,0.0,0.0436535189802627,0.0841667114415775,0.2285131474015787,0.0,0.0,1.0,0.9932206478679504,0.1601991830357142,0.2548867785701024,0.1823920081945505,1.0,0.0436535189802627,0.0436535189802627,0.0,0.1664303603671068,0.0,0.2251498210725369,1.0,0.0,0.0,0.2474747474747475,0.1344929995757318,0.2258090287371343,0.0,0.1660292387585226,0.0,0.3128600050087653,0.2937329809373298,0.0,0.0436535189802627,0.1665619107479572,1.0
0.0,0.0003598557258147,0.0,0.0043007215373083,0.0,0.0390796106605349,0.0,0.0021714053063717,0.0161217155044215,0.0,0.0022598870056497,0.0,0.0043007215373083,0.0149347708408922,0.0,0.0,0.0,1.0,0.0096286107290233,0.1428571428571428,0.0103312405878024,0.0116803136235747,0.0,0.0043007215373083,0.0043007215373083,0.0,5.824451045488967e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0008485362749257,0.0,0.0,5.592314515057923e-05,1.0,1.0,0.0,0.0,0.0043007215373083,0.0,1.0
0.0,0.2272973479162043,1.0,0.122921257626861,0.1212121212121212,0.0732378539508799,0.0,0.2405849223044038,0.1145042521017365,0.0,0.2305084745762712,0.0,0.122921257626861,0.1152264650583898,0.151780143436216,0.0,0.0,1.0,0.9942587496561208,0.1551776964285714,0.1709165675305832,0.1965684827232257,0.0,0.122921257626861,0.122921257626861,0.0,0.4754124959436859,0.0,0.2289406309128494,1.0,0.0,0.0,0.1212121212121212,0.4081459482392872,0.2293807245288284,0.0,0.4757192806145295,0.0,0.0895473328324567,0.0534954425349544,0.0,0.122921257626861,0.4764299182903834,1.0
0.0,0.2082623063824356,0.0,0.0366549808741413,0.0,0.0548269457869245,0.0,0.1065854651557304,0.1815895364629174,0.0,0.1096045197740113,0.0,0.0366549808741413,0.1702736567435016,0.0383795867152775,0.0,0.0,1.0,0.9869358741403026,0.1445830200892857,0.0528169546770455,0.2083081999098531,0.0,0.0366549808741413,0.0366549808741413,0.0,0.129344832463826,0.0,0.2081784035249907,0.0,0.0,0.0,0.0,0.1289775137887144,0.2100642012804111,0.0,0.1304234656806648,0.0,0.0349204858502379,0.0,0.0,0.0366549808741413,0.1301068510370835,1.0
0.0,0.0728019844304572,1.0,0.1173283290012463,0.0606060606060606,0.1300468726427118,0.0,0.0903847458777227,0.0425482969475569,0.0,0.0824858757062147,0.0,0.1173283290012463,0.0449585561241081,0.1519867444772098,0.0,0.0,1.0,0.9814744449793672,0.16291584375,0.1861411193552601,0.0657205660145282,0.0,0.1173283290012463,0.1173283290012463,0.0,0.1453616568067031,0.0,0.0731304765424445,1.0,0.0,0.0,0.0606060606060606,0.130250318201103,0.0741869786167865,0.0,0.1458615433389982,0.0,0.0434510393188079,0.082500000825,0.0,0.1173283290012463,0.1470773098680075,1.0
