TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e  D     ,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e i      ,Flgs_ e r      ,Flgs_ e s      ,Proto_tcp,Cause_Status,Dir_  <->,State_A_FPA,State_A_PA,State_ECO,State_FA_A,State_FA_FPA,State_FA_PA,State_FA_R,State_FPA_FPA,State_FRA_FPA,State_FRA_PA,State_FRPA_FPA,State_FRPA_PA,State_FSA_SA,State_FSPA_FSPA,State_FSRPA_FSPA,State_PA_A,State_PA_FPA,State_PA_PA,State_PA_SPA,State_RA_PA,State_RPA_PA,State_R_PA,State_SA_SA,State_SA_SPA,State_SPA_FSPA,State_SPA_SPA,State_S_RA,State_S_SA,State__PA,State__SA,TcpOpt_MwsS  T,label
9.418738265821909e-05,0.00011910529390840802,0.0,0.0,0.0,0.0488771466314399,0.0,1.0,0.0,4.1409607028830694e-05,0.0,4.1409607028830694e-05,0.0,4.1409607028830694e-05,4.1409607028830694e-05,4.1409607028830694e-05,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3961352652964251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9.418738265821909e-05,0.00011910529390840802,0.0,0.0,0.0,0.0488771466314399,0.0,1.0,0.0,1.6403805682918437e-05,0.0,1.6403805682918437e-05,0.0,1.6403805682918437e-05,1.6403805682918437e-05,1.6403805682918437e-05,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9.418738265821909e-05,0.00011910529390840802,0.0,0.0,0.0,0.0488771466314399,0.0,1.0,0.0,3.527485043196688e-05,0.0,3.527485043196688e-05,0.0,3.527485043196688e-05,3.527485043196688e-05,3.527485043196688e-05,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465028359982934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9.418738265821909e-05,0.00011910529390840802,0.0,0.0,0.0,0.0488771466314399,0.0,1.0,0.0,1.6437146751379652e-05,0.0,1.6437146751379652e-05,0.0,1.6437146751379652e-05,1.6437146751379652e-05,1.6437146751379652e-05,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979715808629203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.00019151434473837884,0.0001577340378787025,0.0018661297451259633,0.0010284742030719528,0.0009462716917015092,0.06472919418758256,0.20386266750630905,0.002642007926023777,0.03893618335017487,3.930911971577406e-05,0.0,3.930911971577406e-05,0.0,3.930911971577406e-05,3.930911971577406e-05,3.930911971577406e-05,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41730279742982185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00019151434473837884,0.0001577340378787025,0.0018661297451259633,0.0010284742030719528,0.0009462716917015092,0.06472919418758256,0.20386266750630905,0.002642007926023777,0.03893618335017487,0.00039789231101615576,0.0,0.00039789231101615576,0.0,0.00039789231101615576,0.00039789231101615576,0.00039789231101615576,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04122675010141991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003619935073497554,0.0019781135974788304,0.05357756715611649,0.0,0.0,0.08117569484808454,0.08977108658061433,0.0,0.007816423907584129,0.030435794437642865,0.0,0.030435794437642865,0.0,0.030435794437642865,0.030435794437642865,0.030435794437642865,0.0,0.0,0.09523927397845204,0.005502688051944184,0.0973132885974765,0.03468208092485549,0.023752969121140145,0.0457516339869281,0.0,0.0,0.0,0.0,0.0,0.0,0.004099730653617983,0.002106293331332996,0.049990583323888324,0.0,0.0,0.012935142377503008,0.025241064068994543,0.04622385525296375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003422141569915294,0.0019877707834714043,0.047095221725678926,0.0,0.0,0.08157199471598414,0.09862990124345178,0.0,0.007816423907584129,0.019149809422452677,0.0,0.019149809422452677,0.0,0.019149809422452677,0.019149809422452677,0.019149809422452677,0.0,0.0,0.09624179265190944,0.0037602942709496793,0.09872448408165095,0.031791907514450865,0.023752969121140145,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.006130694837452283,0.003362762450605371,0.06954878572435946,0.0,0.0,0.018845291079469403,0.04011694466713946,0.06297084481853193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0034503977847127596,0.0020167423414491252,0.047095221725678926,0.0,0.0,0.0827609002642008,0.09862990124345178,0.0,0.007816423907584129,0.019004642410372544,0.0,0.019004642410372544,0.0,0.019004642410372544,0.019004642410372544,0.019004642410372544,0.0,0.0,0.09494068431182044,0.0037900787800265083,0.09737248840803711,0.031791907514450865,0.023752969121140145,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.006225668285531529,0.0034372036827623235,0.07008003097309363,0.0,0.0,0.01898924044380401,0.040423377589787604,0.06345184907754299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003488072737776047,0.0020553710854194196,0.047095221725678926,0.0,0.0,0.08434610105680317,0.09862990124345178,0.0,0.007816423907584129,0.018099832494472053,0.0,0.018099832494472053,0.0,0.018099832494472053,0.018099832494472053,0.018099832494472053,0.0,0.0,0.09651872296448485,0.0036783868709883987,0.09902848310885405,0.031791907514450865,0.023752969121140145,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.006606397466573862,0.003679418779061291,0.07358333839651923,0.0,0.0,0.019938513636388523,0.04244414720939088,0.06662381281102144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
