TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Cause_Status,State_A_FA,State_A_PA,State_FA_A,State_FA_FA,State_FA_FPA,State_FA_R,State_FRA_PA,State_FSA_FSA,State_FSPA_FSPA,State_FSRPA_FSPA,State_FSRPA_SPA,State_PA_R,State_RA_PA,State_R_A,State_SA_SA,State_SPA_FSPA,State_SPA_SPA,State_SRPA_SPA,State_SR_SA,State_S_SA,State__A,State__FA,State__SA,TcpOpt_MwsS  T,label
0.0011916564312233723,0.013045395942186334,0.0008882287844370669,0.0,0.0,0.28608632142857143,0.21033930123796424,0.0023165539694465316,0.0,0.004635927138246118,0.0,0.004635927138246118,0.0,0.004635927138246118,0.004635927138246118,0.004635927138246118,1.0,0.0,0.08447907139860958,0.002543920342518845,0.08393098423358589,0.004666949512091642,0.006779661016949153,0.0031426775612822125,0.0,0.0,0.0,0.0,0.0,0.0,0.012889197492000744,0.13876543163428298,0.009733526834405136,0.0,0.0,0.059596656081604714,0.0747800854239988,0.04011881396300735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0005431946672346704,0.011213272714935198,0.0002770774568782607,0.0,0.0,0.29508927901785714,0.05859697180192572,0.002332206361131981,0.0,0.0041575764418317245,0.0,0.0041575764418317245,0.0,0.0041575764418317245,0.0041575764418317245,0.0041575764418317245,1.0,0.0,0.08570033626042649,0.0025491226336078407,0.08515268505599576,0.003818413237165889,0.005649717514124294,0.00251414204902577,0.0,0.0,0.0,0.0,0.0,0.0,0.006456132976594014,0.12769541426511902,0.0034458123790276477,0.0,0.0,0.05437109274694849,0.06670713599007466,0.035787752362368586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9080750965599452,0.9504817805523512,0.8954398708635997,0.0,0.0,0.154210515625,0.9968307895460796,0.3790383170548459,0.0,0.05616135936691256,0.0,0.05616135936691256,0.0,0.05616135936691256,0.05616135936691256,0.05616135936691256,1.0,0.0,0.08352736499728379,0.0,0.08365138415810765,0.9486635553669919,0.9163841807909605,0.8956631049654307,0.0,0.0,0.07070707070707072,0.0,0.07070707070707072,0.0,0.9502191274354947,1.0,0.9443546820870375,0.013682812136828119,0.0,1.0,1.0,0.943826083460404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.13283761851286374,0.08040985275157767,0.13242929532462994,0.0,0.0,0.16277473214285712,0.9819351052269601,0.01713936889556724,0.0,0.14975114326850103,0.0,0.14975114326850103,0.0,0.14975114326850103,0.14975114326850103,0.14975114326850103,1.0,0.0,0.388371853145651,0.07900719476857608,0.3680308303846773,0.11794654221467968,0.07344632768361582,0.13387806411062225,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.051924973148458384,0.03128387913868548,0.05217847987871405,0.06875000068749999,0.0,0.04662731881092017,0.029632097702019248,0.05290834257876141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.48209904235725926,0.23179751645518085,0.4820827404874234,0.0,0.0,0.15968586607142857,0.9937860839064648,0.09028299524167292,0.0,0.38066328829125473,0.0,0.38066328829125473,0.0,0.38066328829125473,0.38066328829125473,0.38066328829125473,1.0,0.0,0.3604670512917489,0.12714919650614132,0.3273386893505427,0.4072974119643615,0.21581920903954804,0.4833438089252043,0.0,0.0,0.19191919191919193,0.0,0.19191919191919193,0.0,0.0743828836742627,0.03583721208481464,0.0749666056453133,0.08368368883683688,0.0,0.0633426231790121,0.03460710005792175,0.07514499613848986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0001422750604566207,0.0046142362760399,3.328257740279407e-05,0.0,0.0,0.15178571428571427,0.0068775790921595595,0.0023478587528174303,1.0,0.2132993297321766,0.0,0.2132993297321766,0.0,0.2132993297321766,0.2132993297321766,0.2132993297321766,1.0,0.0,0.34260467738940886,0.11909604990037613,0.31158191662408385,0.0021213406873143827,0.004519774011299435,0.0006285355122564425,0.0,0.0,0.0,0.0,0.0,0.0,3.1063529278877464e-05,0.0009598437776955818,8.092156817976144e-06,0.0,0.0,0.0005887710320286294,0.0009751780148714544,0.00017439128406811165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.592314515057923e-05,0.0021714053063717174,5.824451045488967e-06,0.0,0.0,0.14285714285714285,0.009628610729023386,0.9999999999999999,1.0,0.004866066306422067,0.0,0.004866066306422067,0.0,0.004866066306422067,0.004866066306422067,0.004866066306422067,1.0,0.0,0.05557030180920487,0.21020377374195595,0.0,0.000848536274925753,0.0022598870056497176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003180472825550919,0.013199632354811957,0.0,0.0,0.0,0.010323281819243305,0.014248677617610324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.8836831476835687,0.6433636425324014,0.8782931030178978,0.0,0.0,0.162172453125,0.997346356258597,0.31309479088404707,0.0,0.784284342377327,0.0,0.784284342377327,0.0,0.784284342377327,0.784284342377327,0.784284342377327,1.0,0.0,0.2548867785701024,0.10104409982156141,0.2285131474015787,0.8141705557912601,0.5898305084745763,0.8780641106222502,0.0,0.0,0.8838383838383839,0.0,0.8838383838383839,0.0,0.06621458035083597,0.04843804781187709,0.06632791211113331,0.18377088583770884,0.0,0.061456415989352926,0.04605923681808995,0.06625788470904793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.1660292387585226,0.06331003596390039,0.16643036036710684,0.0,0.0,0.16019918303571426,0.9932206478679505,0.3128600050087653,0.0,0.04365351898026275,0.0,0.04365351898026275,0.0,0.04365351898026275,0.04365351898026275,0.04365351898026275,1.0,0.0,0.2548867785701024,0.10104409982156141,0.2285131474015787,0.13449299957573185,0.05875706214689266,0.16656191074795726,0.0,0.0,0.2474747474747475,0.0,0.2474747474747475,0.0,0.22283133007416175,0.08416671144157759,0.2251498210725369,0.2937329809373298,0.0,0.18239200819455056,0.08100344630811628,0.2258090287371343,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5.592314515057923e-05,0.0021714053063717174,5.824451045488967e-06,0.0,0.0,0.14285714285714285,0.009628610729023386,0.9999999999999999,1.0,0.004300721537308304,0.0,0.004300721537308304,0.0,0.004300721537308304,0.004300721537308304,0.004300721537308304,1.0,0.0,0.010331240587802479,0.0390796106605349,0.0,0.000848536274925753,0.0022598870056497176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003598557258147566,0.01493477084089224,0.0,0.0,0.0,0.011680313623574705,0.016121715504421534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
