TcpRtt,SynAck,AckDat,100,010,001,110,101,011,111,label
0.000498,0.000498,0.0,0,0,0,0,0,0,0,0
0.061575,0.000498,0.061077,0,0,0,0,0,0,0,0
0.061575,0.000498,0.061077,0,0,0,0,0,0,0,0
0.061575,0.000498,0.061077,0,0,0,0,0,0,0,0
0.061575,0.000498,0.061077,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.001502,0.001502,0.0,0,0,0,0,0,0,0,0
0.001359,0.001359,0.0,0,0,0,0,0,0,0,0
0.001863,0.001863,0.0,0,0,0,0,0,0,0,0
0.001508,0.001508,0.0,0,0,0,0,0,0,0,0
0.001508,0.001508,0.0,0,0,0,0,0,0,0,0
0.001508,0.001508,0.0,0,0,0,0,0,0,0,0
0.060955,0.001502,0.059453,0,0,0,0,0,0,0,0
0.061309,0.001359,0.05995,0,0,0,0,0,0,0,0
0.061309,0.001863,0.059446,0,0,0,0,0,0,0,0
0.060954,0.001508,0.059446,0,0,0,0,0,0,0,0
0.06145,0.001508,0.059942,0,0,0,0,0,0,0,0
0.060955,0.001502,0.059453,0,0,0,0,0,0,0,0
0.061309,0.001863,0.059446,0,0,0,0,0,0,0,0
0.061309,0.001359,0.05995,0,0,0,0,0,0,0,0
0.06145,0.001508,0.059942,0,0,0,0,0,0,0,0
0.060954,0.001508,0.059446,0,0,0,0,0,0,0,0
0.060955,0.001502,0.059453,0,0,0,0,0,0,0,0
0.061309,0.001359,0.05995,0,0,0,0,0,0,0,0
0.060955,0.001502,0.059453,0,0,0,0,0,0,0,0
0.06145,0.001508,0.059942,0,0,0,0,0,0,0,0
0.06145,0.001508,0.059942,0,0,0,0,0,0,0,0
0.076128,0.001508,0.07462,0,0,0,0,0,0,0,0
0.076128,0.001508,0.07462,0,0,0,0,0,0,0,0
0.061309,0.001359,0.05995,0,0,0,0,0,0,0,0
0.061309,0.001359,0.05995,0,0,0,0,0,0,0,0
0.060954,0.001508,0.059446,0,0,0,0,0,0,0,0
0.060954,0.001508,0.059446,0,0,0,0,0,0,0,0
0.061309,0.001863,0.059446,0,0,0,0,0,0,0,0
0.061309,0.001863,0.059446,0,0,0,0,0,0,0,0
0.076128,0.001508,0.07462,0,0,0,0,0,0,0,0
0.076128,0.001508,0.07462,0,0,0,0,0,0,0,0
0.060955,0.001502,0.059453,0,0,0,0,0,0,0,0
0.061309,0.001359,0.05995,0,0,0,0,0,0,0,0
0.06145,0.001508,0.059942,0,0,0,0,0,0,0,0
0.06145,0.001508,0.059942,0,0,0,0,0,0,0,0
0.060955,0.001502,0.059453,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.061309,0.001359,0.05995,0,0,0,0,0,0,0,0
0.060954,0.001508,0.059446,0,0,0,0,0,0,0,0
0.06145,0.001508,0.059942,0,0,0,0,0,0,0,0
0.061309,0.001863,0.059446,0,0,0,0,0,0,0,0
0.060954,0.001508,0.059446,0,0,0,0,0,0,0,0
