TcpRtt,SynAck,AckDat,100,010,001,110,101,011,111,label
0.000514,0.000514,0.0,0,0,0,0,0,0,0,0
0.16753,0.000514,0.167016,0,0,0,0,0,0,0,0
0.16753,0.000514,0.167016,0,0,0,0,0,0,0,0
0.16753,0.000514,0.167016,0,0,0,0,0,0,0,0
0.16753,0.000514,0.167016,0,0,0,0,0,0,0,0
0.16753,0.000514,0.167016,0,0,0,0,0,0,0,0
0.16753,0.000514,0.167016,0,0,0,0,0,0,0,0
0.000993,0.000993,0.0,0,0,0,0,0,0,0,0
0.153027,0.000993,0.152034,0,0,0,0,0,0,0,0
0.153027,0.000993,0.152034,0,0,0,0,0,0,0,0
0.153027,0.000993,0.152034,0,0,0,0,0,0,0,0
0.153027,0.000993,0.152034,0,0,0,0,0,0,0,0
0.153027,0.000993,0.152034,0,0,0,0,0,0,0,0
0.000497,0.000497,0.0,0,0,0,0,0,0,0,0
0.169422,0.000497,0.168925,0,0,0,0,0,0,0,0
0.169422,0.000497,0.168925,0,0,0,0,0,0,0,0
0.169422,0.000497,0.168925,0,0,0,0,0,0,0,0
0.169422,0.000497,0.168925,0,0,0,0,0,0,0,0
0.0006,0.0006,0.0,0,0,0,0,0,0,0,0
0.0006,0.0006,0.0,0,0,0,0,0,0,0,0
0.000503,0.000503,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.000503,0.000503,0.0,0,0,0,0,0,0,0,0
0.001006,0.001006,0.0,0,0,0,0,0,0,0,0
0.169422,0.000497,0.168925,0,0,0,0,0,0,0,0
0.0005,0.0005,0.0,0,0,0,0,0,0,0,0
0.169422,0.000497,0.168925,0,0,0,0,0,0,0,0
0.16997,0.0006,0.16937,0,0,0,0,0,0,0,0
0.170468,0.0006,0.169868,0,0,0,0,0,0,0,0
0.169868,0.000503,0.169365,0,0,0,0,0,0,0,0
0.169868,0.001006,0.168862,0,0,0,0,0,0,0,0
0.169861,0.000503,0.169358,0,0,0,0,0,0,0,0
0.16997,0.0006,0.16937,0,0,0,0,0,0,0,0
0.170468,0.0006,0.169868,0,0,0,0,0,0,0,0
0.169868,0.001006,0.168862,0,0,0,0,0,0,0,0
0.16997,0.0006,0.16937,0,0,0,0,0,0,0,0
0.16997,0.0006,0.16937,0,0,0,0,0,0,0,0
0.170468,0.0006,0.169868,0,0,0,0,0,0,0,0
0.169861,0.000503,0.169358,0,0,0,0,0,0,0,0
0.169868,0.001006,0.168862,0,0,0,0,0,0,0,0
0.169311,0.0005,0.168811,0,0,0,0,0,0,0,0
0.169311,0.0005,0.168811,0,0,0,0,0,0,0,0
0.169311,0.0005,0.168811,0,0,0,0,0,0,0,0
0.169311,0.0005,0.168811,0,0,0,0,0,0,0,0
0.16997,0.0006,0.16937,0,0,0,0,0,0,0,0
0.170468,0.0006,0.169868,0,0,0,0,0,0,0,0
0.170468,0.0006,0.169868,0,0,0,0,0,0,0,0
0.169861,0.000503,0.169358,0,0,0,0,0,0,0,0
0.169861,0.000503,0.169358,0,0,0,0,0,0,0,0
0.169868,0.001006,0.168862,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.000502,0.000502,0.0,0,0,0,0,0,0,0,0
0.169868,0.001006,0.168862,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.169861,0.000503,0.169358,0,0,0,0,0,0,0,0
0.000993,0.000993,0.0,0,0,0,0,0,0,0,0
0.001006,0.001006,0.0,0,0,0,0,0,0,0,0
0.001001,0.001001,0.0,0,0,0,0,0,0,0,0
