Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,label
2.0705609149518607e-05,0.0,2.0705609149518607e-05,0.0,2.0705609149518607e-05,2.0705609149518607e-05,2.0705609149518607e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.202221981934908e-06,0.0,8.202221981934908e-06,0.0,8.202221981934908e-06,8.202221981934908e-06,8.202221981934908e-06,0.0,0.0,0.0,0.0,0.0,0.0
1.763811149773807e-05,0.0,1.763811149773807e-05,0.0,1.763811149773807e-05,1.763811149773807e-05,1.763811149773807e-05,0.0,0.0,0.0,0.0,0.0,0.0
8.218893164825018e-06,0.0,8.218893164825018e-06,0.0,8.218893164825018e-06,8.218893164825018e-06,8.218893164825018e-06,0.0,0.0,0.0,0.0,0.0,0.0
1.9655324627441574e-05,0.0,1.9655324627441574e-05,0.0,1.9655324627441574e-05,1.9655324627441574e-05,1.9655324627441574e-05,0.0,0.0,0.0,0.0,0.0,0.0
0.00019895389661059182,0.0,0.00019895389661059182,0.0,0.00019895389661059182,0.00019895389661059182,0.00019895389661059182,0.0,0.0,0.0,0.0,0.0,0.0
0.015218489355433053,0.0,0.015218489355433053,0.0,0.015218489355433053,0.015218489355433053,0.015218489355433053,0.0,0.0,0.09523927397845204,0.005502688051944184,0.0973132885974765,0.0
0.009575277275947388,0.0,0.009575277275947388,0.0,0.009575277275947388,0.009575277275947388,0.009575277275947388,0.0,0.0,0.09624179265190944,0.0037602942709496793,0.09872448408165095,0.0
0.009502690945643842,0.0,0.009502690945643842,0.0,0.009502690945643842,0.009502690945643842,0.009502690945643842,0.0,0.0,0.09494068431182044,0.0037900787800265083,0.09737248840803711,0.0
0.009050268384371995,0.0,0.009050268384371995,0.0,0.009050268384371995,0.009050268384371995,0.009050268384371995,0.0,0.0,0.09651872296448485,0.0036783868709883987,0.09902848310885405,0.0
0.008766458166850734,0.0,0.008766458166850734,0.0,0.008766458166850734,0.008766458166850734,0.008766458166850734,0.0,0.0,0.09598342749995359,0.010394793667813372,0.09703168949859362,0.0
0.00902287763088354,0.0,0.00902287763088354,0.0,0.00902287763088354,0.00902287763088354,0.00902287763088354,0.0,0.0,0.09615360813896641,0.0036709407437191914,0.0986524843120502,0.0
0.010319912330917112,0.0,0.010319912330917112,0.0,0.010319912330917112,0.010319912330917112,0.010319912330917112,0.0,0.0,0.09610719523741747,0.0036783868709883987,0.0986028844707697,0.0
0.009557505794986529,0.0,0.009557505794986529,0.0,0.009557505794986529,0.009557505794986529,0.009557505794986529,0.0,0.0,0.09575600428236372,0.008808768559472218,0.0971372891606747,0.0
0.009270428025618806,0.0,0.009270428025618806,0.0,0.009270428025618806,0.009270428025618806,0.009270428025618806,0.0,0.0,0.09476431528593442,0.0036634946164499846,0.09721728890467551,0.0
0.008794332384643,0.0,0.008794332384643,0.0,0.008794332384643,0.008794332384643,0.008794332384643,0.0,0.0,0.09555333461226662,0.0036858329982576063,0.09802848630884382,0.0
0.011897506367808373,0.0,0.011897506367808373,0.0,0.011897506367808373,0.011897506367808373,0.011897506367808373,0.0,0.0,0.0947844275432723,0.0,0.09802528631908379,0.0
0.009294167790054325,0.0,0.009294167790054325,0.0,0.009294167790054325,0.009294167790054325,0.009294167790054325,0.0,0.0,0.0955734468696045,0.0036634946164499846,0.09805408622692408,0.0
0.009342397522155418,0.0,0.009342397522155418,0.0,0.009342397522155418,0.009342397522155418,0.009342397522155418,0.0,0.0,0.09559046493350579,0.0,0.09885888365157233,0.0
