TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e s      ,Cause_Status,Dir_  <?>,State_FPA_FA,State_FPA_FPA,State_FRPA_FPA,State_PA_A,State_PA_PA,State_RPA_PA,State_SPA_SPA,TcpOpt_MwsS  T,label
0.0,0.0,0.0,0.0,0.0,0.03752345396337063,0.0,0.0,0.0,1.1766793551923802e-05,0.0,1.1766793551923802e-05,0.0,1.1766793551923802e-05,1.1766793551923802e-05,1.1766793551923802e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4244983103155976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2.669996520913624e-05,1.8251233202643443e-05,0.0003599633491862647,0.0,0.0,0.0,0.0,0.0,0.0,0.1744615979442312,0.0,0.1744615979442312,0.0,0.1744615979442312,0.1744615979442312,0.1744615979442312,1.0,0.0,0.0,0.0,0.0,0.0004157427937915742,0.00040241448692152917,0.0004452359750667854,0.0,0.0,0.0,0.0,0.0,0.0,0.00016598945096287947,0.00012517624183502963,0.002045631616110565,0.0,0.0,0.0,0.0019415003724891889,0.002547312255983016,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6783662857651428,0.67992674065606,0.6168135608010821,0.0,0.0,0.9584355741868,0.14574693744904366,0.8223655516051863,0.22058845197452187,0.9811701969519572,0.0,0.9811701969519572,0.0,0.9811701969519572,0.9811701969519572,0.9811701969519572,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.6535476718403548,0.6798792756539236,0.5952804986642921,0.0,0.0,0.15079365079365079,0.1016949152542373,0.28,0.0,0.5890572351576392,0.5883158640943845,0.6231996670886397,0.02718553177564633,0.0,0.04155461240141302,0.5832677374813305,0.6056031696662276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.6428698956543785,0.6433827941753125,0.6226384222697325,0.0,0.0,0.916784404471324,0.1878790460157087,0.8223655516051863,0.6231910436455005,0.9856879290015012,0.0,0.9856879290015012,0.0,0.9856879290015012,0.9856879290015012,0.9856879290015012,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.637749445676275,0.6706237424547283,0.5650044523597507,0.0,0.0,0.1111111111111111,0.06779661016949153,0.24,0.0,0.555673713974506,0.5541429175280201,0.6261750720522639,0.020547647168942484,0.0,0.040358767346552006,0.5726905200320186,0.5721676430545902,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.8553929884273181,0.8547470074890894,0.8808739473799031,0.0,0.0,0.9416184705598152,0.12438852598260319,0.8223655516051863,0.6238566858472161,0.8794447333457079,0.0,0.8794447333457079,0.0,0.8794447333457079,0.8794447333457079,0.8794447333457079,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.8719512195121951,0.8690140845070423,0.8784505788067676,0.0,0.0,0.031746031746031744,0.03389830508474576,0.0,0.0,0.828742770121512,0.8251761233920485,0.9930044615127195,0.004304702327448278,0.0,0.06194821531523013,0.8317605893482065,0.9970551568513761,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.1545712228314369,0.1519343265322602,0.2585845804790785,0.0,0.0,0.8697647755726741,0.2111733645453019,0.8223655516051863,0.06643681209388674,0.9698964420499668,0.0,0.9698964420499668,0.0,0.9698964420499668,0.9698964420499668,0.9698964420499668,1.0,0.0,0.5738665927843063,0.02158289002279883,0.6103614431700289,0.18514412416851442,0.16619718309859155,0.22707034728406053,0.0,0.0,0.32539682539682535,0.13559322033898305,1.0,0.0,0.13567424188963448,0.13288361325944956,0.26419572138726755,0.2015147927036949,0.0,0.011773240372543348,0.1442376850814389,0.23369310039110983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0
0.4893914835201882,0.4893730812008427,0.4901173698677953,0.0,0.0,0.9711137380935952,0.1093673476244924,0.8223655516051863,0.3193253785623342,0.9974232722142855,0.0,0.9974232722142855,0.0,0.9974232722142855,0.9974232722142855,0.9974232722142855,1.0,0.0,0.5738665927843063,0.02158289002279883,0.6103614431700289,0.4886363636363636,0.48329979879275653,0.5004452359750668,0.0,0.0,0.611111111111111,0.5254237288135594,0.6,0.0,0.41799280203882977,0.41649158900725847,0.48712969525352273,0.1447680502054412,0.0,0.030512293002026413,0.4078661550534022,0.5008272471748321,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
0.1484998125608503,0.14690334644656788,0.21147301365679133,0.0,0.0,0.9159230702796943,0.12781025380084343,0.8223655516051863,0.404250229464548,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5738665927843063,0.02158289002279883,0.6103614431700289,0.17073170731707318,0.15311871227364185,0.2097061442564559,0.0,0.0,0.30952380952380953,0.22033898305084745,0.52,0.0,0.12640937178638398,0.12460333709797083,0.20958613890527802,0.20764597063134593,0.0,0.010509584085836035,0.128886919424122,0.2093254806315952,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
0.44887954539938024,0.45017275068760143,0.3978685806536062,0.0,0.0,0.9533826532300513,0.1545788739080528,0.8223655516051863,0.404250229464548,0.9907323500638416,0.0,0.9907323500638416,0.0,0.9907323500638416,0.9907323500638416,0.9907323500638416,1.0,0.0,0.5738665927843063,0.02158289002279883,0.6103614431700289,0.4294623059866962,0.45231388329979877,0.3788958147818344,0.0,0.0,1.0,1.0,0.32,0.0,0.3859698204926956,0.3857071189075066,0.39806775518341053,0.2646420675801394,0.0,0.026976481033012156,0.3842944502164549,0.38174586565738405,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
0.05794135177339012,0.05617536006088169,0.12760155329639167,0.0,0.0,0.7247157003288638,0.2589122762254821,0.8223655516051863,0.404250229464548,0.9992519252665942,0.0,0.9992519252665942,0.0,0.9992519252665942,0.9992519252665942,0.9992519252665942,1.0,0.0,0.5738665927843063,0.02158289002279883,0.6103614431700289,0.08273281596452328,0.07263581488933601,0.10507569011576136,0.0,0.0,0.2857142857142857,0.16101694915254236,0.68,0.0,0.049299869394659114,0.04762497261853655,0.1264367690786041,0.3842519549483811,0.0,0.004998445993037775,0.06118660419312337,0.10496346171650575,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
