application,level,window,capture,total,reserved_rows,train_raw,train_purged_tuple_rows,train_eligible_rows,train_common_endpoints,validation_raw,validation_purged_tuple_rows,validation_eligible_rows,validation_common_endpoints,train_validation_shared_tuples
SSH,Low,5,SSH_Low,6688,1338,4012,284,3728,3399,1338,43,1295,1239,0
SSH,Low,10,SSH_Low,6688,1338,4012,284,3728,3028,1338,43,1295,1179,0
SSH,Low,20,SSH_Low,6688,1338,4012,284,3728,2398,1338,43,1295,1068,0
SSH,Low,50,SSH_Low,6688,1338,4012,284,3728,1196,1338,43,1295,768,0
SSH,Low,100,SSH_Low,6688,1338,4012,284,3728,326,1338,43,1295,384,0
SSH,Medium,1,SSH_Medium,2968,594,1780,25,1755,1755,594,14,580,580,0
SSH,Medium,3,SSH_Medium,2968,594,1780,25,1755,1741,594,14,580,572,0
SSH,Medium,5,SSH_Medium,2968,594,1780,25,1755,1727,594,14,580,564,0
SSH,Medium,10,SSH_Medium,2968,594,1780,25,1755,1692,594,14,580,544,0
SSH,Medium,20,SSH_Medium,2968,594,1780,25,1755,1622,594,14,580,505,0
SSH,Medium,50,SSH_Medium,2968,594,1780,25,1755,1412,594,14,580,415,0
SSH,Medium,100,SSH_Medium,2968,594,1780,25,1755,1136,594,14,580,265,0
SSH,High,1,SSH_High,4783,957,2869,70,2799,2799,957,15,942,942,0
SSH,High,3,SSH_High,4783,957,2869,70,2799,2774,957,15,942,934,0
SSH,High,5,SSH_High,4783,957,2869,70,2799,2750,957,15,942,926,0
SSH,High,10,SSH_High,4783,957,2869,70,2799,2690,957,15,942,906,0
SSH,High,20,SSH_High,4783,957,2869,70,2799,2573,957,15,942,866,0
SSH,High,50,SSH_High,4783,957,2869,70,2799,2243,957,15,942,760,0
SSH,High,100,SSH_High,4783,957,2869,70,2799,1737,957,15,942,610,0
Video,Low,1,Video_Low,8787,1758,5272,508,4764,4764,1757,87,1670,1670,0
Video,Low,3,Video_Low,8787,1758,5272,508,4764,4217,1757,87,1670,1574,0
Video,Low,5,Video_Low,8787,1758,5272,508,4764,3882,1757,87,1670,1517,0
Video,Low,10,Video_Low,8787,1758,5272,508,4764,3153,1757,87,1670,1399,0
Video,Low,20,Video_Low,8787,1758,5272,508,4764,2024,1757,87,1670,1207,0
Video,Low,50,Video_Low,8787,1758,5272,508,4764,498,1757,87,1670,725,0
Video,Low,100,Video_Low,8787,1758,5272,508,4764,4,1757,87,1670,330,0
Video,Medium,1,Video_Medium,5327,1066,3196,203,2993,2993,1065,30,1035,1035,0
Video,Medium,3,Video_Medium,5327,1066,3196,203,2993,2799,1065,30,1035,999,0
Video,Medium,5,Video_Medium,5327,1066,3196,203,2993,2672,1065,30,1035,975,0
