StdDev,SynAck,DstBytes,SrcBytes,State_A_A,State_PA_PA,DstGap,DstWin,pLoss,SrcRate,Flgs_ e s      ,Mean,sTtl,SrcWin,SrcRetra,Rate,State_FPA_FPA,State__SA,IdleTime,Flgs_ e *      ,State_A_PA,AckDat,DstLoss,State_FA_FA,DstPkts,Min,State_S_SA,TcpOpt_MwsS  T,Load,SrcLoad,Dur,Flgs_ e d      ,DstRetra,SrcPkts,PCRatio,dMeanPktSz,DstRate,Loss,SrcGap,pRetran,State__PA,TotBytes,TotPkts,Flgs_ e g      ,DstLoad,State_SPA_SPA,State__A,TcpRtt,Cause_Status,SrcLoss,Sum,sMeanPktSz,Max,dTtl,label
0.0,0.0,98.0,98.0,0.0,0.0,2298433.4833031325,434180.50583333336,0.0,0.0,0.0,0.001015,62.0,507918.4607708,0.0,985.221619,0.0,0.0,1721542400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001015,0.0,0.0,0.0,0.0,0.001015,0.0,0.0,1.0,-0.0,98.0,0.0,0.0,2531250.642868237,0.0,0.0,196.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001015,98.0,0.001015,64.0,HTTP
0.0,0.0,98.0,98.0,0.0,0.0,2298433.4833031325,434180.50583333336,0.0,0.0,0.0,0.001526,62.0,507918.4607708,0.0,655.307983,0.0,0.0,1721542400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001526,0.0,0.0,0.0,0.0,0.001526,0.0,0.0,1.0,-0.0,98.0,0.0,0.0,2531250.642868237,0.0,0.0,196.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001526,98.0,0.001526,64.0,HTTP
0.0,0.012072,74.0,140.0,0.0,0.0,0.0,4077568.0,0.0,2.397357,0.0,0.417126,62.0,64256.0,0.0,4.794714,0.0,0.0,1721542400.0,0.0,0.0,0.405054,0.0,0.0,1.0,0.417126,0.0,0.0,1342.52002,1342.52002,0.417126,0.0,0.0,2.0,-0.0,74.0,0.0,0.0,0.0,0.0,0.0,214.0,3.0,0.0,0.0,0.0,0.0,0.417126,0.0,0.0,0.417126,70.0,0.417126,64.0,HTTP
0.0,0.002666,74.0,140.0,0.0,0.0,0.0,4077568.0,0.0,14.35977,0.0,0.069639,62.0,64256.0,0.0,28.71954,0.0,0.0,1721542400.0,0.0,0.0,0.066973,0.0,0.0,1.0,0.069639,0.0,0.0,8041.471191,8041.471191,0.069639,0.0,0.0,2.0,-0.0,74.0,0.0,0.0,0.0,0.0,0.0,214.0,3.0,0.0,0.0,0.0,0.0,0.069639,0.0,0.0,0.069639,70.0,0.069639,64.0,HTTP
0.0,0.012072,9956.0,761.0,0.0,0.0,0.0,31872.0,0.0,31.879421,0.0,0.156841,62.0,58752.0,0.0,95.63826,1.0,0.0,1721542400.0,0.0,0.0,0.405054,0.0,0.0,10.0,0.156841,0.0,0.0,489463.875,32389.490234,0.156841,0.0,0.0,6.0,-0.0,995.599976,57.382957,0.0,0.0,0.0,0.0,10717.0,16.0,0.0,457074.375,0.0,0.0,0.417126,1.0,0.0,0.156841,126.833336,0.156841,64.0,HTTP
0.0,0.002666,4246.0,598.0,0.0,0.0,0.0,31872.0,0.0,15.051476,0.0,0.199316,62.0,62592.0,0.0,45.15443,1.0,0.0,1721542400.0,0.0,0.0,0.066973,0.0,0.0,6.0,0.199316,0.0,0.0,160067.4375,18021.634766,0.199316,0.0,0.0,4.0,-0.0,707.666687,25.085794,0.0,0.0,0.0,0.0,4844.0,10.0,0.0,142045.796875,0.0,0.0,0.069639,1.0,0.0,0.199316,149.5,0.199316,64.0,HTTP
0.0,0.001533,5175.0,796.0,0.0,0.0,0.0,31872.0,11.111111,7.304317,0.0,0.821432,62.0,62592.0,0.0,18.260794,0.0,0.0,1721542400.0,0.0,0.0,0.076116,2.0,0.0,9.0,0.821432,0.0,0.0,51451.613281,6651.79834,0.821432,1.0,0.0,7.0,-0.0,575.0,9.73909,2.0,0.0,0.0,0.0,5971.0,16.0,0.0,44799.8125,0.0,0.0,0.077649,0.0,0.0,0.821432,113.714287,0.821432,64.0,HTTP
0.0,0.001481,6348.0,801.0,0.0,0.0,0.0,31872.0,0.0,15.947394,0.0,0.376237,62.0,61568.0,0.0,37.210587,0.0,0.0,1721542400.0,0.0,0.0,0.075577,0.0,0.0,8.0,0.376237,0.0,0.0,132724.84375,14607.813477,0.376237,0.0,0.0,7.0,-0.0,793.5,18.605293,0.0,0.0,0.0,0.0,7149.0,15.0,0.0,118117.039062,0.0,0.0,0.077058,0.0,0.0,0.376237,114.428574,0.376237,64.0,HTTP
0.0,0.001481,7598.0,801.0,0.0,0.0,0.0,31872.0,0.0,16.661991,0.0,0.360101,62.0,60672.0,0.0,41.65498,0.0,0.0,1721542400.0,0.0,0.0,0.076075,0.0,0.0,9.0,0.360101,0.0,0.0,165309.171875,15262.383789,0.360101,0.0,0.0,7.0,-0.0,844.222229,22.215988,0.0,0.0,0.0,0.0,8399.0,16.0,0.0,150046.78125,0.0,0.0,0.077556,0.0,0.0,0.360101,114.428574,0.360101,64.0,HTTP
0.0,0.001072,6721.0,808.0,0.0,0.0,0.0,31872.0,0.0,15.985677,0.0,0.375336,62.0,60672.0,0.0,39.964191,0.0,0.0,1721542400.0,0.0,0.0,0.076075,0.0,0.0,9.0,0.375336,0.0,0.0,142123.328125,14770.765625,0.375336,0.0,0.0,7.0,-0.0,746.777771,21.314236,0.0,0.0,0.0,0.0,7529.0,16.0,0.0,127352.5625,0.0,0.0,0.077147,0.0,0.0,0.375336,115.428574,0.375336,64.0,HTTP
