TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e s      ,Cause_Status,Dir_  <?>,State_A_PA,State_FPA_FA,State_FPA_FPA,State_FRPA_FPA,State_PA_A,State_PA_PA,State_RPA_PA,State_SPA_SPA,State__PA,TcpOpt_Mws   T,TcpOpt_MwsS  T,label
0.0,3.2364913064740024e-05,0.0,0.0,0.0,0.0964332892998679,0.0,0.0,0.0,4.09000490800589e-05,0.0,4.09000490800589e-05,0.0,4.09000490800589e-05,4.09000490800589e-05,4.09000490800589e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.00032206119162640903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4246128816976489,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.2824440557081086e-05,6.162634131505292e-05,0.000586062371243873,0.0,0.0,0.061206515191545574,0.0,0.0,0.0,0.3489372187246625,0.0,0.3489372187246625,0.0,0.3489372187246625,0.3489372187246625,0.3489372187246625,1.0,0.0,0.0,0.0,0.0,0.0006690454950936664,0.0009661835748792271,0.0007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.00014864068815345296,0.00011245037401758949,0.0015980422972850896,0.0,0.0,0.0001990808786574804,0.0017566929064645365,0.001975632800492791,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.21287899629893017,0.2118358930432728,0.25568302905448603,0.0,0.0,0.9254813956406869,0.10394173503542731,0.8223655516051863,0.22058845197452187,0.6167864734771015,0.0,0.6167864734771015,0.0,0.6167864734771015,0.6167864734771015,0.6167864734771015,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.21989295272078502,0.21964573268921095,0.2210144927536232,0.0,0.0,0.12068965517241378,0.08771929824561403,0.25,0.0,0.32801178084597105,0.3263632265249402,0.3940363228782299,0.0628742706287427,0.0,0.027790687318755752,0.3383953688780185,0.3408943353494392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.8756464760243693,0.8787047295778507,0.75330326063792,0.0,0.0,0.9682529306472919,0.05855288675226622,0.8223655516051863,0.22058845197452187,0.9962102287856079,0.0,0.9962102287856079,0.0,0.9962102287856079,0.9962102287856079,0.9962102287856079,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.8336306868867084,0.87085346215781,0.75,0.0,0.0,0.04310344827586207,0.017543859649122806,0.1875,0.0,0.836166357778436,0.8390834388614787,0.7193393460666473,0.006007995060079951,0.0,0.0651810682253156,0.8315861231254921,0.7162162561812201,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.894174318831853,0.8967621342931082,0.7906514172053705,0.0,0.0,0.9512136400264202,0.07376193627963151,0.8223655516051863,0.6231910436455005,0.9958937284058075,0.0,0.9958937284058075,0.0,0.9958937284058075,0.9958937284058075,0.9958937284058075,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.8568242640499555,0.904669887278583,0.7492753623188406,0.0,0.0,0.06034482758620689,0.06140350877192982,0.0,0.0,0.8541400831441575,0.8566104392667147,0.7552073977209648,0.00817969508179695,0.0,0.06701536808644273,0.8641642039540537,0.7157516532285458,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.1576869438229854,0.15552183102057213,0.245506855153797,0.0,0.0,0.7827483850726553,0.13875827031038773,0.8223655516051863,0.6231910436455005,0.9885065528745302,0.0,0.9885065528745302,0.0,0.9885065528745302,0.9885065528745302,0.9885065528745302,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.19112399643175737,0.19066022544283415,0.1927536231884058,0.0,0.0,0.06034482758620689,0.008771929824561403,0.375,0.0,0.15157680125574885,0.14946907707256255,0.2359903456875645,0.036374130363741305,0.0,0.01507386939836922,0.18323991373404558,0.18550554602324998,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.8306462078309031,0.829806222841737,0.8645130354478937,0.0,0.0,0.9494853051519154,0.057249057795500546,0.8223655516051863,0.6238566858472161,0.9601893188938494,0.0,0.9601893188938494,0.0,0.9601893188938494,0.9601893188938494,0.9601893188938494,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.8465655664585192,0.8386473429951691,0.8644927536231884,0.0,0.0,0.034482758620689655,0.03508771929824561,0.0,0.0,0.8229425004799747,0.8221040212502667,0.8565239568593531,0.0047343600473436,0.0,0.06867532414961536,0.8308630964717042,0.8565217153021061,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.5199548915892799,0.519451977784369,0.5407224550685515,0.0,0.0,0.9420205521796565,0.05850031700074115,0.8223655516051863,0.6238566858472161,0.6860288565679612,0.0,0.6860288565679612,0.0,0.6860288565679612,0.6860288565679612,0.6860288565679612,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.5318911685994648,0.52914653784219,0.5384057971014493,0.0,0.0,0.0,0.0,0.0,0.0,0.7208539111424556,0.7201323869784169,0.749750545031195,0.0,0.0,0.0604011296234793,0.7335722728197036,0.7466227563622323,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.04946222884342866,0.04700050409460486,0.14930382894082547,0.0,0.0,0.7823516968295906,0.17640989375352184,0.8223655516051863,0.056895940535963314,0.9803003096937051,0.0,0.9803003096937051,0.0,0.9803003096937051,0.9803003096937051,0.9803003096937051,1.0,0.0,0.5738665927843063,0.02158289002279883,0.6103614431700289,0.07247992863514718,0.057648953301127216,0.10652173913043478,0.0,0.0,0.1810344827586207,0.07894736842105263,0.75,0.0,0.04778650267734221,0.045371699818425,0.14449804275735612,0.2715517377155174,0.0,0.005775312256122824,0.05565100368817518,0.10337439480372669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
0.19841082394223633,0.19662172377300405,0.27111600483057474,0.0,0.0,0.904084501981506,0.06715127534107068,0.8223655516051863,0.06643681209388674,0.8994108126263086,0.0,0.8994108126263086,0.0,0.8994108126263086,0.8994108126263086,0.8994108126263086,1.0,0.0,0.5738665927843063,0.02158289002279883,0.6103614431700289,0.22502230151650315,0.20869565217391306,0.2623188405797101,0.0,0.0,0.1724137931034483,0.06140350877192982,0.8125,0.0,0.20964177487402474,0.2077192659948069,0.28663730117308683,0.08729388087293882,0.0,0.01950205015120926,0.22047448077076062,0.277463116905705,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0
