TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e s      ,Cause_Status,Dir_  <?>,State_A_A,State_A_PA,State_FA_FA,State_FPA_FPA,State_FRPA_FPA,State_PA_A,State_PA_PA,State_RPA_PA,State_SPA_SPA,State__PA,TcpOpt_Mws   T,TcpOpt_MwsS  T,label
212.0,146.0,66.0,0.0,0.0,146.0,66.0,1907.0,294.0,0.001227,1721542656.0,0.001227,0.0,0.001227,0.001227,0.001227,62.0,64.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,814.995911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
212.0,146.0,66.0,0.0,0.0,146.0,66.0,1907.0,294.0,0.001241,1721542656.0,0.001241,0.0,0.001241,0.001241,0.001241,62.0,64.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,805.801758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
198.0,132.0,66.0,0.0,0.0,66.0,66.0,1907.0,294.0,0.075736,1721542656.0,0.075736,0.0,0.075736,0.075736,0.075736,62.0,64.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,6971.585449,6971.585449,0.0,0.0,0.0,26.40752,13.20376,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18926.0,12458.0,6468.0,0.0,0.0,336.702698,190.235291,64128.0,31872.0,4.751155,1721542656.0,4.751155,0.0,4.751155,4.751155,4.751155,62.0,64.0,0.061124,0.0,0.061124,71.0,37.0,34.0,0.0,0.0,0.0,0.0,0.0,-0.0,30981.941406,20411.037109,10570.90332,0.0,0.0,14.73326,7.577105,6.94568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
895122.0,875658.0,19464.0,0.0,0.0,1476.657715,81.099998,64128.0,509312.0,4.970593,1721542656.0,4.970593,0.0,4.970593,4.970593,4.970593,62.0,64.0,0.061124,0.0,0.061124,833.0,593.0,240.0,0.0,0.0,12.0,10.0,2.0,-0.0,1438162.375,1406966.125,31196.277344,1.420118,0.0,167.38446,119.100479,48.082794,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
9874.0,8848.0,1026.0,0.0,0.0,884.799988,114.0,64128.0,509312.0,4.870605,1721542656.0,4.870605,0.0,4.870605,4.870605,4.870605,62.0,64.0,0.061124,0.0,0.061124,19.0,10.0,9.0,0.0,0.0,1.0,0.0,1.0,-0.0,14578.886719,13080.920898,1497.96582,5.0,0.0,3.695639,1.84782,1.642506,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
60542.0,58640.0,1902.0,0.0,0.0,1396.19043,82.695656,64128.0,509312.0,1.692619,1721542656.0,1.692619,0.0,1.692619,1.692619,1.692619,62.0,64.0,0.061124,0.0,0.061124,65.0,42.0,23.0,0.0,0.0,1.0,0.0,1.0,-0.0,279160.3125,270558.25,8602.053711,1.515152,0.0,37.811226,24.222816,12.997609,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
96752.0,92750.0,4002.0,0.0,0.0,1306.338013,93.069771,64128.0,509312.0,4.395444,1721542656.0,4.395444,0.0,4.395444,4.395444,4.395444,62.0,64.0,0.061124,0.0,0.061124,114.0,71.0,43.0,0.0,0.0,5.0,2.0,3.0,-0.0,173548.796875,166434.15625,7114.639648,4.201681,0.0,25.708439,15.925581,9.555348,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
29586.0,27570.0,2016.0,0.0,0.0,835.454529,126.0,64128.0,509312.0,4.239693,1721542656.0,4.239693,0.0,4.239693,4.239693,4.239693,62.0,64.0,0.061124,0.0,0.061124,49.0,33.0,16.0,0.0,0.0,0.0,0.0,0.0,-0.0,54013.34375,50447.046875,3566.295898,0.0,0.0,11.321574,7.547716,3.537992,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
48246.0,44990.0,3256.0,0.0,0.0,818.0,116.285713,64128.0,509312.0,4.629716,1721542656.0,4.629716,0.0,4.629716,4.629716,4.629716,62.0,64.0,0.061124,0.0,0.061124,83.0,55.0,28.0,0.0,0.0,0.0,0.0,0.0,-0.0,81753.617188,76327.796875,5425.818848,0.0,0.0,17.71167,11.663783,5.831892,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
