application,level,partition,window,median_span_seconds,p95_span_seconds
SMTP,Low,train,50,114.60969,130.95505169999998
SMTP,Low,validation,50,122.8953955,133.4412594
SMTP,Medium,train,50,123.2624625,147.7109195
SMTP,Medium,validation,50,93.19303500000001,109.18534000000001
SMTP,High,train,50,105.776752,118.8059408
SMTP,High,validation,50,107.6521345,117.54026189999999
SMTP,Low,train,100,231.77865,259.4778124
SMTP,Low,validation,100,248.74111499999998,266.13098095000004
SMTP,Medium,train,100,250.898809,277.66224455
SMTP,Medium,validation,100,188.0754075,211.198477
SMTP,High,train,100,212.882863,233.2411546
SMTP,High,validation,100,217.519374,233.5367285
SSH,Low,train,1,0.0,0.0
SSH,Low,validation,1,0.0,0.0
SSH,Medium,train,1,0.0,0.0
SSH,Medium,validation,1,0.0,0.0
SSH,High,train,1,0.0,0.0
SSH,High,validation,1,0.0,0.0
SSH,Low,train,3,3.479228,4.777605999999999
SSH,Low,validation,3,3.417422,4.726163099999999
SSH,Medium,train,3,3.181331,4.677525
SSH,Medium,validation,3,3.253457,4.4541271
SSH,High,train,3,2.99872,4.477939949999999
SSH,High,validation,3,3.05947,4.384039949999999
SSH,Low,train,5,6.984013,8.815927199999999
SSH,Low,validation,5,6.911515,8.7085413
SSH,Medium,train,5,6.335652,8.504712
SSH,Medium,validation,5,6.35055,8.0984149
SSH,High,train,5,6.0332115,7.95916395
SSH,High,validation,5,6.0402455,7.81958545
SSH,Low,train,10,15.758603,18.6035874
SSH,Low,validation,10,15.598402,18.396053999999996
SSH,Medium,train,10,14.422168,17.467736
SSH,Medium,validation,10,14.296539,16.836065899999998
SSH,High,train,10,13.6752945,16.37410515
SSH,High,validation,10,13.843704500000001,16.09500365
SSH,Low,train,20,33.427763,37.9872408
SSH,Low,validation,20,32.870649,37.5041114
SSH,Medium,train,20,30.378475,35.331263
SSH,Medium,validation,20,30.294514,33.935747400000004
SSH,High,train,20,29.045925500000003,32.4980953
SSH,High,validation,20,29.278016,32.2286285
SSH,Low,train,50,86.112602,95.411909
SSH,Low,validation,50,84.026061,93.2743698
SSH,Medium,train,50,78.686969,88.137506
SSH,Medium,validation,50,77.836077,84.62834269999999
SSH,High,train,50,75.2535895,79.7556629
SSH,High,validation,50,75.552688,80.44134109999999
SSH,Low,train,100,175.33974,189.4655152
SSH,Low,validation,100,172.385485,184.6024903
SSH,Medium,train,100,158.99722,175.386271
SSH,Medium,validation,100,158.573465,166.7728897
SSH,High,train,100,151.90788049999998,157.90688834999997
SSH,High,validation,100,153.0893555,158.2492892
Video,Low,train,1,0.0,0.0
Video,Low,validation,1,0.0,0.0
Video,Medium,train,1,0.0,0.0
Video,Medium,validation,1,0.0,0.0
Video,High,train,1,0.0,0.0
Video,High,validation,1,0.0,0.0
Video,Low,train,3,2.024021,10.218677799999998
Video,Low,validation,3,2.037814,10.1703048
Video,Medium,train,3,2.505909,9.824686400000001
Video,Medium,validation,3,2.5002815,9.464189000000001
Video,High,train,3,2.249976,9.6132055
Video,High,validation,3,2.307237,9.777888599999997
Video,Low,train,5,7.982737,13.3056048
Video,Low,validation,5,7.528230499999999,13.419271399999998
Video,Medium,train,5,7.562644,13.5348258
Video,Medium,validation,5,7.2303765,13.33739675
Video,High,train,5,7.042357,13.610623799999999
Video,High,validation,5,6.980226,13.817395799999993
Video,Low,train,10,16.571978,25.406257999999998
Video,Low,validation,10,16.337840999999997,25.113885649999997
Video,Medium,train,10,16.266614,24.9353148
Video,Medium,validation,10,15.686252,24.53140425
Video,High,train,10,15.795203,24.653055299999995
Video,High,validation,10,16.01098,24.093322799999996
Video,Low,train,20,36.669156,47.879311799999996
Video,Low,validation,20,36.379011500000004,45.577778099999996
Video,Medium,train,20,35.243135,47.56823559999997
Video,Medium,validation,20,34.7860545,45.417813499999994
Video,High,train,20,34.853321,44.475126
Video,High,validation,20,35.121758,43.146096
Video,Low,train,50,94.207478,114.672958
Video,Low,validation,50,93.85157849999999,106.85409994999999
Video,Medium,train,50,91.019515,118.8109614
Video,Medium,validation,50,89.6660005,106.03244775
Video,High,train,50,89.87367,105.6273092
Video,High,validation,50,90.148203,101.2217509
Video,Low,train,100,190.673178,220.09014379999996
Video,Low,validation,100,189.324219,204.69885015
Video,Medium,train,100,184.610775,230.3340058
Video,Medium,validation,100,179.30458700000003,206.786632
Video,High,train,100,181.61292,200.6426745
Video,High,validation,100,181.610987,197.6893886
