application,window,partition,ari_mean,ari_std,ami_mean,ami_std,mapped_balanced_accuracy_mean,mapped_balanced_accuracy_std,silhouette_mean,silhouette_std,recall_low_mean,recall_low_std,recall_medium_mean,recall_medium_std,recall_high_mean,recall_high_std
HTTP,1,train,0.11723523202815685,0.002357619738752119,0.08284085163104987,0.001657101966194861,0.4614412692347162,0.0028281103960696307,0.4827738264932105,0.0046333665233663545,0.7934520847845556,0.006547658111518603,0.07744991878722252,0.00507029118286656,0.5134218041323703,0.010767011879291133
HTTP,1,validation,0.3915177457780093,0.0064336989101843765,0.3390274491226318,0.004131853913298737,0.5516642869865855,0.0037905423486535176,0.5053997890750239,0.0032487599648438575,0.9616321559074299,0.005348406842341732,0.06458072590738423,0.012349051175621219,0.6287799791449427,0.01065318912497527
HTTP,3,train,0.1278714728550741,0.0037496674100905413,0.09148412868722672,0.0035961278584260526,0.47115695626617304,0.0030594925770387154,0.4148273836249083,0.006037672366427862,0.7911832023086875,0.011130628671032868,0.08259339469409853,0.006963466200145036,0.5396942717957333,0.013409383656551406
HTTP,3,validation,0.4353922470440798,0.017672866957845524,0.3857451598733361,0.014121831217480856,0.5642188366891411,0.0026548956609872116,0.4359681210023904,0.006612070381186085,0.974665042630938,0.004132774074865668,0.0690863579474343,0.007235538886501061,0.6489051094890511,0.005062992027658047
HTTP,5,train,0.13148277670987238,0.010208701585349273,0.09524348975874716,0.00916072833024492,0.4734379369872047,0.00856539821380307,0.42429623410816575,0.010720517125186818,0.7953826251368296,0.024384941955668267,0.08486735246345425,0.01376929850865551,0.5400638333613303,0.03666158581557294
HTTP,5,validation,0.4505075955029138,0.03756230579556171,0.4046094302097131,0.030580671219924346,0.5702221381048379,0.006749309125584662,0.43029150803222727,0.008591931410051833,0.9788063337393422,0.007078061557007712,0.0690863579474343,0.01551917495273519,0.6627737226277371,0.01386508457859823
HTTP,10,train,0.14091900499475613,0.0034378286843242236,0.10332592708684145,0.003277803735137646,0.4791094836197038,0.001638786259718943,0.42981805501100345,0.0033422094687664654,0.7846352870932432,0.006231811924113673,0.09583107742284787,0.006301626609087589,0.5568620863430203,0.006154903732760363
HTTP,10,validation,0.5057118894787159,0.01403261541140672,0.4625922614600748,0.013852566721360707,0.5837857628209322,0.0021275933052382445,0.4342360290664414,0.0027113219930764132,0.9833739342265531,0.0025892023957955284,0.08018356278681685,0.008475185262647676,0.6877997914494265,0.006084710932594434
HTTP,20,train,0.14931154978231148,0.006701140145963741,0.10977805768645732,0.007875480950698566,0.4844993038962856,0.005069073696072112,0.4273182312983452,0.007359019688194998,0.7785849338242612,0.014447643103737973,0.1651867893881971,0.11439018229237323,0.5097261884763984,0.14072127228642384
HTTP,20,validation,0.5237984757130972,0.03494728431951101,0.4809095933078794,0.042158448078656846,0.5939902607392152,0.016166616766971734,0.4314894086671396,0.011100372726441677,0.9828258221680877,0.0018219580148174997,0.20008343763037129,0.2123648742779156,0.5990615224191866,0.1661355186821732
HTTP,50,train,0.17672282405953907,0.008032895498407397,0.1325724684631519,0.006499865659472596,0.5039283446912427,0.005973320282012407,0.41951798548607544,0.0025835304243780393,0.773091849935317,0.0031511034503609436,0.4939090416892258,0.0038901212407146395,0.24478414244918528,0.020685191653066853
HTTP,50,validation,0.5672914109970398,0.010266209860874898,0.5246593710793452,0.0069574911285919415,0.7008755648327714,0.005703955348239313,0.4332697025973159,0.004064776862707594,0.9721680876979294,0.0010894362862362342,0.7490196078431373,0.008896971389280797,0.38143899895724714,0.018677360195628177
HTTP,100,train,0.21129473069693788,0.024625582037050106,0.16253647652394027,0.024093571363372406,0.542171570336127,0.01581884948551334,0.4211699865435624,0.025151755448686294,0.778903373469997,0.00857465408537436,0.4373308067135896,0.17570576734584534,0.41028053082479427,0.13514690945310262
HTTP,100,validation,0.6203348559018359,0.03981600892162962,0.5785821934127002,0.04112198113471831,0.7418403118029513,0.027367633594768667,0.42043803695522264,0.013202629459839722,0.9914129110840438,0.011762790696336095,0.647976637463496,0.20650000194684942,0.5861313868613138,0.13426804753940422
SFTP,1,train,0.2314715390460373,0.018341667389622215,0.21467402896720494,0.012116821698971868,0.5325839040933513,0.029777846190126755,0.4673244853933416,0.014242163841234836,0.8467105263157894,0.03227784121574405,0.1216632742076185,0.013772459449615856,0.6293779117566457,0.0699819276109987
SFTP,1,validation,0.20853908305274538,0.015189421027762114,0.21926872872887318,0.01344723495322671,0.42369591039822374,0.022530317632636812,0.41399542910349796,0.03162913934040814,0.7217331499312242,0.05767866031889066,0.09010175763182239,0.016607507559675376,0.4592528236316246,0.02955613577350811
SFTP,3,train,0.24986016338905662,0.013846898174524329,0.23600749364836657,0.010949703105139149,0.5446841237635857,0.017275235450131775,0.4147502929941681,0.04580667671926766,0.897719298245614,0.03411113542326868,0.10037801686536785,0.022220974071896812,0.6359550561797753,0.05057223128326834
SFTP,3,validation,0.2482721695293309,0.021457467640911134,0.24321461078995968,0.008450859287088643,0.4832848041252017,0.057444082796582724,0.4026399665137778,0.0657883958310602,0.8015130674002752,0.05775446786702492,0.08344125809435707,0.01837840718010238,0.564900086880973,0.13435883356213474
SFTP,5,train,0.27313988081982415,0.011287396810766756,0.26219489522218076,0.008716114273096738,0.5421934236188126,0.018423770039009506,0.36863040519194085,0.012677682989794024,0.8743859649122807,0.02157018703223787,0.11503343995347484,0.011475033602910295,0.6371608659906823,0.04434918001689523
SFTP,5,validation,0.24719338973670787,0.006865910952453783,0.2588423937388795,0.003213424536827952,0.4333586200687701,0.01781652341165395,0.34735646081216986,0.030383346954215636,0.7580467675378266,0.029960521758531023,0.09250693802035152,0.00819613559050386,0.44952215464813206,0.03223155298922258
SFTP,10,train,0.2937081072571215,0.01896058805982818,0.2963339514870893,0.019316462166453184,0.5501702503862244,0.03198143882268692,0.4045264157652004,0.04537164503738557,0.9037280701754387,0.06199259250172266,0.14480953765629542,0.015936085175800835,0.6019731433269389,0.04806690137140214
SFTP,10,validation,0.28851432759735973,0.015205477625885469,0.2967608841788184,0.007899967568001124,0.4574643707191764,0.07674712801067354,0.3923973319447996,0.07911562699776446,0.7896836313617607,0.07488890994216162,0.10712303422756708,0.016423564122976617,0.47558644656820154,0.1491832578831671
SFTP,20,train,0.33155951213731394,0.026419351620078996,0.3413947465577898,0.013660360920659798,0.5759563468628207,0.03661998627819966,0.4252986696133883,0.01856520222682588,0.9415789473684211,0.012886081353300943,0.19796452457109623,0.04567706232328415,0.5883255686489449,0.15996797380839983
SFTP,20,validation,0.3068074759279153,0.010878521615446111,0.33386725299372244,0.00521495880995869,0.4762142157789703,0.034802595767170375,0.4282539795766498,0.02671939069918219,0.8196698762035763,0.03610368751267192,0.1446808510638298,0.02683179644088976,0.4642919200695047,0.07617236979255906
SFTP,50,train,0.3571443359823183,0.012332803084667955,0.3848323012257645,0.010774483734439816,0.5852769036426082,0.023741456083230854,0.4320386693375825,0.016825183021713888,0.9448684210526317,0.010869762600747736,0.3085780750218087,0.0719045067854036,0.5023842148533845,0.15393900232580165
SFTP,50,validation,0.29483930432107375,0.011006930753310768,0.35453149538278744,0.004260116052064939,0.4836572140774824,0.050498734217944846,0.40258176803475665,0.03655358250415816,0.7966987620357634,0.028990443963368296,0.26382978723404255,0.06785685001835522,0.3904430929626412,0.054723289740634284
SFTP,100,train,0.45479871693440843,0.0891082283503985,0.46623967586939363,0.069940952979401,0.6796475175548433,0.11419177494167371,0.4281754065011233,0.019303786130382042,0.9261842105263158,0.00905996405067752,0.285024716487351,0.26056473948594666,0.8277336256508633,0.09293906112139567
SFTP,100,validation,0.35258952845884495,0.11056115480231374,0.40927645217855774,0.0984513238920087,0.6159432290587021,0.10811353015966438,0.33905427071679645,0.04202002983522392,0.758321870701513,0.0290026784557174,0.26604995374653095,0.24313104197742214,0.8234578627280624,0.1280211111469583
SMTP,1,train,0.271893715992905,0.006122352757844065,0.21693382993962457,0.0037955717940299787,0.5560366441948218,0.008368638928121926,0.4435126839150557,0.014261154816199731,0.8811715481171548,0.009640584802209853,0.1565749235474006,0.016727227736884516,0.63036346091991,0.028154112999986207
SMTP,1,validation,0.08280072021526297,0.006007071076251434,0.11037699438573838,0.006131283423341681,0.5364279743661188,0.004464390965765966,0.3556387376844193,0.013136499351030095,0.4482474226804124,0.0347500679549223,0.5756756756756756,0.03826973583380075,0.5853608247422681,0.011466031103834507
SMTP,3,train,0.3177114335927288,0.030731647965163186,0.2628944227677913,0.01200057987256256,0.565559629066834,0.023525591493006932,0.36420586564028723,0.028883275575691543,0.8927582877373672,0.031510793255931105,0.20565749235474007,0.10942607963464408,0.598263107108395,0.15387246242213268
SMTP,3,validation,0.08059457578922306,0.023532192620238115,0.12230368745408156,0.023826306322582154,0.4316968514906659,0.13067351781930048,0.19142631105298233,0.023966787695872387,0.41855670103092785,0.0723451358713113,0.36972972972972973,0.20491049908914205,0.5068041237113402,0.18339884561078312
SMTP,5,train,0.33139283683118065,0.02516919878975796,0.27222996447122083,0.010640967773593225,0.5838090616089068,0.023105060818362756,0.33205964812682676,0.0536960611734393,0.844093981332475,0.05545730053136617,0.26957186544342504,0.15575291620360834,0.6377613380508202,0.10011238908656739
SMTP,5,validation,0.09661717494059766,0.019905428117203333,0.14015978076651497,0.016393259554352616,0.43623664902015413,0.19326099347192174,0.17068811201238485,0.047003074064826816,0.2816494845360825,0.08850201736869763,0.46108108108108115,0.3449447082020268,0.565979381443299,0.16420094799726698
SMTP,10,train,0.34660989899662376,0.02788850219113885,0.28965744183300884,0.01156898318428969,0.5843875033034941,0.02286882123195102,0.34723535240352993,0.034474094747935356,0.8611522368844545,0.024705928028218718,0.30397553516819575,0.12165287905185236,0.5880347378578321,0.138995799594776
SMTP,10,validation,0.10061330086146565,0.02664971398917126,0.14544466857337718,0.019864283929208512,0.37746075972880094,0.19494339950094278,0.17499288207994437,0.03425776277098844,0.2779381443298969,0.05983645830939534,0.37135135135135133,0.3693448684469086,0.4830927835051546,0.21460961203459278
SMTP,20,train,0.35211438981392085,0.013567745237437336,0.3022822842723373,0.010732188623071936,0.5762260700472623,0.012735148523594675,0.3537473362663783,0.023193358129257286,0.8598648213710975,0.024997709262966555,0.34633027522935783,0.1243712501997722,0.5224831135413316,0.1456407832811178
SMTP,20,validation,0.09753325495065965,0.030212318283404926,0.13790680313914094,0.030252015034584807,0.3739481749791028,0.1999799991360322,0.17097657030758637,0.014227404858347946,0.24515463917525776,0.06040128676329075,0.4486486486486487,0.39503862466148026,0.42804123711340203,0.22726920450607538
SMTP,50,train,0.44215068926666745,0.05120653603589616,0.37373778792879453,0.03837813002105254,0.6150136848125943,0.0714626004242762,0.4097639912328018,0.05444065071272245,0.8592854843900868,0.01760131730181864,0.1856269113149847,0.21373622829210445,0.8001286587327116,0.08307135804685072
SMTP,50,validation,0.11251859238125986,0.05622029958000085,0.16512970753475295,0.09057001705686371,0.49169685149066594,0.150611428366997,0.1663835307245472,0.07566232420918524,0.19690721649484538,0.03711340206185568,0.5297297297297298,0.32591389739801807,0.7484536082474227,0.10462012929099389
SMTP,100,train,0.5367086517354835,0.0829291939989824,0.4988888979792418,0.06342473244767577,0.669939651899454,0.09785716392227126,0.4663735827250675,0.05964780039238319,0.860508529127776,0.01468690874002688,0.20244648318042816,0.3107708357896086,0.9468639433901576,0.01493910169900396
SMTP,100,validation,0.16608370190987634,0.16585995522338856,0.2789081010546188,0.2578618325585893,0.48230519178972786,0.20835925474025843,0.17986474997562735,0.08022276482860732,0.0777319587628866,0.02827637916840741,0.47351351351351345,0.4729165989569709,0.8956701030927835,0.18289949860937638
SSH,1,train,0.35394455544615716,0.006136560318589195,0.27862119112559347,0.006464604222839236,0.5479225445204104,0.011133182076164275,0.5060849354849767,0.005839655764708248,0.90304114490161,0.01787319947215001,0.2459250446162998,0.2041638066470912,0.4948014440433213,0.16317022605456602
SSH,1,validation,0.44235903166106877,0.026660190653045937,0.36538236210822045,0.011728338302233304,0.5583139522122573,0.03915149281056472,0.5114053807347559,0.02302607487254533,0.9627118644067796,0.01440853166776103,0.20080808080808082,0.22615257063670816,0.5114219114219114,0.3307461499197262
SSH,3,train,0.3526828653668351,0.03259737838734057,0.2795879457018768,0.023605658280929406,0.5419527521223688,0.008797206562665711,0.4322325694801645,0.0184071364209928,0.9199079989777663,0.011854714621982641,0.108982748364069,0.029896694160179656,0.5969675090252708,0.06298195814956127
SSH,3,validation,0.43032005643261406,0.0772246342837065,0.37654950007760546,0.044604578462010394,0.5817869011089349,0.042603095026482386,0.4709229088520893,0.024077376159926438,0.9799838579499596,0.005886870872900847,0.04929292929292929,0.04267841130060679,0.7160839160839161,0.17509419860535386
SSH,5,train,0.38192672226852775,0.003958511027646727,0.3072992152352466,0.0020805439501492195,0.5600931257374177,0.02486373305704976,0.40596949575712926,0.016581006956041297,0.8971633018144646,0.02333683367623294,0.25163593099345627,0.21800327443310763,0.5314801444043321,0.15466426144457926
SSH,5,validation,0.5089647935505291,0.010122249795007442,0.43900205709783274,0.009803472583247628,0.5863537466927298,0.050926967737531165,0.44061259309697637,0.028775314529481916,0.971912832929782,0.02014848591009518,0.21535353535353535,0.2650763722287748,0.5717948717948718,0.3646115368467002
SSH,10,train,0.39427429948953335,0.01430452858754423,0.3296329559131981,0.0037042043181736858,0.590587839194154,0.03703773763287302,0.4040305684323376,0.023106959766181608,0.8710963455149502,0.0370139084701647,0.4553242117787032,0.19066361580825675,0.4453429602888087,0.12442849844163217
SSH,10,validation,0.5570420664183887,0.023854801781428188,0.49319432370655925,0.0246373386957843,0.5772063216131013,0.06621282560590999,0.44958334429033125,0.038119407438062906,0.9682001614205005,0.02625627374792974,0.4468686868686869,0.2569924073567872,0.31655011655011656,0.3275956127083185
SSH,20,train,0.40208559352359396,0.012750222301674795,0.3496656546280157,0.004653779870613342,0.5976384089632013,0.01285349347341875,0.401629224955612,0.006635144712484661,0.8712496805520061,0.020795765069411953,0.5195716835217132,0.03061948319741136,0.4020938628158845,0.029078072202193862
SSH,20,validation,0.5963979002726572,0.0052199930187878454,0.5401534151408498,0.005922608648170341,0.5440100138405224,0.029608247015567534,0.465483498662974,0.00964020969466575,0.9854721549636803,0.0015099505192791927,0.5276767676767677,0.06439978187003174,0.11888111888111888,0.02625613129619769
SSH,50,train,0.4098653656700167,0.030975774639011897,0.4031702209504148,0.029893718635356052,0.6596434810345806,0.04421215725342833,0.3432880962154255,0.018095119985777588,0.7805264502938922,0.08504133276676651,0.5838191552647233,0.07226873513887956,0.6145848375451264,0.1443999548073014
SSH,50,validation,0.6471062744971474,0.026333623182117287,0.6448009011778132,0.02488361055855086,0.7234627393949428,0.12137008765409436,0.4168038735720505,0.034481824251887845,0.9656174334140436,0.05565965177243395,0.8250505050505051,0.2168148347886513,0.3797202797202797,0.21030983304064152
SSH,100,train,0.47374646822285016,0.08532745949149974,0.45509833327767557,0.0524632062402203,0.6622522388942244,0.02177345683429474,0.3693128254862995,0.07073667298254778,0.8262714030155891,0.1713538001009173,0.3933372992266508,0.21992467963739692,0.7671480144404332,0.05727912102074792
SSH,100,validation,0.6689448241024325,0.08254540058671966,0.700781118144836,0.039240116740651566,0.7479882578187663,0.1210441756641927,0.4837866158342294,0.041615027278585945,0.9854721549636803,0.03027979254609215,0.6137373737373737,0.4964014982908055,0.6447552447552447,0.2055076354114591
Video,1,train,0.309966657666477,0.007874407137598547,0.23886316587688067,0.004713994901178626,0.5677772625089006,0.005646846493915162,0.4649649358065851,0.011415965950035346,0.9118113280494878,0.02875711305715365,0.5615111398127219,0.032307873257426074,0.23000931966449206,0.04979343229808664
Video,1,validation,0.239783797364136,0.012907944703418486,0.1921401540465752,0.007358896216867274,0.5024001666520139,0.0065789801096621265,0.41353416921372527,0.01978240572235031,0.8054282267792521,0.05379522827078706,0.524016563146998,0.03281263251853343,0.17775571002979146,0.0468367481361443
Video,3,train,0.3535767728289443,0.013446681287536736,0.2798748382530799,0.009008675930845221,0.5863718927100914,0.0032145921889713924,0.3843098586466548,0.0167478707136812,0.9519041175333463,0.02311280416360168,0.5755247013238618,0.03919635242594291,0.23168685927306618,0.048177347333602634
