application,window,seed,partition,n,silhouette_n,ari,ami,mapped_balanced_accuracy,silhouette,occupied_clusters,recall_low,recall_medium,recall_high
HTTP,20,21,train,23390,1000,0.14753915592336492,0.1082670983490293,0.48229660222369103,0.4346794881170072,3,0.7788834709921385,0.10896047644829453,0.55904585923064
HTTP,20,21,validation,7599,1000,0.5222269250992682,0.47857532677963655,0.5883041390283293,0.4361843492344261,3,0.9835566382460414,0.10095953274926991,0.6803962460896767
HTTP,20,42,train,23390,1000,0.15435306711063893,0.11565782731464697,0.48971767724433785,0.4276706019408965,3,0.7687332072843069,0.11735246345425014,0.5830673609944566
HTTP,20,42,validation,7599,1000,0.5486290239748345,0.5111811775989218,0.5848828429622253,0.4365897234088629,3,0.9814250913520097,0.10638297872340426,0.6668404588112617
HTTP,20,84,train,23390,1000,0.14973223051840845,0.11077402140260394,0.4849714089698822,0.4323077452530818,3,0.7748034630311473,0.11031402273957769,0.5697967411389215
HTTP,20,84,validation,7599,1000,0.5307017434834803,0.4913488714673989,0.5894998198817248,0.4369453613449495,3,0.9820341047503045,0.10137672090112641,0.6850886339937435
HTTP,20,123,train,23390,1000,0.1389790526067258,0.09719981882419787,0.47708119570928237,0.4156408617937758,3,0.803064981590208,0.3696534921494315,0.2585251133882076
HTTP,20,123,validation,7599,1000,0.46533711367402897,0.4100387969739421,0.6226593492720008,0.4116418913800263,3,0.9856881851400731,0.5798915310805173,0.3023983315954119
HTTP,50,0,train,23390,1000,0.1804969218521402,0.1354424325781965,0.5069707744474208,0.4182864724934432,3,0.7719176037416658,0.4921494315105577,0.25684528809003865
HTTP,50,0,validation,7599,1000,0.5722938324547391,0.5276780917144489,0.7035077273443376,0.4313564520233763,3,0.9716808769792935,0.7488527325823947,0.3899895724713243
HTTP,50,21,train,23390,1000,0.17950770169896785,0.13473496686903433,0.506274802343626,0.41890945679278707,3,0.7714200417952035,0.49526258798050893,0.25214177725516546
HTTP,50,21,validation,7599,1000,0.5706889291196402,0.5262195014533158,0.7025344333313863,0.43219668922418225,3,0.9716808769792935,0.7480183562786817,0.38790406673618355
HTTP,50,42,train,23390,1000,0.17914694608295686,0.1346531088889085,0.5061035156971002,0.41924410061399164,3,0.7722161409095433,0.5,0.2460944061817571
HTTP,50,42,validation,7599,1000,0.5726475624764457,0.5291942024476274,0.7059416874169516,0.43312007997753044,3,0.9716808769792935,0.7613683771380892,0.38477580813347234
HTTP,50,84,train,23390,1000,0.181975142510897,0.13696741809467464,0.5070245826959553,0.41722068053462136,3,0.7712210170166186,0.4899837574445046,0.2598689736267428
HTTP,50,84,validation,7599,1000,0.5718525422405494,0.5278480366973496,0.7012475594163184,0.4295301757155745,3,0.9716808769792935,0.7363370880267001,0.39572471324296143
HTTP,50,123,train,23390,1000,0.16248740815273346,0.12106441588494551,0.49326804827211124,0.4239292169955339,3,0.7786844462135536,0.4921494315105577,0.2089702670922224
HTTP,50,123,validation,7599,1000,0.548974188693825,0.5123570230839845,0.6911464166548624,0.44014511604591594,3,0.9741169305724726,0.7505214851898206,0.3488008342022941
HTTP,100,0,train,23390,1000,0.23414819840547593,0.18323207146089346,0.5567945791397207,0.40341300637386585,3,0.7738083391382227,0.5050081212777477,0.39156727700319166
HTTP,100,0,validation,7599,1000,0.6302484595534774,0.5824741907115997,0.7565576174518259,0.40905093358128974,3,0.9780755176613886,0.7092198581560284,0.5823774765380605
HTTP,100,21,train,23390,1000,0.19909658012127385,0.15793044160099837,0.5348409760929272,0.42334865061366,3,0.7766941984277043,0.5414185165132648,0.28641021333781286
HTTP,100,21,validation,7599,1000,0.6349051580751952,0.6019958982372281,0.7414172274490373,0.4312081995895894,3,1.0,0.786816854401335,0.43743482794577687
HTTP,100,42,train,23390,1000,0.2347683129149714,0.18242399216579783,0.5542077145318415,0.3994403132879842,3,0.774305901084685,0.47306442880346505,0.41525281370737444
HTTP,100,42,validation,7599,1000,0.6259193620652813,0.5774103640557603,0.7532107490179102,0.4053959383077648,3,0.9789890377588307,0.6841885690446391,0.5964546402502607
HTTP,100,84,train,23390,1000,0.21185414766991303,0.1649169010147235,0.5466795991479669,0.4169956594248871,3,0.7755995621454871,0.5400649702219816,0.3243742650764321
HTTP,100,84,validation,7599,1000,0.657966785204221,0.6196348342463126,0.7630707716124707,0.4211013971747233,3,1.0,0.7730496453900709,0.516162669447341
HTTP,100,123,train,23390,1000,0.17660641437305524,0.12417897637728807,0.5183349827681784,0.46265230301741483,3,0.7941088665538859,0.1270979967514889,0.6337980849991601
