application,window,seed,cluster,training_mapped_level,TcpRtt_mean,TcpRtt_max,TcpRtt_median,TcpRtt_min,TcpRtt_std,SynAck_mean,SynAck_max,SynAck_median,SynAck_min,SynAck_std,AckDat_mean,AckDat_max,AckDat_median,AckDat_min,AckDat_std
HTTP,1,0,0,High,0.12609154869039627,0.12609154869039627,0.12609154869039627,0.12609154869039627,0.0,0.014070640026863666,0.014070640026863666,0.014070640026863666,0.014070640026863666,0.0,0.11202090866353266,0.11202090866353266,0.11202090866353266,0.11202090866353266,0.0
HTTP,1,0,1,Low,0.043323695293615745,0.043323695293615745,0.043323695293615745,0.043323695293615745,0.0,0.006150856817858648,0.006150856817858648,0.006150856817858648,0.006150856817858648,0.0,0.03717283847575734,0.03717283847575734,0.03717283847575734,0.03717283847575734,0.0
HTTP,1,0,2,Medium,0.3115067677664971,0.3115067677664971,0.3115067677664971,0.3115067677664971,0.0,0.027399785532994932,0.027399785532994932,0.027399785532994932,0.027399785532994932,0.0,0.28410698223350267,0.28410698223350267,0.28410698223350267,0.28410698223350267,0.0
HTTP,1,21,0,Low,0.04491898303256278,0.04491898303256278,0.04491898303256278,0.04491898303256278,0.0,0.006347030992546053,0.006347030992546053,0.006347030992546053,0.006347030992546053,0.0,0.03857195204001419,0.03857195204001419,0.03857195204001419,0.03857195204001419,0.0
HTTP,1,21,1,Medium,0.3053875612730522,0.3053875612730522,0.3053875612730522,0.3053875612730522,0.0,0.027049254610350952,0.027049254610350952,0.027049254610350952,0.027049254610350952,0.0,0.2783383066627005,0.2783383066627005,0.2783383066627005,0.2783383066627005,0.0
HTTP,1,21,2,High,0.12991868695652176,0.12991868695652176,0.12991868695652176,0.12991868695652176,0.0,0.01440614742028985,0.01440614742028985,0.01440614742028985,0.01440614742028985,0.0,0.11551253953623158,0.11551253953623158,0.11551253953623158,0.11551253953623158,0.0
HTTP,1,42,0,Low,0.042479703259092866,0.042479703259092866,0.042479703259092866,0.042479703259092866,0.0,0.006140906467102566,0.006140906467102566,0.006140906467102566,0.006140906467102566,0.0,0.03633879679198908,0.03633879679198908,0.03633879679198908,0.03633879679198908,0.0
HTTP,1,42,1,Medium,0.2930355112466647,0.2930355112466647,0.2930355112466647,0.2930355112466647,0.0,0.026798441097979395,0.026798441097979395,0.026798441097979395,0.026798441097979395,0.0,0.26623707014868403,0.26623707014868403,0.26623707014868403,0.26623707014868403,0.0
HTTP,1,42,2,High,0.12277455908694601,0.12277455908694601,0.12277455908694601,0.12277455908694601,0.0,0.013671498930015066,0.013671498930015066,0.013671498930015066,0.013671498930015066,0.0,0.10910306015693116,0.10910306015693116,0.10910306015693116,0.10910306015693116,0.0
HTTP,1,84,0,High,0.12979024060150363,0.12979024060150363,0.12979024060150363,0.12979024060150363,0.0,0.01436083186226436,0.01436083186226436,0.01436083186226436,0.01436083186226436,0.0,0.11542940873923949,0.11542940873923949,0.11542940873923949,0.11542940873923949,0.0
HTTP,1,84,1,Low,0.04484182440267619,0.04484182440267619,0.04484182440267619,0.04484182440267619,0.0,0.006375217457789134,0.006375217457789134,0.006375217457789134,0.006375217457789134,0.0,0.03846660694488595,0.03846660694488595,0.03846660694488595,0.03846660694488595,0.0
HTTP,1,84,2,Medium,0.30847990068493153,0.30847990068493153,0.30847990068493153,0.30847990068493153,0.0,0.027286735730593526,0.027286735730593526,0.027286735730593526,0.027286735730593526,0.0,0.28119316495433805,0.28119316495433805,0.28119316495433805,0.28119316495433805,0.0
HTTP,1,123,0,Low,0.04324327316927605,0.04324327316927605,0.04324327316927605,0.04324327316927605,0.0,0.006210690173582971,0.006210690173582971,0.006210690173582971,0.006210690173582971,0.0,0.037032582995690524,0.037032582995690524,0.037032582995690524,0.037032582995690524,0.0
HTTP,1,123,1,Medium,0.29498170615640507,0.29498170615640507,0.29498170615640507,0.29498170615640507,0.0,0.02606848319467563,0.02606848319467563,0.02606848319467563,0.02606848319467563,0.0,0.2689132229617311,0.2689132229617311,0.2689132229617311,0.2689132229617311,0.0
HTTP,1,123,2,High,0.12453147528949557,0.12453147528949557,0.12453147528949557,0.12453147528949557,0.0,0.013930229252826012,0.013930229252826012,0.013930229252826012,0.013930229252826012,0.0,0.11060124603666899,0.11060124603666899,0.11060124603666899,0.11060124603666899,0.0
HTTP,3,0,0,Low,0.04522424033605301,0.05320680142773899,0.04460574766899778,0.03786017191142196,0.006831564154666733,0.006183580225330225,0.0077853642191142314,0.006058357663170165,0.0047070187937062954,0.0013683071582946877,0.039040660110722644,0.04640816666666662,0.038485904865967265,0.03222790879953347,0.006319723810561213
HTTP,3,0,1,Medium,0.26427605623306233,0.3275385111788619,0.2717052571138211,0.19358440040650404,0.06056373158891151,0.025281551829268264,0.03170140955284553,0.025249666666666688,0.018893579268292687,0.005775105017659638,0.23899450440379394,0.3002866371951216,0.246368875,0.1703280010162603,0.05884739876193044
HTTP,3,0,2,High,0.12120342912912921,0.1451124603603603,0.12034796644144136,0.09814986058558553,0.02101642694906763,0.013490955180180167,0.01669638423423423,0.013331231531531536,0.010445249774774778,0.00278293293745364,0.10771247394894895,0.1307203713963964,0.10694221396396407,0.08547483648648663,0.02028452481261609
HTTP,3,21,0,Low,0.04875091812352183,0.05707487290615206,0.04813718199107565,0.04104069947333761,0.007148745973235246,0.006523979921000654,0.008157791785531361,0.006397875466315508,0.005016272511154987,0.0013989716697610471,0.04222693820252101,0.04998490201887202,0.041675021651670766,0.03502089093702002,0.0066778799437187866
HTTP,3,21,1,Medium,0.2866897913529551,0.34531268446269653,0.29227061259411385,0.22248607700205358,0.05551808879764894,0.02667507004334924,0.03298300787132105,0.026630018138261442,0.020412184120465457,0.005640777727597593,0.26001472130960523,0.3171790848733746,0.2656463832991107,0.19721869575633133,0.05418208999426925
HTTP,3,21,2,High,0.1294501745988822,0.15647757875878832,0.12880647451325025,0.10306647052460792,0.023900853286778462,0.014512333761492694,0.018177534072471628,0.014318980665224416,0.011040486546782038,0.003181082550378121,0.11493784083738956,0.14100962851541388,0.11441058240941093,0.08939331158734465,0.02314912469188008
HTTP,3,42,0,Low,0.04692316968831121,0.05532616730712423,0.0463410160606956,0.03910232569711275,0.007228047301243393,0.006455245212993071,0.008099715292146994,0.006332577741649392,0.0049334426051827925,0.0014099801056993012,0.04046792447531785,0.04829398255985838,0.03991715464577808,0.03319263622031747,0.006740518629410441
HTTP,3,42,1,Medium,0.2741769337705762,0.3352138510802472,0.2794955324074075,0.20782141782407426,0.05764239747484201,0.025899717978395083,0.0323646701388889,0.025918645447530836,0.01941583834876543,0.005824254673716387,0.24827721579218093,0.3077920158179011,0.25338510918209933,0.18365452237654284,0.05617126779423059
HTTP,3,42,2,High,0.12536332472469114,0.1497334249538825,0.12525996847224555,0.10109658074794563,0.02173610363304492,0.013815175750461161,0.01712834764380345,0.013659168120073778,0.010658011487506298,0.0028841296502432343,0.11154814897422996,0.13505545555928244,0.1115289844876744,0.08806000687573332,0.021040351024770476
HTTP,3,84,0,High,0.12845239047507145,0.15421428386793568,0.12811532346375268,0.10302756409352608,0.022875785443771602,0.014333833979555876,0.017788947244742108,0.01423349289155212,0.010979061802373392,0.003035950727661509,0.11411855649551556,0.13898583444953588,0.11385544001879935,0.08951439501821096,0.02215074843618074
HTTP,3,84,1,Low,0.047998303343030055,0.05633636140739761,0.047366252597312454,0.040292296024380454,0.007150017640131099,0.006456281248557026,0.008089756753012881,0.006338582975481371,0.004940504017176883,0.001401049926308534,0.041542022094472865,0.04934514953594669,0.04096116131043121,0.03431975543704106,0.006706121588075551
HTTP,3,84,2,Medium,0.2824167967629582,0.3473515777504602,0.2873782280270435,0.21252058451137062,0.060955779185214776,0.026501390698627354,0.03278552919483709,0.02648754517516902,0.020231097725875835,0.005642609712567647,0.25591540606433116,0.31920923540258095,0.26071543577135864,0.18782154701905257,0.059397760707297485
HTTP,3,123,0,Low,0.04459871213827451,0.05246434694922157,0.04394032092035209,0.03739146854524991,0.006711102112639995,0.006191780900218428,0.0077947661240785875,0.006063007882882847,0.004717568693693712,0.0013689452913394887,0.03840693123805645,0.04571623840602016,0.037808762566544765,0.031695792741604986,0.006251585056167259
HTTP,3,123,1,Medium,0.2669214823173987,0.32801317309400935,0.2713770147503121,0.20137425910787282,0.056980060798606236,0.02549995000296188,0.03182269042118365,0.025475919139861393,0.019201240447840773,0.005660479308631104,0.24142153231443692,0.30084949724542515,0.24574629536164966,0.17766880433623755,0.055477568276869664
HTTP,3,123,2,High,0.1209982496179579,0.14390060168740623,0.12083551508263654,0.09825863208383077,0.02040831199626669,0.013436136931591985,0.016648781099510745,0.013268936394806792,0.010390693300458434,0.002788884323760998,0.1075621126863657,0.1296299023384831,0.10745451504411165,0.0856019206765043,0.019713558720623584
HTTP,5,0,0,High,0.11868331946997222,0.15320182517631975,0.11835014447531528,0.08542212096601838,0.026279555303958608,0.013022702628766829,0.01783620324855739,0.012784897841419125,0.008712152810429584,0.0035543366221396575,0.10566061684120538,0.13883792049583243,0.10545049796965168,0.07353649497755929,0.025392580911221783
HTTP,5,0,1,Low,0.044169282430566364,0.05724783381924193,0.04318966272824893,0.03278873101120142,0.009485687753399601,0.006107845450360593,0.008720327604726106,0.00588752278655826,0.00392927543348166,0.0018482751201738955,0.038061436980205456,0.05014719180604577,0.037184367193493974,0.027514776891207772,0.008805018841509443
HTTP,5,0,2,Medium,0.24442698388278394,0.3435506318681318,0.24867306684981688,0.1416122774725274,0.08173197992315585,0.02455775366300364,0.034584097985347985,0.024053180402930394,0.015573104395604387,0.007586005585930162,0.21986923021978022,0.315798151098901,0.22421045054945027,0.12005083882783915,0.07944482079885729
HTTP,5,21,0,Low,0.047651155088580664,0.06107879434772632,0.04682964448960805,0.035653083557021056,0.00985653098970653,0.00643932010890405,0.009107647480635018,0.006235621520055221,0.004166597745225901,0.0019140995129897382,0.0412118349796766,0.05370080918782176,0.040456970319810354,0.030025009778356707,0.009202276232618817
HTTP,5,21,1,High,0.1254197147955955,0.16499864485508176,0.12506818516643475,0.08716986495380324,0.030364602230488518,0.013986767674977842,0.01945922465510698,0.013672037210479673,0.009185027528160989,0.004010340205216528,0.11143294712061752,0.14954375427161096,0.11118691361852921,0.0743992032021272,0.029445839478576076
HTTP,5,21,2,Medium,0.2708608339420658,0.3618357358312342,0.27595314231738066,0.1705625239294714,0.07743314859920858,0.025961688853904312,0.03549435831234256,0.025701866183879075,0.016821722921914382,0.007404845206836808,0.24489914508816132,0.33400598677581816,0.24972830667506313,0.1470629493073056,0.0757592780680079
HTTP,5,42,0,High,0.12824224563682113,0.168023695023947,0.12807476296777348,0.08870823898043667,0.030930457727144114,0.014192594967123941,0.01955409245880351,0.01390867213247828,0.009435225830018679,0.003946936950956158,0.1140496506696972,0.15236505755337262,0.11394406981086093,0.07575222225830111,0.03001150432241037
HTTP,5,42,1,Low,0.048834333973634896,0.0626946551318265,0.04800119693973625,0.03637748319209032,0.010209943646583515,0.006528348173257992,0.009236377966101684,0.006343268644067781,0.00420856643126179,0.0019417102629622177,0.04230598580037664,0.05521057137476486,0.041532831779661654,0.030672187664783263,0.009555274450556456
HTTP,5,42,2,Medium,0.27960645041648424,0.3744544151687855,0.2851648031565104,0.17404319289785156,0.08098664157801197,0.02632412766330558,0.03635452345462514,0.02600839368697937,0.016932042963612483,0.007758202271039804,0.2532823227531785,0.34607341166155214,0.25888528014028916,0.1504219500219208,0.07917178066093003
HTTP,5,84,0,Low,0.05419375695714046,0.06910406883641876,0.0534341411870091,0.040653316229500615,0.01103798388714169,0.007001638439983431,0.009836368574578544,0.006808351669805687,0.004554503284487147,0.002043463890701213,0.047192118517157045,0.06114338251642292,0.04650390472690574,0.03446946132114366,0.010381325629769024
HTTP,5,84,1,High,0.13964867651698032,0.1874335972423411,0.13940277541713625,0.09260264155802317,0.03709425725731929,0.015387305949890026,0.021452272868716087,0.015047391920167394,0.010082768227909248,0.004436330633574276,0.12426137056709058,0.170442753044692,0.1241647013788307,0.07855245013144532,0.0360826131818208
HTTP,5,84,2,Medium,0.2937924952069071,0.38834474010122066,0.3008177722536472,0.1900972206013691,0.0805929418308861,0.027813963441500493,0.03815407115212852,0.02768808038106578,0.018000440607323608,0.008020583879385295,0.2659785317654062,0.35844760375111523,0.27300291455790476,0.16494899285501718,0.07877822461338907
HTTP,5,123,0,Low,0.044888581969541534,0.05760350643944921,0.04407851554772043,0.033649872239361306,0.009272244261739187,0.0061593459282111435,0.008777786886048727,0.0059490382939130955,0.003961818911904418,0.0018602027138806341,0.038729236041330495,0.050497164536506906,0.037989998726801116,0.028286216982517806,0.008622260404977598
HTTP,5,123,1,Medium,0.25745254413057134,0.346842925925926,0.2614430072190834,0.15949738669177657,0.07529849346273501,0.025097642498430665,0.03468619554300057,0.024775175455116157,0.016273397363465194,0.007300751385153549,0.2323549016321405,0.31934260483364724,0.23637839956057743,0.13719696484620303,0.07344201292081165
HTTP,5,123,2,High,0.11905100044814793,0.15526919886562568,0.1186954091450179,0.08346087605909946,0.027951044328034785,0.013187951950143547,0.018296580981723973,0.012892124501085364,0.00868535977872698,0.0037363438873352986,0.10586304849800424,0.14069052454309908,0.1056317738253623,0.07141464834395418,0.027061158702510107
HTTP,10,0,0,High,0.12262076377049183,0.17775745819672106,0.12214316249999994,0.0710004913934426,0.03528689345215338,0.013385128668032788,0.021217592622950823,0.013000814959016395,0.007120204918032798,0.004652204971516616,0.1092356351024589,0.16212722459016382,0.10887885030737703,0.05937943217213151,0.034093225753938874
HTTP,10,0,1,Low,0.046708519499521296,0.06859733584028464,0.04565153705729528,0.028432709148092337,0.013091907512750637,0.006334525420484067,0.010636779570627631,0.006040728155339808,0.0031153779570627753,0.002431906979936586,0.040373994079037356,0.06062021236154765,0.03939527642554359,0.023362136059072856,0.012163123244960687
HTTP,10,0,2,Medium,0.23798398489722966,0.3863941358355677,0.2349467649687221,0.09657017426273463,0.10301012051437539,0.02410079338695265,0.038604489722966956,0.023244896782841834,0.012079295799821284,0.00916488801774899,0.213883191510277,0.3582601867739046,0.21128130116175153,0.07693887220732765,0.1004115540080152
HTTP,10,21,0,High,0.11856641869393911,0.17439956308156598,0.11770318291558389,0.06618076997233624,0.03574529780123471,0.013269494861262481,0.0212169828149887,0.01282667579009137,0.006919288708190123,0.0047308957971398755,0.10529692383267679,0.158874713639031,0.10458946894123565,0.054591050884399,0.03462359856436237
HTTP,10,21,1,Low,0.04583576781946082,0.06675659671746786,0.044706705363423416,0.02831605920281353,0.012540291060999336,0.00626137988862837,0.010471405334114888,0.005963211752637746,0.0030908144783118358,0.0023930556930735524,0.03957438793083243,0.05893834847596682,0.038511424531066915,0.023371244783118018,0.011617013578424052
HTTP,10,21,2,Medium,0.2441948294373864,0.37610412813067196,0.2439391362976408,0.11375701451905601,0.09341695290524622,0.023901534337568045,0.037587036660616996,0.023058074773139692,0.012518199637023577,0.00862358639532059,0.2202932950998183,0.34914497713248493,0.22038170780399288,0.09345065952813025,0.09120804575104184
HTTP,10,42,0,High,0.12615546720779222,0.18640530970858488,0.12562501682768448,0.06883684819448832,0.03898109987316269,0.01391783962622744,0.022095649350649355,0.013482188232499207,0.0073853115299334715,0.004875323488100306,0.11223762758156489,0.17005524659486854,0.11191574251662974,0.056736204703832074,0.037810959544123446
HTTP,10,42,1,Low,0.04909334880900845,0.07150376531447031,0.04791664761079865,0.030144425388576028,0.013567697672045837,0.006529142784274127,0.010854518983686993,0.006237204128771441,0.0032290790626052835,0.0024706188205639787,0.04256420602473397,0.06339497040565907,0.04145095070015867,0.02490183431981099,0.012660782672391764
HTTP,10,42,2,Medium,0.26264503294940406,0.4032350065816541,0.259933641916907,0.12099744714109412,0.10001051456998566,0.025313133936651605,0.03989872151378031,0.02431472501028382,0.013155023447141099,0.009249925844500007,0.23733189901275234,0.37468348745372126,0.2351079370629377,0.09951312834224561,0.09766192888396968
HTTP,10,84,0,High,0.12243589326154622,0.18118982939345504,0.12155019189030039,0.0676230768065954,0.03766481535108263,0.01358855821485657,0.02158862648271222,0.013165854210482015,0.007164287877513241,0.0047799419271466505,0.1088473350466897,0.16526480634306415,0.10813118860940515,0.05586256002355464,0.036502682997265175
HTTP,10,84,1,Low,0.0470428799415606,0.06847601163057239,0.045922297524922794,0.028872261888392346,0.01290943831926523,0.0063465385928726924,0.010629943279477482,0.006043031883808861,0.0031367023604904273,0.002426141117949758,0.04069634134868789,0.06053989893434153,0.039649385384439025,0.023814229059241205,0.01198956914395099
HTTP,10,84,2,Medium,0.2547532578859758,0.39098257386600166,0.25591963649604665,0.11806305909280054,0.09690862630089155,0.025415454723262586,0.039737116521015324,0.024540718476903887,0.013189361631294225,0.009195842987241692,0.22933780316271352,0.36227993133582936,0.23072715439034583,0.0968240736579271,0.09446237690791974
HTTP,10,123,0,Low,0.04707852028523821,0.06877804964712807,0.045897844638306304,0.028920516516369222,0.013040024239360935,0.006357656640854729,0.01064293270927272,0.00605827663693391,0.003138873211135085,0.002438259183904676,0.040720863644383314,0.0607989829935309,0.03960445623407164,0.023860800186237686,0.012103499755585667
HTTP,10,123,1,High,0.12146863336789869,0.17819454995926273,0.12069303410858476,0.06843691348788968,0.036312576635674984,0.013405971350270354,0.02138522724242651,0.01296020979927412,0.007055473446411368,0.004739473510102971,0.10806266201762839,0.16251808036441748,0.10744892033923413,0.05680169802236792,0.03515136524382595
HTTP,10,123,2,Medium,0.2507983430888816,0.38832423149712736,0.2493980266982085,0.11141350185873589,0.0978287469895315,0.024639061946603577,0.03908337985806014,0.023698487326799557,0.012637168638053371,0.009079665077534221,0.22615928114227782,0.3602029763433574,0.22521672406218343,0.09124994085839766,0.09531528806138014
