SrcPkts,Loss,DstPkts,DstRetra,DstLoss,TotPkts,SrcLoss,SrcRetra,label
0.0009624639076034,0.0,0.0019880715705765,0.0,0.0,0.0006489292667099,0.0,0.0,1.0
0.0009624639076034,0.0,0.0019880715705765,0.0,0.0,0.0006489292667099,0.0,0.0,1.0
0.0019249278152069,0.0,0.0019880715705765,0.0,0.0,0.0012978585334198,0.0,0.0,1.0
0.0096246390760346,0.0,0.025844930417495,0.0,0.0,0.0142764438676184,0.0,0.0,1.0
0.0105871029836381,0.0,0.0218687872763419,0.0,0.0,0.0136275146009085,0.0,0.0,1.0
0.0076997112608277,0.0,0.0099403578528827,0.0,0.0,0.0077871512005191,0.0,0.0,1.0
0.0076997112608277,0.0,0.0099403578528827,0.0,0.0,0.0077871512005191,0.0,0.0,1.0
0.4985563041385948,0.0,0.3896620278330019,0.0,0.0,0.462686567164179,0.0,0.0,1.0
0.0028873917228103,0.0333333333333333,0.003976143141153,0.0,0.3333333333333333,0.0025957170668397,0.0,0.0,1.0
0.0279114533205004,0.1666666666666666,0.0357852882703777,0.0,0.0,0.0298507462686567,0.1666666666666666,0.0,1.0
0.02502406159769,0.0333333333333333,0.025844930417495,0.0,0.0,0.0246593121349772,0.0333333333333333,0.0,1.0
0.0240615976900866,0.1666666666666666,0.0377733598409542,0.0,0.3333333333333333,0.0279039584685269,0.1333333333333333,0.0,1.0
0.0009624639076034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0288739172281039,0.0,0.0337972166998011,0.0,0.0,0.0298507462686567,0.0,0.0,1.0
0.012512030798845,0.0333333333333333,0.0139165009940357,0.0,0.3333333333333333,0.0123296560674886,0.0,0.0,1.0
0.0221366698748796,0.0333333333333333,0.025844930417495,0.0,0.0,0.0227125243348475,0.0333333333333333,0.0,1.0
0.0202117420596727,0.0333333333333333,0.0357852882703777,0.0,0.0,0.0246593121349772,0.0333333333333333,0.0,1.0
0.0,0.0,0.003976143141153,0.0,0.3333333333333333,0.0006489292667099,0.0,0.0,1.0
0.0259865255052935,0.0,0.0198807157057654,0.0,0.0,0.0233614536015574,0.0,0.0,1.0
