TcpRtt,class,label
0.000498,HTTP,10
0.061575,HTTP,10
0.061575,HTTP,10
0.061575,HTTP,10
0.061575,HTTP,10
0.0,HTTP,10
0.0,HTTP,10
0.0,HTTP,10
0.0,HTTP,10
0.0,HTTP,10
0.0,HTTP,10
0.001502,HTTP,10
0.001359,HTTP,10
0.001863,HTTP,10
0.001508,HTTP,10
0.001508,HTTP,10
0.001508,HTTP,10
0.060955,HTTP,10
0.061309,HTTP,10
0.061309,HTTP,10
0.060954,HTTP,10
0.06145,HTTP,10
0.060955,HTTP,10
0.061309,HTTP,10
0.061309,HTTP,10
0.06145,HTTP,10
0.060954,HTTP,10
0.060955,HTTP,10
0.061309,HTTP,10
0.060955,HTTP,10
0.06145,HTTP,10
0.06145,HTTP,10
0.076128,HTTP,10
0.076128,HTTP,10
0.061309,HTTP,10
0.061309,HTTP,10
0.060954,HTTP,10
0.060954,HTTP,10
0.061309,HTTP,10
0.061309,HTTP,10
0.076128,HTTP,10
0.076128,HTTP,10
0.060955,HTTP,10
0.061309,HTTP,10
0.06145,HTTP,10
0.06145,HTTP,10
0.060955,HTTP,10
0.0,HTTP,10
0.0,HTTP,10
0.061309,HTTP,10
0.060954,HTTP,10
0.06145,HTTP,10
0.061309,HTTP,10
0.060954,HTTP,10
0.060955,HTTP,10
0.026941,HTTP,10
0.026445,HTTP,10
0.061309,HTTP,10
0.0,HTTP,10
0.076128,HTTP,10
0.061309,HTTP,10
0.010944,HTTP,10
0.060954,HTTP,10
0.061309,HTTP,10
0.076128,HTTP,10
0.060954,HTTP,10
0.0,HTTP,10
0.0,HTTP,10
0.0,HTTP,10
0.076128,HTTP,10
0.061309,HTTP,10
0.060954,HTTP,10
0.003893,HTTP,10
0.003395,HTTP,10
0.003124,HTTP,10
0.06145,HTTP,10
0.061309,HTTP,10
0.060954,HTTP,10
0.283884,HTTP,10
0.28389,HTTP,10
0.076128,HTTP,10
0.25943,HTTP,10
0.28389,HTTP,10
0.283884,HTTP,10
0.28389,HTTP,10
0.283884,HTTP,10
0.283884,HTTP,10
0.283884,HTTP,10
0.28389,HTTP,10
0.28389,HTTP,10
0.25943,HTTP,10
0.000508,HTTP,10
0.000508,HTTP,10
0.000508,HTTP,10
0.060954,HTTP,10
0.061309,HTTP,10
0.262277,HTTP,10
0.261779,HTTP,10
0.261508,HTTP,10
0.061309,HTTP,10
0.261779,HTTP,10
0.262277,HTTP,10
0.261508,HTTP,10
0.262277,HTTP,10
0.261508,HTTP,10
0.261779,HTTP,10
0.262277,HTTP,10
0.261508,HTTP,10
0.231443,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.060954,HTTP,10
0.061309,HTTP,10
0.261779,HTTP,10
0.261779,HTTP,10
0.231443,HTTP,10
0.261779,HTTP,10
0.231443,HTTP,10
0.231443,HTTP,10
0.231443,HTTP,10
0.25943,HTTP,10
0.28389,HTTP,10
0.283884,HTTP,10
0.231443,HTTP,10
0.231939,HTTP,10
0.231443,HTTP,10
0.231939,HTTP,10
0.231443,HTTP,10
0.231939,HTTP,10
0.262277,HTTP,10
0.25943,HTTP,10
0.28389,HTTP,10
0.283884,HTTP,10
0.261508,HTTP,10
0.262277,HTTP,10
0.261508,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.283884,HTTP,10
0.28389,HTTP,10
0.25943,HTTP,10
0.262277,HTTP,10
0.261508,HTTP,10
0.261508,HTTP,10
0.261508,HTTP,10
0.231939,HTTP,10
0.261508,HTTP,10
0.000957,HTTP,10
0.231939,HTTP,10
0.214786,HTTP,10
0.214786,HTTP,10
0.214786,HTTP,10
0.214786,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.214786,HTTP,10
0.214786,HTTP,10
0.0,HTTP,10
0.214786,HTTP,10
0.075835,HTTP,10
0.231939,HTTP,10
0.231939,HTTP,10
0.0,HTTP,10
0.231939,HTTP,10
0.002489,HTTP,10
0.000996,HTTP,10
0.303538,HTTP,10
0.303538,HTTP,10
0.0,HTTP,10
0.001012,HTTP,10
0.292029,HTTP,10
0.292029,HTTP,10
0.292029,HTTP,10
0.277183,HTTP,10
0.303538,HTTP,10
0.277183,HTTP,10
0.277183,HTTP,10
0.303538,HTTP,10
0.277183,HTTP,10
0.215973,HTTP,10
0.292029,HTTP,10
0.292029,HTTP,10
0.277183,HTTP,10
0.215973,HTTP,10
0.215973,HTTP,10
0.277183,HTTP,10
0.215973,HTTP,10
0.215973,HTTP,10
0.0,HTTP,10
0.215973,HTTP,10
0.033915,HTTP,10
0.0,HTTP,10
0.292029,HTTP,10
0.006068,HTTP,10
0.23907,HTTP,10
0.23907,HTTP,10
0.23907,HTTP,10
0.23907,HTTP,10
0.292029,HTTP,10
0.231471,HTTP,10
0.23907,HTTP,10
0.25943,HTTP,10
0.28389,HTTP,10
0.283884,HTTP,10
0.23907,HTTP,10
0.262277,HTTP,10
0.292029,HTTP,10
0.231471,HTTP,10
0.231471,HTTP,10
0.231471,HTTP,10
0.231471,HTTP,10
0.23907,HTTP,10
0.231471,HTTP,10
0.231471,HTTP,10
0.292029,HTTP,10
0.231471,HTTP,10
0.292029,HTTP,10
0.292029,HTTP,10
0.292029,HTTP,10
0.23907,HTTP,10
0.231471,HTTP,10
0.0,HTTP,10
0.231471,HTTP,10
0.001997,HTTP,10
0.23907,HTTP,10
0.000993,HTTP,10
0.0,HTTP,10
0.001039,HTTP,10
0.216052,HTTP,10
0.216052,HTTP,10
0.216052,HTTP,10
0.216052,HTTP,10
0.001997,HTTP,10
0.216052,HTTP,10
0.216052,HTTP,10
0.077438,HTTP,10
0.077438,HTTP,10
0.216052,HTTP,10
0.077438,HTTP,10
0.0,HTTP,10
0.216052,HTTP,10
0.077438,HTTP,10
0.00182,HTTP,10
0.216052,HTTP,10
0.060892,HTTP,10
0.216052,HTTP,10
0.060892,HTTP,10
0.060892,HTTP,10
0.001039,HTTP,10
0.216052,HTTP,10
0.060892,HTTP,10
0.000995,HTTP,10
0.00049,HTTP,10
0.048994,HTTP,10
0.047454,HTTP,10
0.060358,HTTP,10
0.047454,HTTP,10
0.060358,HTTP,10
0.047454,HTTP,10
0.060358,HTTP,10
0.047454,HTTP,10
0.060358,HTTP,10
0.047454,HTTP,10
0.060358,HTTP,10
0.048994,HTTP,10
0.231471,HTTP,10
0.047454,HTTP,10
0.048994,HTTP,10
0.060358,HTTP,10
0.000982,HTTP,10
0.060358,HTTP,10
0.048994,HTTP,10
0.061429,HTTP,10
0.048994,HTTP,10
0.0,HTTP,10
0.061429,HTTP,10
0.00149,HTTP,10
0.061429,HTTP,10
0.060903,HTTP,10
0.061429,HTTP,10
0.0,HTTP,10
0.061429,HTTP,10
0.060903,HTTP,10
0.001489,HTTP,10
0.060903,HTTP,10
0.061622,HTTP,10
0.060903,HTTP,10
0.0,HTTP,10
0.060903,HTTP,10
0.001004,HTTP,10
0.061622,HTTP,10
0.061622,HTTP,10
0.060908,HTTP,10
0.061622,HTTP,10
0.000998,HTTP,10
0.060908,HTTP,10
0.061622,HTTP,10
0.060908,HTTP,10
0.060908,HTTP,10
0.060084,HTTP,10
0.060908,HTTP,10
0.060084,HTTP,10
0.060908,HTTP,10
0.060084,HTTP,10
0.060084,HTTP,10
0.060084,HTTP,10
0.060084,HTTP,10
0.25943,HTTP,10
0.28389,HTTP,10
0.283884,HTTP,10
0.262277,HTTP,10
0.283884,HTTP,10
0.262277,HTTP,10
0.28389,HTTP,10
0.25943,HTTP,10
0.283884,HTTP,10
0.262277,HTTP,10
0.28389,HTTP,10
0.25943,HTTP,10
0.283884,HTTP,10
0.262277,HTTP,10
0.28389,HTTP,10
0.25943,HTTP,10
0.283884,HTTP,10
0.262277,HTTP,10
0.28389,HTTP,10
0.283884,HTTP,10
0.25943,HTTP,10
0.28389,HTTP,10
0.25943,HTTP,10
0.283884,HTTP,10
0.262277,HTTP,10
0.28389,HTTP,10
0.283884,HTTP,10
0.28389,HTTP,10
0.0,HTTP,10
0.003358,HTTP,10
0.18536,HTTP,10
0.18536,HTTP,10
0.18536,HTTP,10
0.18536,HTTP,10
0.18536,HTTP,10
0.000998,HTTP,10
0.000969,HTTP,10
0.000969,HTTP,10
0.000466,HTTP,10
0.00097,HTTP,10
0.00097,HTTP,10
0.310589,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.310593,HTTP,10
0.311542,HTTP,10
0.311542,HTTP,10
0.310589,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.310593,HTTP,10
0.311542,HTTP,10
0.311542,HTTP,10
0.310589,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.310593,HTTP,10
0.311542,HTTP,10
0.311542,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.310589,HTTP,10
0.310589,HTTP,10
0.310593,HTTP,10
0.311542,HTTP,10
0.311542,HTTP,10
0.311542,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.0,HTTP,10
0.311096,HTTP,10
0.311096,HTTP,10
0.310589,HTTP,10
0.000992,HTTP,10
0.310589,HTTP,10
0.311096,HTTP,10
0.310589,HTTP,10
0.311542,HTTP,10
0.311542,HTTP,10
0.000998,HTTP,10
0.0,HTTP,10
0.001495,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.310589,HTTP,10
0.260391,HTTP,10
0.260391,HTTP,10
0.260391,HTTP,10
0.260391,HTTP,10
0.310589,HTTP,10
0.311542,HTTP,10
0.311542,HTTP,10
0.310593,HTTP,10
0.216892,HTTP,10
0.001495,HTTP,10
0.216892,HTTP,10
0.216892,HTTP,10
0.216892,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.260391,HTTP,10
0.260391,HTTP,10
0.311542,HTTP,10
0.311542,HTTP,10
0.311542,HTTP,10
0.310593,HTTP,10
0.216892,HTTP,10
0.216892,HTTP,10
0.216892,HTTP,10
0.216892,HTTP,10
0.216892,HTTP,10
0.274044,HTTP,10
0.216892,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.311542,HTTP,10
0.311542,HTTP,10
0.274044,HTTP,10
0.216892,HTTP,10
0.216892,HTTP,10
0.216892,HTTP,10
0.216892,HTTP,10
0.216892,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
0.274044,HTTP,10
