SynAck,TcpRtt,AckDat,class,label
0.000741,0.000741,0.0,HTTP,12
0.000741,0.215546,0.214805,HTTP,12
0.000741,0.215546,0.214805,HTTP,12
0.000741,0.215546,0.214805,HTTP,12
0.000741,0.215546,0.214805,HTTP,12
0.000741,0.215546,0.214805,HTTP,12
0.0,0.0,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.000771,0.000771,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.001763,0.001763,0.0,HTTP,12
0.001267,0.001267,0.0,HTTP,12
0.001267,0.001267,0.0,HTTP,12
0.001276,0.001276,0.0,HTTP,12
0.001276,0.001276,0.0,HTTP,12
0.001267,0.184895,0.183628,HTTP,12
0.001267,0.185396,0.184129,HTTP,12
0.000771,0.1849,0.184129,HTTP,12
0.001276,0.1849,0.183624,HTTP,12
0.001276,0.185396,0.18412,HTTP,12
0.000771,0.1849,0.184129,HTTP,12
0.001276,0.1849,0.183624,HTTP,12
0.001267,0.184895,0.183628,HTTP,12
0.001267,0.184895,0.183628,HTTP,12
0.001267,0.185396,0.184129,HTTP,12
0.000771,0.1849,0.184129,HTTP,12
0.001276,0.1849,0.183624,HTTP,12
0.001276,0.1849,0.183624,HTTP,12
0.001276,0.185396,0.18412,HTTP,12
0.000771,0.1849,0.184129,HTTP,12
0.001267,0.184895,0.183628,HTTP,12
0.001267,0.185396,0.184129,HTTP,12
0.000513,0.000513,0.0,HTTP,12
0.001267,0.184895,0.183628,HTTP,12
0.001267,0.185396,0.184129,HTTP,12
0.000771,0.1849,0.184129,HTTP,12
0.000495,0.000495,0.0,HTTP,12
0.000495,0.000495,0.0,HTTP,12
0.000771,0.1849,0.184129,HTTP,12
0.001276,0.1849,0.183624,HTTP,12
0.001276,0.185396,0.18412,HTTP,12
0.0,0.0,0.0,HTTP,12
0.000997,0.000997,0.0,HTTP,12
0.000997,0.000997,0.0,HTTP,12
0.001276,0.1849,0.183624,HTTP,12
0.001276,0.185396,0.18412,HTTP,12
0.000771,0.1849,0.184129,HTTP,12
0.001489,0.001489,0.0,HTTP,12
0.000513,0.059892,0.059379,HTTP,12
0.000495,0.059379,0.058884,HTTP,12
0.000495,0.059379,0.058884,HTTP,12
0.000495,0.059379,0.058884,HTTP,12
0.000495,0.059379,0.058884,HTTP,12
0.000513,0.059892,0.059379,HTTP,12
0.000513,0.059892,0.059379,HTTP,12
0.000495,0.059379,0.058884,HTTP,12
0.000495,0.059379,0.058884,HTTP,12
0.000495,0.059379,0.058884,HTTP,12
0.001489,0.059912,0.058423,HTTP,12
0.000997,0.059417,0.05842,HTTP,12
0.000997,0.059913,0.058916,HTTP,12
0.001489,0.059912,0.058423,HTTP,12
0.000997,0.059417,0.05842,HTTP,12
0.000997,0.059417,0.05842,HTTP,12
0.000997,0.059913,0.058916,HTTP,12
0.000513,0.059892,0.059379,HTTP,12
0.000495,0.059379,0.058884,HTTP,12
0.000495,0.059379,0.058884,HTTP,12
0.000495,0.059379,0.058884,HTTP,12
0.000513,0.059892,0.059379,HTTP,12
0.0,0.0,0.0,HTTP,12
0.000513,0.000513,0.0,HTTP,12
0.000495,0.059379,0.058884,HTTP,12
0.001489,0.059912,0.058423,HTTP,12
0.000997,0.059417,0.05842,HTTP,12
0.000997,0.059913,0.058916,HTTP,12
0.000934,0.000934,0.0,HTTP,12
0.000934,0.000934,0.0,HTTP,12
0.000934,0.000934,0.0,HTTP,12
0.000997,0.059913,0.058916,HTTP,12
0.000654,0.000654,0.0,HTTP,12
0.000997,0.059913,0.058916,HTTP,12
0.0,0.059733,0.059733,HTTP,12
0.000513,0.060227,0.059714,HTTP,12
0.0,0.059733,0.059733,HTTP,12
0.0,0.059733,0.059733,HTTP,12
0.000513,0.060227,0.059714,HTTP,12
0.000934,0.060174,0.05924,HTTP,12
0.000934,0.060668,0.059734,HTTP,12
0.000934,0.060668,0.059734,HTTP,12
0.000934,0.060174,0.05924,HTTP,12
0.000934,0.060174,0.05924,HTTP,12
0.000934,0.060668,0.059734,HTTP,12
0.000934,0.060668,0.059734,HTTP,12
0.000654,0.0612,0.060546,HTTP,12
0.000654,0.0612,0.060546,HTTP,12
0.000654,0.0612,0.060546,HTTP,12
0.0,0.059733,0.059733,HTTP,12
0.000513,0.060227,0.059714,HTTP,12
0.000504,0.000504,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.0,0.059733,0.059733,HTTP,12
0.000513,0.060227,0.059714,HTTP,12
0.001006,0.001006,0.0,HTTP,12
0.000934,0.060174,0.05924,HTTP,12
0.000934,0.060668,0.059734,HTTP,12
0.000934,0.060668,0.059734,HTTP,12
0.0,0.0,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.000934,0.060174,0.05924,HTTP,12
0.000934,0.060668,0.059734,HTTP,12
0.000934,0.060668,0.059734,HTTP,12
0.000654,0.0612,0.060546,HTTP,12
0.000934,0.060668,0.059734,HTTP,12
0.000486,0.000486,0.0,HTTP,12
0.000486,0.000486,0.0,HTTP,12
0.000504,0.060626,0.060122,HTTP,12
0.001006,0.060626,0.05962,HTTP,12
0.001006,0.060626,0.05962,HTTP,12
0.000504,0.060626,0.060122,HTTP,12
0.000504,0.060626,0.060122,HTTP,12
0.001006,0.060626,0.05962,HTTP,12
0.0,0.059978,0.059978,HTTP,12
0.0,0.059978,0.059978,HTTP,12
0.0,0.059978,0.059978,HTTP,12
0.0,0.059978,0.059978,HTTP,12
0.0,0.059978,0.059978,HTTP,12
0.000486,0.060608,0.060122,HTTP,12
0.000486,0.060608,0.060122,HTTP,12
0.000486,0.060608,0.060122,HTTP,12
0.000486,0.060608,0.060122,HTTP,12
0.000486,0.060608,0.060122,HTTP,12
0.000504,0.060626,0.060122,HTTP,12
0.001006,0.060626,0.05962,HTTP,12
0.0005,0.0005,0.0,HTTP,12
0.000496,0.000496,0.0,HTTP,12
0.001006,0.060626,0.05962,HTTP,12
0.0,0.059978,0.059978,HTTP,12
0.0,0.059978,0.059978,HTTP,12
0.0,0.059978,0.059978,HTTP,12
0.0,0.059978,0.059978,HTTP,12
0.000499,0.000499,0.0,HTTP,12
0.000499,0.000499,0.0,HTTP,12
0.000486,0.060608,0.060122,HTTP,12
0.000486,0.060608,0.060122,HTTP,12
0.000935,0.000935,0.0,HTTP,12
0.000935,0.000935,0.0,HTTP,12
0.0005,0.06009,0.05959,HTTP,12
0.000496,0.060085,0.059589,HTTP,12
0.0005,0.06009,0.05959,HTTP,12
0.000496,0.060085,0.059589,HTTP,12
0.000496,0.060085,0.059589,HTTP,12
0.0005,0.06009,0.05959,HTTP,12
0.000499,0.060156,0.059657,HTTP,12
0.000499,0.060657,0.060158,HTTP,12
0.000499,0.060156,0.059657,HTTP,12
0.000499,0.060657,0.060158,HTTP,12
0.000935,0.061168,0.060233,HTTP,12
0.000935,0.06166,0.060725,HTTP,12
0.000935,0.061168,0.060233,HTTP,12
0.000935,0.061168,0.060233,HTTP,12
0.000935,0.061168,0.060233,HTTP,12
0.000935,0.06166,0.060725,HTTP,12
0.000496,0.060085,0.059589,HTTP,12
0.0005,0.06009,0.05959,HTTP,12
0.0,0.0,0.0,HTTP,12
0.000502,0.000502,0.0,HTTP,12
0.001425,0.001425,0.0,HTTP,12
0.000499,0.060156,0.059657,HTTP,12
0.000499,0.060657,0.060158,HTTP,12
0.000935,0.061168,0.060233,HTTP,12
0.000935,0.06166,0.060725,HTTP,12
0.000935,0.061168,0.060233,HTTP,12
0.001425,0.060399,0.058974,HTTP,12
0.000502,0.059969,0.059467,HTTP,12
0.001425,0.060399,0.058974,HTTP,12
0.000502,0.059969,0.059467,HTTP,12
0.001425,0.060399,0.058974,HTTP,12
0.001425,0.060399,0.058974,HTTP,12
0.000502,0.059969,0.059467,HTTP,12
0.001425,0.060399,0.058974,HTTP,12
0.000502,0.059969,0.059467,HTTP,12
0.001763,0.001763,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.014029,0.014029,0.0,HTTP,12
0.001763,0.063922,0.062159,HTTP,12
0.001763,0.063922,0.062159,HTTP,12
0.001763,0.063922,0.062159,HTTP,12
0.014029,0.061658,0.047629,HTTP,12
0.014029,0.061658,0.047629,HTTP,12
0.001763,0.063922,0.062159,HTTP,12
0.001763,0.063922,0.062159,HTTP,12
0.014029,0.061658,0.047629,HTTP,12
0.014029,0.061658,0.047629,HTTP,12
0.000993,0.000993,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.001001,0.001001,0.0,HTTP,12
0.001001,0.275377,0.274376,HTTP,12
0.000993,0.000993,0.0,HTTP,12
0.001001,0.275377,0.274376,HTTP,12
0.001001,0.275377,0.274376,HTTP,12
0.000993,0.325595,0.324602,HTTP,12
0.001001,0.275377,0.274376,HTTP,12
0.001001,0.275377,0.274376,HTTP,12
0.0,0.0,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.001502,0.001502,0.0,HTTP,12
0.001502,0.001502,0.0,HTTP,12
0.001494,0.001494,0.0,HTTP,12
0.001494,0.001494,0.0,HTTP,12
0.001991,0.001991,0.0,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.000993,0.000993,0.0,HTTP,12
0.000993,0.000993,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.0,0.0,0.0,HTTP,12
0.001491,0.001491,0.0,HTTP,12
0.001987,0.001987,0.0,HTTP,12
0.001987,0.001987,0.0,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.000993,0.338325,0.337332,HTTP,12
0.000993,0.338325,0.337332,HTTP,12
0.001491,0.338325,0.336834,HTTP,12
0.001987,0.338825,0.336838,HTTP,12
0.001987,0.338825,0.336838,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001494,0.338312,0.336818,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.000993,0.338325,0.337332,HTTP,12
0.000993,0.338325,0.337332,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.000993,0.338325,0.337332,HTTP,12
0.000993,0.338325,0.337332,HTTP,12
0.000993,0.338325,0.337332,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.001502,0.338029,0.336527,HTTP,12
0.000993,0.338325,0.337332,HTTP,12
0.000993,0.338325,0.337332,HTTP,12
0.000993,0.338325,0.337332,HTTP,12
0.001491,0.338325,0.336834,HTTP,12
0.001491,0.338325,0.336834,HTTP,12
0.000993,0.338325,0.337332,HTTP,12
0.001491,0.338325,0.336834,HTTP,12
0.001491,0.338325,0.336834,HTTP,12
0.001991,0.338312,0.336321,HTTP,12
0.001987,0.338825,0.336838,HTTP,12
