SynAck,TcpRtt,AckDat,class,label
0.0,0.0,0.0,HTTP,13
0.0,0.0,0.0,HTTP,13
0.0,0.0,0.0,HTTP,13
0.0,0.0,0.0,HTTP,13
0.0,0.0,0.0,HTTP,13
0.0,0.0,0.0,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.000497,0.154621,0.154124,HTTP,13
0.000497,0.154621,0.154124,HTTP,13
0.000497,0.154621,0.154124,HTTP,13
0.000497,0.154621,0.154124,HTTP,13
0.000497,0.154621,0.154124,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.0,0.0,0.0,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.000497,0.154362,0.153865,HTTP,13
0.000497,0.154859,0.154362,HTTP,13
0.0,0.169327,0.169327,HTTP,13
0.000497,0.169327,0.16883,HTTP,13
0.000497,0.169327,0.16883,HTTP,13
0.000497,0.169327,0.16883,HTTP,13
0.000497,0.154362,0.153865,HTTP,13
0.000497,0.154362,0.153865,HTTP,13
0.0,0.169327,0.169327,HTTP,13
0.000497,0.169327,0.16883,HTTP,13
0.000497,0.169327,0.16883,HTTP,13
0.000497,0.169327,0.16883,HTTP,13
0.000497,0.169327,0.16883,HTTP,13
0.000497,0.154362,0.153865,HTTP,13
0.0,0.169327,0.169327,HTTP,13
0.0,0.0,0.0,HTTP,13
0.000497,0.169327,0.16883,HTTP,13
0.000497,0.169327,0.16883,HTTP,13
0.000497,0.169327,0.16883,HTTP,13
0.000497,0.169327,0.16883,HTTP,13
0.000499,0.000499,0.0,HTTP,13
0.0,0.0,0.0,HTTP,13
0.0,0.0,0.0,HTTP,13
0.000499,0.154173,0.153674,HTTP,13
0.0,0.154171,0.154171,HTTP,13
0.000499,0.154173,0.153674,HTTP,13
0.0,0.154171,0.154171,HTTP,13
0.000499,0.154173,0.153674,HTTP,13
0.0,0.154171,0.154171,HTTP,13
0.0,0.0,0.0,HTTP,13
0.0,0.0,0.0,HTTP,13
0.000499,0.154173,0.153674,HTTP,13
0.000496,0.000496,0.0,HTTP,13
0.0,0.154171,0.154171,HTTP,13
0.0,0.154171,0.154171,HTTP,13
0.000497,0.154859,0.154362,HTTP,13
0.000497,0.154859,0.154362,HTTP,13
0.000497,0.154859,0.154362,HTTP,13
0.0,0.0,0.0,HTTP,13
0.0,0.0,0.0,HTTP,13
0.000499,0.154173,0.153674,HTTP,13
0.000496,0.169384,0.168888,HTTP,13
0.0,0.154171,0.154171,HTTP,13
0.000499,0.154173,0.153674,HTTP,13
0.0,0.0,0.0,HTTP,13
0.0,0.154171,0.154171,HTTP,13
0.0,0.169327,0.169327,HTTP,13
0.0,0.0,0.0,HTTP,13
0.0,0.169327,0.169327,HTTP,13
0.000496,0.169384,0.168888,HTTP,13
0.000496,0.169384,0.168888,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.000497,0.154859,0.154362,HTTP,13
0.000499,0.000499,0.0,HTTP,13
0.0,0.169327,0.169327,HTTP,13
0.000496,0.169384,0.168888,HTTP,13
0.000496,0.000496,0.0,HTTP,13
0.000499,0.154515,0.154016,HTTP,13
0.000499,0.154515,0.154016,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.000499,0.154515,0.154016,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.000496,0.15466,0.154164,HTTP,13
0.000496,0.15466,0.154164,HTTP,13
0.000499,0.154515,0.154016,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.000499,0.154515,0.154016,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.000497,0.000497,0.0,HTTP,13
0.000496,0.15466,0.154164,HTTP,13
0.000496,0.15466,0.154164,HTTP,13
0.0,0.0,0.0,HTTP,13
0.0,0.0,0.0,HTTP,13
0.000497,0.154153,0.153656,HTTP,13
0.000497,0.154153,0.153656,HTTP,13
0.000497,0.154153,0.153656,HTTP,13
0.000497,0.154153,0.153656,HTTP,13
0.000497,0.154153,0.153656,HTTP,13
0.000499,0.154173,0.153674,HTTP,13
0.0,0.154171,0.154171,HTTP,13
0.000499,0.154173,0.153674,HTTP,13
0.0,0.154171,0.154171,HTTP,13
0.0,0.154727,0.154727,HTTP,13
0.0,0.154727,0.154727,HTTP,13
0.0,0.154741,0.154741,HTTP,13
0.000497,0.154153,0.153656,HTTP,13
0.000496,0.000496,0.0,HTTP,13
0.000497,0.154153,0.153656,HTTP,13
0.0,0.154741,0.154741,HTTP,13
0.000497,0.154153,0.153656,HTTP,13
