SynAck,TcpRtt,AckDat,class,label
0.000881,0.000881,0.0,HTTP,11
0.000881,0.171679,0.170798,HTTP,11
0.000881,0.171679,0.170798,HTTP,11
0.000881,0.171679,0.170798,HTTP,11
0.000881,0.171679,0.170798,HTTP,11
0.000881,0.171679,0.170798,HTTP,11
0.000881,0.171679,0.170798,HTTP,11
0.0,0.0,0.0,HTTP,11
0.0,0.0,0.0,HTTP,11
0.000989,0.000989,0.0,HTTP,11
0.0,0.0,0.0,HTTP,11
0.0,0.0,0.0,HTTP,11
0.0,0.0,0.0,HTTP,11
0.001495,0.001495,0.0,HTTP,11
0.001495,0.001495,0.0,HTTP,11
0.001479,0.001479,0.0,HTTP,11
0.001058,0.001058,0.0,HTTP,11
0.001564,0.001564,0.0,HTTP,11
0.001495,0.123902,0.122407,HTTP,11
0.001495,0.123902,0.122407,HTTP,11
0.000989,0.123396,0.122407,HTTP,11
0.001479,0.123891,0.122412,HTTP,11
0.001058,0.12347,0.122412,HTTP,11
0.001564,0.136856,0.135292,HTTP,11
0.001495,0.123902,0.122407,HTTP,11
0.001495,0.123902,0.122407,HTTP,11
0.000989,0.123396,0.122407,HTTP,11
0.001479,0.123891,0.122412,HTTP,11
0.001058,0.12347,0.122412,HTTP,11
0.001564,0.136856,0.135292,HTTP,11
0.001495,0.123902,0.122407,HTTP,11
0.000989,0.123396,0.122407,HTTP,11
0.001479,0.123891,0.122412,HTTP,11
0.001495,0.123902,0.122407,HTTP,11
0.001058,0.12347,0.122412,HTTP,11
0.001564,0.136856,0.135292,HTTP,11
0.001058,0.12347,0.122412,HTTP,11
0.001479,0.123891,0.122412,HTTP,11
0.001564,0.136856,0.135292,HTTP,11
0.000989,0.123396,0.122407,HTTP,11
0.000989,0.123396,0.122407,HTTP,11
0.001495,0.123902,0.122407,HTTP,11
0.001479,0.123891,0.122412,HTTP,11
0.001495,0.123902,0.122407,HTTP,11
0.001058,0.12347,0.122412,HTTP,11
0.001479,0.123891,0.122412,HTTP,11
0.001564,0.136856,0.135292,HTTP,11
0.000989,0.123396,0.122407,HTTP,11
0.001479,0.123891,0.122412,HTTP,11
0.000989,0.123396,0.122407,HTTP,11
0.001495,0.123902,0.122407,HTTP,11
0.000989,0.123396,0.122407,HTTP,11
0.001479,0.123891,0.122412,HTTP,11
0.000504,0.000504,0.0,HTTP,11
0.000504,0.000504,0.0,HTTP,11
0.0,0.0,0.0,HTTP,11
0.001,0.001,0.0,HTTP,11
0.000504,0.154127,0.153623,HTTP,11
0.000504,0.154631,0.154127,HTTP,11
0.001,0.167461,0.166461,HTTP,11
0.000504,0.154631,0.154127,HTTP,11
0.000504,0.154127,0.153623,HTTP,11
0.001,0.167461,0.166461,HTTP,11
0.000504,0.154127,0.153623,HTTP,11
0.000504,0.154631,0.154127,HTTP,11
0.000504,0.154631,0.154127,HTTP,11
0.001,0.167461,0.166461,HTTP,11
0.001,0.167461,0.166461,HTTP,11
0.000836,0.000836,0.0,HTTP,11
0.0,0.0,0.0,HTTP,11
0.0009,0.0009,0.0,HTTP,11
0.001058,0.12347,0.122412,HTTP,11
0.001564,0.136856,0.135292,HTTP,11
0.001058,0.12347,0.122412,HTTP,11
0.001564,0.136856,0.135292,HTTP,11
0.000504,0.154127,0.153623,HTTP,11
0.000504,0.154631,0.154127,HTTP,11
0.000497,0.000497,0.0,HTTP,11
0.001,0.167461,0.166461,HTTP,11
0.000504,0.154127,0.153623,HTTP,11
0.000508,0.000508,0.0,HTTP,11
0.000504,0.154631,0.154127,HTTP,11
0.001,0.167461,0.166461,HTTP,11
0.0,0.0,0.0,HTTP,11
0.000836,0.170542,0.169706,HTTP,11
0.0,0.170579,0.170579,HTTP,11
0.0009,0.170579,0.169679,HTTP,11
0.000836,0.170542,0.169706,HTTP,11
0.000836,0.170542,0.169706,HTTP,11
0.000836,0.170542,0.169706,HTTP,11
0.0,0.170579,0.170579,HTTP,11
