SynAck,TcpRtt,AckDat,class,label
0.000498,0.000498,0.0,HTTP,2
0.000498,0.061575,0.061077,HTTP,2
0.000498,0.061575,0.061077,HTTP,2
0.000498,0.061575,0.061077,HTTP,2
0.000498,0.061575,0.061077,HTTP,2
0.0,0.0,0.0,HTTP,2
0.0,0.0,0.0,HTTP,2
0.0,0.0,0.0,HTTP,2
0.0,0.0,0.0,HTTP,2
0.0,0.0,0.0,HTTP,2
0.0,0.0,0.0,HTTP,2
0.001502,0.001502,0.0,HTTP,2
0.001359,0.001359,0.0,HTTP,2
0.001863,0.001863,0.0,HTTP,2
0.001508,0.001508,0.0,HTTP,2
0.001508,0.001508,0.0,HTTP,2
0.001508,0.001508,0.0,HTTP,2
0.001502,0.060955,0.059453,HTTP,2
0.001359,0.061309,0.05995,HTTP,2
0.001863,0.061309,0.059446,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.001508,0.06145,0.059942,HTTP,2
0.001502,0.060955,0.059453,HTTP,2
0.001863,0.061309,0.059446,HTTP,2
0.001359,0.061309,0.05995,HTTP,2
0.001508,0.06145,0.059942,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.001502,0.060955,0.059453,HTTP,2
0.001359,0.061309,0.05995,HTTP,2
0.001502,0.060955,0.059453,HTTP,2
0.001508,0.06145,0.059942,HTTP,2
0.001508,0.06145,0.059942,HTTP,2
0.001508,0.076128,0.07462,HTTP,2
0.001508,0.076128,0.07462,HTTP,2
0.001359,0.061309,0.05995,HTTP,2
0.001359,0.061309,0.05995,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.001863,0.061309,0.059446,HTTP,2
0.001863,0.061309,0.059446,HTTP,2
0.001508,0.076128,0.07462,HTTP,2
0.001508,0.076128,0.07462,HTTP,2
0.001502,0.060955,0.059453,HTTP,2
0.001359,0.061309,0.05995,HTTP,2
0.001508,0.06145,0.059942,HTTP,2
0.001508,0.06145,0.059942,HTTP,2
0.001502,0.060955,0.059453,HTTP,2
0.0,0.0,0.0,HTTP,2
0.0,0.0,0.0,HTTP,2
0.001359,0.061309,0.05995,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.001508,0.06145,0.059942,HTTP,2
0.001863,0.061309,0.059446,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.001502,0.060955,0.059453,HTTP,2
0.026941,0.026941,0.0,HTTP,2
0.026445,0.026445,0.0,HTTP,2
0.001359,0.061309,0.05995,HTTP,2
0.0,0.0,0.0,HTTP,2
0.001508,0.076128,0.07462,HTTP,2
0.001359,0.061309,0.05995,HTTP,2
0.010944,0.010944,0.0,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.001863,0.061309,0.059446,HTTP,2
0.001508,0.076128,0.07462,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.0,0.0,0.0,HTTP,2
0.0,0.0,0.0,HTTP,2
0.0,0.0,0.0,HTTP,2
0.001508,0.076128,0.07462,HTTP,2
0.001863,0.061309,0.059446,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.003893,0.003893,0.0,HTTP,2
0.003395,0.003395,0.0,HTTP,2
0.003124,0.003124,0.0,HTTP,2
0.001508,0.06145,0.059942,HTTP,2
0.001863,0.061309,0.059446,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.026941,0.283884,0.256943,HTTP,2
0.026445,0.28389,0.257445,HTTP,2
0.001508,0.076128,0.07462,HTTP,2
0.010944,0.25943,0.248486,HTTP,2
0.026445,0.28389,0.257445,HTTP,2
0.026941,0.283884,0.256943,HTTP,2
0.026445,0.28389,0.257445,HTTP,2
0.026941,0.283884,0.256943,HTTP,2
0.026941,0.283884,0.256943,HTTP,2
0.026941,0.283884,0.256943,HTTP,2
0.026445,0.28389,0.257445,HTTP,2
0.026445,0.28389,0.257445,HTTP,2
0.010944,0.25943,0.248486,HTTP,2
0.000508,0.000508,0.0,HTTP,2
0.000508,0.000508,0.0,HTTP,2
0.000508,0.000508,0.0,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.001863,0.061309,0.059446,HTTP,2
0.003893,0.262277,0.258384,HTTP,2
0.003395,0.261779,0.258384,HTTP,2
0.003124,0.261508,0.258384,HTTP,2
0.001863,0.061309,0.059446,HTTP,2
0.003395,0.261779,0.258384,HTTP,2
0.003893,0.262277,0.258384,HTTP,2
0.003124,0.261508,0.258384,HTTP,2
0.003893,0.262277,0.258384,HTTP,2
0.003124,0.261508,0.258384,HTTP,2
0.003395,0.261779,0.258384,HTTP,2
0.003893,0.262277,0.258384,HTTP,2
0.003124,0.261508,0.258384,HTTP,2
0.000508,0.231443,0.230935,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.001508,0.060954,0.059446,HTTP,2
0.001863,0.061309,0.059446,HTTP,2
0.003395,0.261779,0.258384,HTTP,2
0.003395,0.261779,0.258384,HTTP,2
0.000508,0.231443,0.230935,HTTP,2
0.003395,0.261779,0.258384,HTTP,2
0.000508,0.231443,0.230935,HTTP,2
0.000508,0.231443,0.230935,HTTP,2
0.000508,0.231443,0.230935,HTTP,2
0.010944,0.25943,0.248486,HTTP,2
0.026445,0.28389,0.257445,HTTP,2
0.026941,0.283884,0.256943,HTTP,2
0.000508,0.231443,0.230935,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231443,0.230935,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231443,0.230935,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.003893,0.262277,0.258384,HTTP,2
0.010944,0.25943,0.248486,HTTP,2
0.026445,0.28389,0.257445,HTTP,2
0.026941,0.283884,0.256943,HTTP,2
0.003124,0.261508,0.258384,HTTP,2
0.003893,0.262277,0.258384,HTTP,2
0.003124,0.261508,0.258384,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.026941,0.283884,0.256943,HTTP,2
0.026445,0.28389,0.257445,HTTP,2
0.010944,0.25943,0.248486,HTTP,2
0.003893,0.262277,0.258384,HTTP,2
0.003124,0.261508,0.258384,HTTP,2
0.003124,0.261508,0.258384,HTTP,2
0.003124,0.261508,0.258384,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.003124,0.261508,0.258384,HTTP,2
0.000957,0.000957,0.0,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000957,0.214786,0.213829,HTTP,2
0.000957,0.214786,0.213829,HTTP,2
0.000957,0.214786,0.213829,HTTP,2
0.000957,0.214786,0.213829,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000957,0.214786,0.213829,HTTP,2
0.000957,0.214786,0.213829,HTTP,2
0.0,0.0,0.0,HTTP,2
0.000957,0.214786,0.213829,HTTP,2
0.075835,0.075835,0.0,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.0,0.0,0.0,HTTP,2
0.000508,0.231939,0.231431,HTTP,2
0.002489,0.002489,0.0,HTTP,2
0.000996,0.000996,0.0,HTTP,2
0.075835,0.303538,0.227703,HTTP,2
0.075835,0.303538,0.227703,HTTP,2
0.0,0.0,0.0,HTTP,2
0.001012,0.001012,0.0,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.000996,0.277183,0.276187,HTTP,2
0.075835,0.303538,0.227703,HTTP,2
0.000996,0.277183,0.276187,HTTP,2
0.000996,0.277183,0.276187,HTTP,2
0.075835,0.303538,0.227703,HTTP,2
0.000996,0.277183,0.276187,HTTP,2
0.001012,0.215973,0.214961,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.000996,0.277183,0.276187,HTTP,2
0.001012,0.215973,0.214961,HTTP,2
0.001012,0.215973,0.214961,HTTP,2
0.000996,0.277183,0.276187,HTTP,2
0.001012,0.215973,0.214961,HTTP,2
0.001012,0.215973,0.214961,HTTP,2
0.0,0.0,0.0,HTTP,2
0.001012,0.215973,0.214961,HTTP,2
0.033915,0.033915,0.0,HTTP,2
0.0,0.0,0.0,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.006068,0.006068,0.0,HTTP,2
0.033915,0.23907,0.205155,HTTP,2
0.033915,0.23907,0.205155,HTTP,2
0.033915,0.23907,0.205155,HTTP,2
0.033915,0.23907,0.205155,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.006068,0.231471,0.225403,HTTP,2
0.033915,0.23907,0.205155,HTTP,2
0.010944,0.25943,0.248486,HTTP,2
0.026445,0.28389,0.257445,HTTP,2
0.026941,0.283884,0.256943,HTTP,2
0.033915,0.23907,0.205155,HTTP,2
0.003893,0.262277,0.258384,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.006068,0.231471,0.225403,HTTP,2
0.006068,0.231471,0.225403,HTTP,2
0.006068,0.231471,0.225403,HTTP,2
0.006068,0.231471,0.225403,HTTP,2
0.033915,0.23907,0.205155,HTTP,2
0.006068,0.231471,0.225403,HTTP,2
0.006068,0.231471,0.225403,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.006068,0.231471,0.225403,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.002489,0.292029,0.28954,HTTP,2
0.033915,0.23907,0.205155,HTTP,2
0.006068,0.231471,0.225403,HTTP,2
0.0,0.0,0.0,HTTP,2
0.006068,0.231471,0.225403,HTTP,2
0.001997,0.001997,0.0,HTTP,2
0.033915,0.23907,0.205155,HTTP,2
0.000993,0.000993,0.0,HTTP,2
0.0,0.0,0.0,HTTP,2
0.001039,0.001039,0.0,HTTP,2
0.000993,0.216052,0.215059,HTTP,2
0.000993,0.216052,0.215059,HTTP,2
0.000993,0.216052,0.215059,HTTP,2
0.000993,0.216052,0.215059,HTTP,2
0.001997,0.001997,0.0,HTTP,2
0.000993,0.216052,0.215059,HTTP,2
0.000993,0.216052,0.215059,HTTP,2
0.001997,0.077438,0.075441,HTTP,2
0.001997,0.077438,0.075441,HTTP,2
0.000993,0.216052,0.215059,HTTP,2
0.001997,0.077438,0.075441,HTTP,2
0.0,0.0,0.0,HTTP,2
0.000993,0.216052,0.215059,HTTP,2
0.001997,0.077438,0.075441,HTTP,2
0.00182,0.00182,0.0,HTTP,2
0.000993,0.216052,0.215059,HTTP,2
0.00182,0.060892,0.059072,HTTP,2
0.000993,0.216052,0.215059,HTTP,2
0.00182,0.060892,0.059072,HTTP,2
0.00182,0.060892,0.059072,HTTP,2
0.001039,0.001039,0.0,HTTP,2
0.000993,0.216052,0.215059,HTTP,2
0.00182,0.060892,0.059072,HTTP,2
0.000995,0.000995,0.0,HTTP,2
0.00049,0.00049,0.0,HTTP,2
0.001039,0.048994,0.047955,HTTP,2
0.000995,0.047454,0.046459,HTTP,2
0.00049,0.060358,0.059868,HTTP,2
0.000995,0.047454,0.046459,HTTP,2
0.00049,0.060358,0.059868,HTTP,2
0.000995,0.047454,0.046459,HTTP,2
0.00049,0.060358,0.059868,HTTP,2
0.000995,0.047454,0.046459,HTTP,2
0.00049,0.060358,0.059868,HTTP,2
0.000995,0.047454,0.046459,HTTP,2
0.00049,0.060358,0.059868,HTTP,2
0.001039,0.048994,0.047955,HTTP,2
0.006068,0.231471,0.225403,HTTP,2
0.000995,0.047454,0.046459,HTTP,2
0.001039,0.048994,0.047955,HTTP,2
0.00049,0.060358,0.059868,HTTP,2
0.000982,0.000982,0.0,HTTP,2
0.00049,0.060358,0.059868,HTTP,2
0.001039,0.048994,0.047955,HTTP,2
0.000982,0.061429,0.060447,HTTP,2
0.001039,0.048994,0.047955,HTTP,2
0.0,0.0,0.0,HTTP,2
0.000982,0.061429,0.060447,HTTP,2
0.00149,0.00149,0.0,HTTP,2
0.000982,0.061429,0.060447,HTTP,2
0.00149,0.060903,0.059413,HTTP,2
0.000982,0.061429,0.060447,HTTP,2
0.0,0.0,0.0,HTTP,2
0.000982,0.061429,0.060447,HTTP,2
0.00149,0.060903,0.059413,HTTP,2
0.001489,0.001489,0.0,HTTP,2
0.00149,0.060903,0.059413,HTTP,2
0.001489,0.061622,0.060133,HTTP,2
0.00149,0.060903,0.059413,HTTP,2
0.0,0.0,0.0,HTTP,2
0.00149,0.060903,0.059413,HTTP,2
0.001004,0.001004,0.0,HTTP,2
0.001489,0.061622,0.060133,HTTP,2
0.001489,0.061622,0.060133,HTTP,2
0.001004,0.060908,0.059904,HTTP,2
