TcpRtt,class,label
0.000503,HTTP,7
0.000503,HTTP,7
0.23072,HTTP,7
0.23072,HTTP,7
0.000994,HTTP,7
0.000994,HTTP,7
0.23072,HTTP,7
0.230983,HTTP,7
0.000496,HTTP,7
0.230983,HTTP,7
0.217707,HTTP,7
0.000495,HTTP,7
0.217707,HTTP,7
0.230318,HTTP,7
0.230318,HTTP,7
0.230318,HTTP,7
0.230318,HTTP,7
0.000993,HTTP,7
0.229642,HTTP,7
0.229642,HTTP,7
0.229642,HTTP,7
0.229642,HTTP,7
0.0,HTTP,7
0.229944,HTTP,7
0.229944,HTTP,7
0.229944,HTTP,7
0.229628,HTTP,7
0.229628,HTTP,7
0.229628,HTTP,7
0.230318,HTTP,7
0.230318,HTTP,7
0.230318,HTTP,7
0.230318,HTTP,7
0.230318,HTTP,7
0.000495,HTTP,7
0.000983,HTTP,7
0.230318,HTTP,7
0.231353,HTTP,7
0.229642,HTTP,7
0.229642,HTTP,7
0.231353,HTTP,7
0.231353,HTTP,7
0.229642,HTTP,7
0.231353,HTTP,7
0.231353,HTTP,7
0.229642,HTTP,7
0.231207,HTTP,7
0.229642,HTTP,7
0.231207,HTTP,7
0.231207,HTTP,7
0.231207,HTTP,7
0.229944,HTTP,7
0.229944,HTTP,7
0.229628,HTTP,7
0.228024,HTTP,7
0.228519,HTTP,7
0.228024,HTTP,7
0.228024,HTTP,7
0.228519,HTTP,7
0.231353,HTTP,7
0.231353,HTTP,7
0.0,HTTP,7
0.231207,HTTP,7
0.231353,HTTP,7
0.001004,HTTP,7
0.231207,HTTP,7
0.228024,HTTP,7
0.228519,HTTP,7
0.232031,HTTP,7
0.232031,HTTP,7
0.232031,HTTP,7
0.232031,HTTP,7
0.232031,HTTP,7
0.231207,HTTP,7
0.228519,HTTP,7
0.228519,HTTP,7
0.231207,HTTP,7
0.231207,HTTP,7
0.228519,HTTP,7
0.000985,HTTP,7
0.000985,HTTP,7
0.001322,HTTP,7
0.001322,HTTP,7
0.001322,HTTP,7
0.001826,HTTP,7
0.228519,HTTP,7
0.228519,HTTP,7
0.21936,HTTP,7
0.21936,HTTP,7
0.21936,HTTP,7
0.228519,HTTP,7
0.228519,HTTP,7
0.21936,HTTP,7
0.21936,HTTP,7
0.228519,HTTP,7
0.228519,HTTP,7
0.231207,HTTP,7
0.231207,HTTP,7
0.000977,HTTP,7
0.000508,HTTP,7
0.000977,HTTP,7
0.000508,HTTP,7
0.045376,HTTP,7
0.045376,HTTP,7
0.045376,HTTP,7
0.045376,HTTP,7
0.045376,HTTP,7
0.0,HTTP,7
0.000507,HTTP,7
0.0,HTTP,7
0.000499,HTTP,7
0.001003,HTTP,7
0.000499,HTTP,7
0.000984,HTTP,7
0.001006,HTTP,7
0.06231,HTTP,7
0.061814,HTTP,7
0.06231,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.06231,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.06231,HTTP,7
0.06231,HTTP,7
0.06231,HTTP,7
0.061814,HTTP,7
0.061814,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.06231,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.06231,HTTP,7
0.06231,HTTP,7
0.061814,HTTP,7
0.06231,HTTP,7
0.000501,HTTP,7
0.061814,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.061814,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.0,HTTP,7
0.0005,HTTP,7
0.001242,HTTP,7
0.062301,HTTP,7
0.06231,HTTP,7
0.06231,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.06231,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.062301,HTTP,7
0.06231,HTTP,7
0.062301,HTTP,7
0.062133,HTTP,7
0.062133,HTTP,7
0.062133,HTTP,7
0.062133,HTTP,7
0.062133,HTTP,7
0.062893,HTTP,7
0.062151,HTTP,7
