TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e i      ,Flgs_ e s      ,Cause_Status,Dir_   ?>,State_A_A,State_A_FA,State_A_PA,State_FA_FA,State_FPA_FA,State_FPA_FPA,State_PA_A,State_PA_PA,State_SPA_SPA,State__A,State__PA,TcpOpt_Mws   T,TcpOpt_MwsS  T,label
3366.0,1368.0,1998.0,0.0,0.0,114.0,133.199997,105344.0,31872.0,4.972685,1721542656.0,4.972685,0.0,4.972685,4.972685,4.972685,62.0,64.0,0.170272,0.000982,0.16929,27.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,-0.0,5017.8125,2017.421265,3000.391113,0.0,0.0,5.228564,2.212085,2.815381,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
14756.0,2660.0,12096.0,0.0,0.0,102.307693,378.0,105344.0,31872.0,4.624174,1721542656.0,4.624174,0.0,4.624174,4.624174,4.624174,62.0,64.0,0.170272,0.000982,0.16929,58.0,26.0,32.0,0.0,0.0,0.0,0.0,0.0,-0.0,24698.03125,4425.438965,20272.59375,0.0,0.0,12.326526,5.406371,6.7039,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7116.0,2846.0,4270.0,0.0,0.0,123.739128,137.741928,105344.0,31872.0,4.037132,1721542656.0,4.037132,0.0,4.037132,4.037132,4.037132,62.0,64.0,0.170272,0.000982,0.16929,54.0,23.0,31.0,0.0,0.0,0.0,0.0,0.0,-0.0,13585.882812,5395.910156,8189.973145,0.0,0.0,13.128132,5.449413,7.431018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7338.0,2510.0,4828.0,0.0,0.0,109.130432,160.933334,105344.0,31872.0,4.886605,1721542656.0,4.886605,0.0,4.886605,4.886605,4.886605,62.0,64.0,0.170272,0.000982,0.16929,53.0,23.0,30.0,0.0,0.0,0.0,0.0,0.0,-0.0,11572.861328,3930.745605,7642.115723,0.0,0.0,10.641335,4.502103,5.934591,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
3172.0,1114.0,2058.0,0.0,0.0,85.692307,158.307693,105344.0,31872.0,4.824027,1721542656.0,4.824027,0.0,4.824027,4.824027,4.824027,62.0,64.0,0.170272,0.000982,0.16929,26.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,-0.0,4857.352539,1706.45813,3150.894531,0.0,0.0,5.182392,2.487548,2.487548,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1380.0,330.0,1050.0,0.0,0.0,66.0,210.0,105344.0,31872.0,4.024687,1721542656.0,4.024687,0.0,4.024687,4.024687,4.024687,62.0,64.0,0.170272,0.000982,0.16929,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.0,2194.456543,524.761353,1669.69519,0.0,0.0,2.236199,0.993866,0.993866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6270.0,982.0,5288.0,0.0,0.0,89.272728,264.399994,105344.0,31872.0,4.40502,1721542656.0,4.40502,0.0,4.40502,4.40502,4.40502,62.0,64.0,0.170272,0.000982,0.16929,31.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,-0.0,10745.920898,1621.786011,9124.134766,0.0,0.0,6.810411,2.270137,4.313261,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4874.0,1100.0,3774.0,0.0,0.0,78.571426,251.600006,105344.0,31872.0,4.911822,1721542656.0,4.911822,0.0,4.911822,4.911822,4.911822,62.0,64.0,0.170272,0.000982,0.16929,29.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,-0.0,7402.548828,1664.555542,5737.993164,0.0,0.0,5.700532,2.646676,2.850266,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2904.0,476.0,2428.0,0.0,0.0,79.333336,404.666656,104960.0,31872.0,4.119713,1721542656.0,4.119713,0.0,4.119713,4.119713,4.119713,62.0,64.0,0.170272,0.000982,0.16929,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,-0.0,4701.29834,770.927551,3930.371094,0.0,0.0,2.670089,1.213677,1.213677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
9334.0,2526.0,6808.0,0.0,0.0,109.826088,243.142853,105344.0,31872.0,4.51504,1721542656.0,4.51504,0.0,4.51504,4.51504,4.51504,62.0,64.0,0.170272,0.000982,0.16929,51.0,23.0,28.0,0.0,0.0,0.0,0.0,0.0,-0.0,15914.80957,4282.575684,11632.233398,0.0,0.0,11.0741,4.872603,5.980013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
