TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e  D     ,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e i      ,Flgs_ e r      ,Flgs_ e s      ,Proto_tcp,Cause_Status,Dir_  <->,State_A_A,State_A_FA,State_A_FPA,State_A_PA,State_A_SPA,State_ECO,State_FA_A,State_FA_FA,State_FA_FPA,State_FA_PA,State_FA_R,State_FPA_FPA,State_FPA_FSPA,State_FRA_FPA,State_FRPA_FPA,State_FRPA_PA,State_FSPA_FSPA,State_FSRPA_FSPA,State_PA_A,State_PA_FA,State_PA_FPA,State_PA_PA,State_PA_SPA,State_RA_PA,State_RPA_PA,State_R_,State_R_PA,State_SA_SA,State_SA_SPA,State_SPA_FSPA,State_SPA_SPA,State_S_RA,State_S_SA,State__A,State__FA,State__FPA,State__PA,State__SA,TcpOpt_MwsS  T,label
0.0001255792342178297,0.00011910529390840802,0.002937864172746413,0.0,0.0,0.0488771466314399,0.24350649943603486,1.0,0.0,0.00024841117850303264,0.0,0.00024841117850303264,0.0,0.00024841117850303264,0.00024841117850303264,0.00024841117850303264,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20128825077858328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001255792342178297,0.00011910529390840802,0.002937864172746413,0.0,0.0,0.0488771466314399,0.24350649943603486,1.0,0.0,9.840442819926897e-05,0.0,9.840442819926897e-05,0.0,9.840442819926897e-05,9.840442819926897e-05,9.840442819926897e-05,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5081300969959359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001255792342178297,0.00011910529390840802,0.002937864172746413,0.0,0.0,0.0488771466314399,0.24350649943603486,1.0,0.0,0.00021160952242850928,0.0,0.00021160952242850928,0.0,0.00021160952242850928,0.00021160952242850928,0.00021160952242850928,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23629490566398925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001255792342178297,0.00011910529390840802,0.002937864172746413,0.0,0.0,0.0488771466314399,0.24350649943603486,1.0,0.0,9.860443719967397e-05,0.0,9.860443719967397e-05,0.0,9.860443719967397e-05,9.860443719967397e-05,9.860443719967397e-05,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5070993961830631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00022290314073664775,0.0001577340378787025,0.004798511482152475,0.000637711021800911,0.0005627221051185494,0.06472919418758256,0.3977272824121903,0.010049076887123158,0.03851529291775572,0.00023581061147751647,0.0,0.00023581061147751647,0.0,0.00023581061147751647,0.00023581061147751647,0.00023581061147751647,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21204411093469075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00022290314073664775,0.0001577340378787025,0.004798511482152475,0.000637711021800911,0.0005627221051185494,0.06472919418758256,0.3977272824121903,0.010049076887123158,0.03851529291775572,0.0023869074108334876,0.0,0.0023869074108334876,0.0,0.0023869074108334876,0.0023869074108334876,0.0023869074108334876,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0023752969121140144,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020948552527861704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0036512162348833997,0.0019781135974788304,0.056358027713852024,0.0,0.0,0.08117569484808454,0.3114177429728346,0.0,0.007816423907584129,0.18258061612772575,0.0,0.18258061612772575,0.0,0.18258061612772575,0.18258061612772575,0.18258061612772575,0.0,0.0,0.09523927397845204,0.005502688051944184,0.0973132885974765,0.03468208092485549,0.023752969121140145,0.048859934853420196,0.0,0.0,0.0,0.0,0.0,0.0,0.003775279806622872,0.00199135818939828,0.008293063311619718,0.0,0.0,0.006572735150936844,0.024119462729615175,0.0076681914677596795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003453428940990318,0.0019877707834714043,0.04989472653380992,0.0,0.0,0.08157199471598414,0.31811937868797185,0.0,0.007816423907584129,0.11487736948162668,0.0,0.11487736948162668,0.0,0.11487736948162668,0.11487736948162668,0.11487736948162668,0.0,0.0,0.09624179265190944,0.0037602942709496793,0.09872448408165095,0.031791907514450865,0.023752969121140145,0.042345276872964174,0.0,0.0,0.0,0.0,0.0,0.0,0.005645514394945755,0.0031792649415910593,0.011537622586267606,0.0,0.0,0.009575859584127433,0.038334324934964914,0.01044639163722989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0034816842686893295,0.0020167423414491252,0.04989472653380992,0.0,0.0,0.0827609002642008,0.31811937868797185,0.0,0.007816423907584129,0.11400653029386323,0.0,0.11400653029386323,0.0,0.11400653029386323,0.11400653029386323,0.11400653029386323,0.0,0.0,0.09494068431182044,0.0037900787800265083,0.09737248840803711,0.031791907514450865,0.023752969121140145,0.042345276872964174,0.0,0.0,0.0,0.0,0.0,0.0,0.005732971686897973,0.003249644102498733,0.011625752193661973,0.0,0.0,0.009649004588589279,0.038627141332749734,0.010526186642097384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0035193580389546787,0.0020553710854194196,0.04989472653380992,0.0,0.0,0.08434610105680317,0.31811937868797185,0.0,0.007816423907584129,0.10857868604087186,0.0,0.10857868604087186,0.0,0.10857868604087186,0.10857868604087186,0.10857868604087186,0.0,0.0,0.09651872296448485,0.0036783868709883987,0.09902848310885405,0.031791907514450865,0.023752969121140145,0.042345276872964174,0.0,0.0,0.0,0.0,0.0,0.0,0.006083570131142773,0.003478642128763949,0.012206924653169015,0.0,0.0,0.01013135886801289,0.040558116880846005,0.011052391674195892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
