TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e  D     ,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e i      ,Flgs_ e r      ,Flgs_ e s      ,Proto_tcp,Cause_Status,Dir_  <->,State_A_PA,State_ECO,State_FA_A,State_FA_FA,State_FA_FPA,State_FA_PA,State_FA_R,State_FPA_FPA,State_FRA_FPA,State_FRA_PA,State_FRPA_FPA,State_FRPA_PA,State_FSA_SA,State_FSPA_FSPA,State_FSRPA_FSPA,State_PA_A,State_PA_FPA,State_PA_PA,State_RA_PA,State_RPA_PA,State_R_,State_R_PA,State_SA_SA,State_SA_SPA,State_SPA_FSPA,State_SPA_SPA,State_S_RA,State_S_SA,TcpOpt_MwsS  T,label
0.0001255792342178297,3.21934180556785e-05,0.002937864172746413,0.0,0.0,0.0136986301369863,0.24350649943603486,1.0,0.0,2.0705609149518607e-05,0.0,2.0705609149518607e-05,0.0,2.0705609149518607e-05,2.0705609149518607e-05,2.0705609149518607e-05,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3961352652964251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0001255792342178297,3.21934180556785e-05,0.002937864172746413,0.0,0.0,0.0136986301369863,0.24350649943603486,1.0,0.0,8.202221981934908e-06,0.0,8.202221981934908e-06,0.0,8.202221981934908e-06,8.202221981934908e-06,8.202221981934908e-06,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0001255792342178297,3.21934180556785e-05,0.002937864172746413,0.0,0.0,0.0136986301369863,0.24350649943603486,1.0,0.0,1.763811149773807e-05,0.0,1.763811149773807e-05,0.0,1.763811149773807e-05,1.763811149773807e-05,1.763811149773807e-05,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465028359982934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0001255792342178297,3.21934180556785e-05,0.002937864172746413,0.0,0.0,0.0136986301369863,0.24350649943603486,1.0,0.0,8.218893164825018e-06,0.0,8.218893164825018e-06,0.0,8.218893164825018e-06,8.218893164825018e-06,8.218893164825018e-06,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979715808629203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.00022290314073664775,7.082551972249273e-05,0.004798511482152475,0.0010774146165185917,0.00109904759000313,0.030136986301369864,0.3977272824121903,0.002413793103448277,0.03991239077054057,1.9655324627441574e-05,0.0,1.9655324627441574e-05,0.0,1.9655324627441574e-05,1.9655324627441574e-05,1.9655324627441574e-05,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41730279742982185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00022290314073664775,7.082551972249273e-05,0.004798511482152475,0.0010774146165185917,0.00109904759000313,0.030136986301369864,0.3977272824121903,0.002413793103448277,0.03991239077054057,0.00019895389661059182,0.0,0.00019895389661059182,0.0,0.00019895389661059182,0.00019895389661059182,0.00019895389661059182,0.0,0.0,0.0,0.0,0.0,0.001445086705202312,0.0,0.003257328990228013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04122675010141991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0036512162348833997,0.0018913633107711127,0.056358027713852024,0.0,0.0,0.04719178219178083,0.3114177429728346,0.0,0.007816423907584129,0.015218489355433053,0.0,0.015218489355433053,0.0,0.015218489355433053,0.015218489355433053,0.015218489355433053,0.0,0.0,0.09523927397845204,0.005502688051944184,0.0973132885974765,0.03468208092485549,0.02142857142857143,0.048859934853420196,0.0,0.0,0.0,0.0,0.0,0.0,0.004099730653617983,0.002106293331332996,0.0699024391129768,0.0,0.0,0.012935142377503008,0.025241064068994543,0.06056256905105111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003453428940990318,0.0019010213361878162,0.04989472653380992,0.0,0.0,0.047602739726027396,0.31811937868797185,0.0,0.007816423907584129,0.009575277275947388,0.0,0.009575277275947388,0.0,0.009575277275947388,0.009575277275947388,0.009575277275947388,0.0,0.0,0.09624179265190944,0.0037602942709496793,0.09872448408165095,0.031791907514450865,0.02142857142857143,0.042345276872964174,0.0,0.0,0.0,0.0,0.0,0.0,0.006130694837452283,0.003362762450605371,0.0972509107961408,0.0,0.0,0.018845291079469403,0.04011694466713946,0.08250450155346664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0034816842686893295,0.0019299954124379268,0.04989472653380992,0.0,0.0,0.048835618493150684,0.31811937868797185,0.0,0.007816423907584129,0.009502690945643842,0.0,0.009502690945643842,0.0,0.009502690945643842,0.009502690945643842,0.009502690945643842,0.0,0.0,0.09494068431182044,0.0037900787800265083,0.09737248840803711,0.031791907514450865,0.02142857142857143,0.042345276872964174,0.0,0.0,0.0,0.0,0.0,0.0,0.006225668285531529,0.0034372036827623235,0.09799375747214575,0.0,0.0,0.01898924044380401,0.040423377589787604,0.08313471410261004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0035193580389546787,0.001968627514104741,0.04989472653380992,0.0,0.0,0.050479449999999995,0.31811937868797185,0.0,0.007816423907584129,0.009050268384371995,0.0,0.009050268384371995,0.0,0.009050268384371995,0.009050268384371995,0.009050268384371995,0.0,0.0,0.09651872296448485,0.0036783868709883987,0.09902848310885405,0.031791907514450865,0.02142857142857143,0.042345276872964174,0.0,0.0,0.0,0.0,0.0,0.0,0.006606397466573862,0.003679418779061291,0.10289247474202458,0.0,0.0,0.019938513636388523,0.04244414720939088,0.08729062605726903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
