AckDat,dTtl,Mean,StdDev,Dur,sTtl,TcpRtt,Max,Sum,Min,SynAck,IdleTime,label
0.0654081964781138,1.0,0.1235221235221235,0.0,0.1235221235221235,0.3333333333333321,0.0386012153710289,0.1235221235221235,0.1235221235221235,0.1235221235221235,0.0003487625609016,0.0,1.0
0.0511720799852978,1.0,0.1544301544301544,0.0,0.1544301544301544,0.3333333333333321,0.0305145079328261,0.1544301544301544,0.1544301544301544,0.1544301544301544,0.0006145533835242,0.0,1.0
0.0517245196874453,1.0,0.1554031554031554,0.0,0.1554031554031554,0.3333333333333321,0.0308378207292096,0.1554031554031554,0.1554031554031554,0.1554031554031554,0.0006145533835242,0.0,1.0
0.0656451145066901,1.0,0.125017125017125,0.0,0.125017125017125,0.3333333333333321,0.0393132810287955,0.125017125017125,0.125017125017125,0.125017125017125,0.0009710505979941,0.0,1.0
0.064190393527488,1.0,0.152039152039152,0.0,0.152039152039152,0.3333333333333321,0.0387521810655327,0.152039152039152,0.152039152039152,0.152039152039152,0.0012860619433246,0.0,1.0
0.063636846731749,1.0,0.1668391668391668,0.0,0.1668391668391668,0.3333333333333321,0.03756713275975,0.1668391668391668,0.1668391668391668,0.1668391668391668,0.0003515751621992,0.0,1.0
0.063636846731749,1.0,0.1502111502111502,0.0,0.1502111502111502,0.3333333333333321,0.0375658369168788,0.1502111502111502,0.1502111502111502,0.1502111502111502,0.0003501688615504,0.0,1.0
0.0815994402534801,1.0,0.1541081541081541,0.0,0.1541081541081541,0.3333333333333321,0.0487126772956018,0.1541081541081541,0.1541081541081541,0.1541081541081541,0.0010385530291364,0.0,1.0
0.0822448758173118,1.0,0.1546371546371546,0.0,0.1546371546371546,0.3333333333333321,0.0487638630890172,0.1546371546371546,0.1546371546371546,0.1546371546371546,0.0006841652656396,0.0,1.0
0.0822448758173118,1.0,0.1843051843051843,0.0,0.1843051843051843,0.3333333333333321,0.0487638630890172,0.1843051843051843,0.1843051843051843,0.1843051843051843,0.0006841652656396,0.0,1.0
0.0827906729579105,1.0,0.1556421556421556,0.0,0.1556421556421556,0.3333333333333321,0.049083288356787,0.1556421556421556,0.1556421556421556,0.1556421556421556,0.0006841652656396,0.0,1.0
0.081680258085658,1.0,0.1843341843341843,0.0,0.1843341843341843,0.3333333333333321,0.0484528607999108,0.1843341843341843,0.1843341843341843,0.1843341843341843,0.0007052597753715,0.0,1.0
0.0825803251755297,1.0,0.1701651701651702,0.0,0.1701651701651702,0.3333333333333321,0.0489873959843125,0.1701651701651702,0.1701651701651702,0.1701651701651702,0.0007136975792643,0.0,1.0
0.103783381639517,1.0,0.186067186067186,0.0,0.186067186067186,0.3333333333333321,0.0613296514117884,0.186067186067186,0.186067186067186,0.186067186067186,0.0006412730958513,0.0,1.0
0.0997247765331585,1.0,0.1846761846761846,0.0,0.1846761846761846,0.3333333333333321,0.0583634670794358,0.1846761846761846,0.1846761846761846,0.1846761846761846,0.0,0.0,1.0
0.10269953701346,1.0,0.1854181854181854,0.0,0.1854181854181854,0.3333333333333321,0.0601044319769962,0.1854181854181854,0.1854181854181854,0.1854181854181854,0.0,0.0,1.0
0.1022068803652523,1.0,0.2028822028822028,0.0,0.2028822028822028,0.3333333333333321,0.0604653242166468,0.2028822028822028,0.2028822028822028,0.2028822028822028,0.0007045566250471,0.0,1.0
0.1011163931776464,1.0,0.2008772008772008,0.0,0.2008772008772008,0.3333333333333321,0.0594940899846248,0.2008772008772008,0.2008772008772008,0.2008772008772008,0.0003431373583064,0.0,1.0
0.1011163931776464,1.0,0.1997591997591997,0.0,0.1997591997591997,0.3333333333333321,0.0594940899846248,0.1997591997591997,0.1997591997591997,0.1997591997591997,0.0003431373583064,0.0,1.0
0.1175301627648998,1.0,0.2021162021162021,0.0,0.2021162021162021,0.3333333333333321,0.0692517868053391,0.2021162021162021,0.2021162021162021,0.2021162021162021,0.0005076745342156,0.0,1.0
0.1012282096303857,1.0,0.1871351871351871,0.0,0.1871351871351871,0.3333333333333321,0.0598873782960573,0.1871351871351871,0.1871351871351871,0.1871351871351871,0.000698931422452,0.0,1.0
0.1024670473592496,1.0,0.2004422004422004,0.0,0.2004422004422004,0.3333333333333321,0.060497072366993,0.2004422004422004,0.2004422004422004,0.2004422004422004,0.000573770664709,0.0,1.0
0.1032962604592667,1.0,0.1875091875091875,0.0,0.1875091875091875,0.3333333333333321,0.0610996393021367,0.1875091875091875,0.1875091875091875,0.1875091875091875,0.0007010408734252,0.0,1.0
0.1037878100138829,1.0,0.2033692033692033,0.0,0.2033692033692033,0.3333333333333321,0.0607413387482287,0.2033692033692033,0.2033692033692033,0.2033692033692033,0.0,0.0,1.0
0.1027626413481743,1.0,0.2024002024002024,0.0,0.2024002024002024,0.3333333333333321,0.0607413387482287,0.2024002024002024,0.2024002024002024,0.2024002024002024,0.0006511172003929,0.0,1.0
0.1185697236472977,1.0,0.2158502158502158,0.0,0.2158502158502158,0.3333333333333321,0.0697176423175631,0.2158502158502158,0.2158502158502158,0.2158502158502158,0.0003529814628479,0.0,1.0
0.1168171944919879,1.0,0.2308252308252308,0.0,0.2308252308252308,0.3333333333333321,0.0683667261242571,0.2308252308252308,0.2308252308252308,0.2308252308252308,0.0,0.0,1.0
0.1037811674523341,1.0,0.2179712179712179,0.0,0.2179712179712179,0.3333333333333321,0.0610594681731272,0.2179712179712179,0.2179712179712179,0.2179712179712179,0.000349465711226,0.0,1.0
0.1204794600925973,1.0,0.2335322335322335,0.0,0.2335322335322335,0.3333333333333321,0.0705100502333489,0.2335322335322335,0.2335322335322335,0.2335322335322335,0.0,0.0,1.0
0.1181634202992252,1.0,0.2153772153772153,0.0,0.2153772153772153,0.3333333333333321,0.0698614808762748,0.2153772153772153,0.2153772153772153,0.2153772153772153,0.0007671370039186,0.0,1.0
0.1181645273928167,1.0,0.2157402157402157,0.0,0.2157402157402157,0.3333333333333321,0.0698128867686019,0.2157402157402157,0.2157402157402157,0.2157402157402157,0.0007136975792643,0.0,1.0
0.1013754530780523,1.0,0.1877921877921878,0.0,0.1877921877921878,0.3333333333333321,0.060321485657935,0.1877921877921878,0.1877921877921878,0.1877921877921878,0.0010765231466539,0.0,1.0
