pRetran,sMeanPktSz,SrcRetra,PCRatio,SrcWin,SrcLoss,DstRate,SrcLoad,Load,DstLoad,TcpRtt,Sum,AckDat,dTtl,Min,Max,pLoss,DstLoss,Loss,StdDev,Rate,SrcRate,IdleTime,Dur,SrcPkts,SrcGap,DstBytes,DstGap,sTtl,DstWin,TotPkts,DstPkts,Mean,SrcBytes,TotBytes,dMeanPktSz,DstRetra,SynAck,label
0.0,114.571426,0.0,-0.0,64128.0,0.0,45.222267,35557.625,292833.5625,257275.9375,0.062461,0.154791,0.060971,64.0,0.154791,0.154791,0.0,0.0,0.0,0.0,90.444534,38.761944,1721542656.0,0.154791,7.0,0.0,5689.0,0.0,62.0,31872.0,15.0,8.0,0.154791,802.0,6491.0,711.125,0.0,0.00149,HTTP
0.0,108.375,0.0,-0.0,61568.0,0.0,45.222267,39227.085938,296089.5625,256862.484375,0.063163,0.154791,0.061673,64.0,0.154791,0.154791,0.0,0.0,0.0,0.0,96.904861,45.222267,1721542656.0,0.154791,8.0,0.0,5679.0,0.0,62.0,31872.0,16.0,8.0,0.154791,867.0,6546.0,709.875,0.0,0.00149,HTTP
0.0,125.833336,0.0,-0.0,62592.0,0.0,38.879745,32658.986328,244942.390625,212283.40625,0.061424,0.154322,0.060928,64.0,0.154322,0.154322,0.0,0.0,0.0,0.0,77.759491,32.399788,1721542656.0,0.154322,6.0,0.0,4777.0,0.0,62.0,31872.0,13.0,7.0,0.154322,755.0,5532.0,682.428589,0.0,0.000496,HTTP
0.0,114.714287,0.0,-0.0,62592.0,0.0,38.865643,35704.570312,202982.296875,167277.71875,0.076757,0.154378,0.076261,64.0,0.154378,0.154378,0.0,0.0,0.0,0.0,84.208893,38.865643,1721542656.0,0.154378,7.0,0.0,3766.0,0.0,62.0,31872.0,14.0,7.0,0.154378,803.0,4569.0,538.0,0.0,0.000496,HTTP
0.0,108.375,0.0,-0.0,61568.0,0.0,45.116463,39135.308594,288693.8125,249558.5,0.076814,0.155154,0.076178,64.0,0.155154,0.155154,0.0,0.0,0.0,0.0,96.678139,45.116463,1721542656.0,0.155154,8.0,0.0,5531.0,0.0,62.0,31872.0,16.0,8.0,0.155154,867.0,6398.0,691.375,0.0,0.000636,HTTP
0.0,108.625,0.0,-0.0,64128.0,0.0,44.505478,38707.050781,273238.21875,234531.15625,0.077243,0.157284,0.076251,64.0,0.157284,0.157284,0.0,0.0,0.0,0.0,95.368881,44.505478,1721542656.0,0.157284,8.0,0.0,5269.0,0.0,62.0,31872.0,16.0,8.0,0.157284,869.0,6138.0,658.625,0.0,0.000992,HTTP
0.0,123.0,0.0,-0.0,58368.0,0.0,51.543068,31698.988281,350441.34375,318742.34375,0.062894,0.15521,0.062099,64.0,0.15521,0.15521,0.0,0.0,0.0,0.0,90.200371,32.21442,1721542656.0,0.15521,6.0,0.0,6957.0,0.0,62.0,31872.0,15.0,9.0,0.15521,738.0,7695.0,773.0,0.0,0.000795,HTTP
0.0,123.666664,0.0,-0.0,62592.0,0.0,39.001305,32189.078125,222359.4375,190170.359375,0.07603,0.153841,0.07603,64.0,0.153841,0.153841,0.0,0.0,0.0,0.0,78.002609,32.501087,1721542656.0,0.153841,6.0,0.0,4266.0,0.0,62.0,31872.0,13.0,7.0,0.153841,742.0,5008.0,609.428589,0.0,0.0,HTTP
0.0,115.14286,0.0,-0.0,60672.0,0.0,51.519501,35599.976562,380162.4375,344562.4375,0.076623,0.155281,0.075744,64.0,0.155281,0.155281,0.0,0.0,0.0,0.0,96.599068,38.639626,1721542656.0,0.155281,7.0,0.0,7523.0,0.0,62.0,31872.0,16.0,9.0,0.155281,806.0,8329.0,835.888916,0.0,0.000879,HTTP
0.0,122.333336,0.0,-0.0,62592.0,0.0,38.589676,31489.177734,249443.671875,217954.5,0.077779,0.155482,0.076767,64.0,0.155482,0.155482,0.0,0.0,0.0,0.0,77.179352,32.158066,1721542656.0,0.155482,6.0,0.0,4941.0,0.0,62.0,31872.0,13.0,7.0,0.155482,734.0,5675.0,705.857117,0.0,0.001012,HTTP
0.0,122.333336,0.0,-0.0,63488.0,0.0,32.319992,31647.736328,138432.984375,106785.257812,0.077115,0.154703,0.075625,64.0,0.154703,0.154703,0.0,0.0,0.0,0.0,71.103981,32.319992,1721542656.0,0.154703,6.0,0.0,2478.0,0.0,62.0,31872.0,12.0,6.0,0.154703,734.0,3212.0,413.0,0.0,0.00149,HTTP
0.0,114.85714,0.0,-0.0,64128.0,0.0,45.292492,35716.367188,311767.625,276051.28125,0.07675,0.154551,0.074425,64.0,0.154551,0.154551,0.0,0.0,0.0,0.0,90.584984,38.822136,1721542656.0,0.154551,7.0,0.0,6094.0,0.0,62.0,31872.0,15.0,8.0,0.154551,804.0,6898.0,761.75,0.0,0.002325,HTTP
0.0,122.833336,0.0,-0.0,62592.0,0.0,38.647591,31691.025391,214262.25,182571.21875,0.075828,0.155249,0.075254,64.0,0.155249,0.155249,0.0,0.0,0.0,0.0,77.295181,32.206326,1721542656.0,0.155249,6.0,0.0,4133.0,0.0,62.0,31872.0,13.0,7.0,0.155249,737.0,4870.0,590.428589,0.0,0.000574,HTTP
0.0,113.85714,0.0,-0.0,64128.0,0.0,45.088856,35246.605469,326494.84375,291248.25,0.076325,0.155249,0.075751,64.0,0.155249,0.155249,0.0,0.0,0.0,0.0,90.177711,38.647591,1721542656.0,0.155249,7.0,0.0,6459.0,0.0,62.0,31872.0,15.0,8.0,0.155249,797.0,7256.0,807.375,0.0,0.000574,HTTP
0.0,114.428574,0.0,-0.0,64128.0,0.0,45.386761,35635.089844,273772.9375,238137.84375,0.075869,0.15423,0.07517,64.0,0.15423,0.15423,0.0,0.0,0.0,0.0,90.773521,38.902939,1721542656.0,0.15423,7.0,0.0,5246.0,0.0,62.0,31872.0,15.0,8.0,0.15423,801.0,6047.0,655.75,0.0,0.000699,HTTP
0.0,123.5,0.0,-0.0,64128.0,0.0,25.734726,31808.121094,106799.117188,74990.992188,0.077981,0.155432,0.07677,64.0,0.155432,0.155432,0.0,0.0,0.0,0.0,64.336815,32.168407,1721542656.0,0.155432,6.0,0.0,1821.0,0.0,62.0,31872.0,11.0,5.0,0.155432,741.0,2562.0,364.200012,0.0,0.001211,HTTP
