TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e dS     ,Flgs_ e g      ,Cause_Status,Dir_  <?>,State_A_FA,State_A_FPA,State_A_PA,State_A_R,State_A_SA,State_FA_A,State_FA_FA,State_FA_FPA,State_FA_FSA,State_FA_PA,State_FA_R,State_FPA_FPA,State_FPA_FSPA,State_FRA_A,State_FRA_FPA,State_FRA_PA,State_FRPA_FPA,State_FRPA_SPA,State_FSPA_FSPA,State_FSRPA_FSPA,State_FSRPA_SPA,State_PA_FPA,State_PA_PA,State_PA_R,State_PA_SPA,State_RA_A,State_R_A,State_R_SA,State_SA_SA,State_SPA_FSPA,State_SPA_SPA,State_SRPA_SPA,State_SR_SA,State_S_SA,State__A,State__FA,State__FPA,State__PA,State__SA,TcpOpt_Mws   T,TcpOpt_MwsS  T,label
0.0012686116669373445,0.013725035249602884,0.0009516591806663392,0.0,0.0,0.27444683511777307,0.21358448219178083,0.0077532654113343785,0.007816423907584129,0.027807934563730197,0.0,0.027807934563730197,0.0,0.027807934563730197,0.027807934563730197,0.027807934563730197,0.33333333333333215,1.0,0.08269598663423053,0.002109286034714793,0.08214758984576684,0.004919499105545617,0.007398273736128237,0.003357958361316319,0.0,0.0,0.0,0.0,0.0,0.0,0.005881167491877157,0.03471757951588152,0.004355538915189457,0.0,0.0,0.019660659450305186,0.017873325639017716,0.01801717426634616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0005782732960746144,0.011797462028592335,0.00029869919168976175,0.0,0.0,0.28308350535331905,0.062465751369863015,0.007768832507892092,0.007816423907584129,0.02493861749559382,0.0,0.02493861749559382,0.0,0.02493861749559382,0.02493861749559382,0.02493861749559382,0.33333333333333215,1.0,0.08389147447539219,0.002113599503088443,0.08334333154938198,0.004025044722719141,0.006165228113440197,0.002686366689053056,0.0,0.0,0.0,0.0,0.0,0.0,0.0029458466602552565,0.03194798334391106,0.0015419251589512588,0.0,0.0,0.017936770428444635,0.01594379515932207,0.01607211448245171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.9667171105421279,1.0,0.9566992850332592,0.0,0.0,0.147936426124197,0.9968438136986302,0.3824221453623856,0.007816423907584129,0.33687574453037683,0.0,0.33687574453037683,0.0,0.33687574453037683,0.33687574453037683,0.33687574453037683,0.33333333333333215,1.0,0.08176436773098292,0.0,0.08187393080875008,1.0,1.0,0.9570181329751511,0.0,0.0,0.07070707070707072,0.0,0.07070707070707072,0.0,0.4335722100543315,0.2501889635408614,0.422577924481865,0.012438920000000001,0.0,0.32989534552717475,0.23901183767947018,0.4238679398276597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.14141605603603943,0.0845990469221296,0.14149140684207834,0.0,0.0,0.15615220556745182,0.982009344520548,0.022495305851489168,0.007816423907584129,0.8982604490263203,0.0,0.8982604490263203,0.0,0.8982604490263203,0.8982604490263203,0.8982604490263203,0.33333333333333215,1.0,0.3801745573800507,0.06550864419062079,0.3602107848622066,0.12432915921288014,0.08014796547472257,0.1430490261920752,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.023692667001714535,0.007826881297245297,0.023348720716919708,0.0625,0.0,0.015382135450134246,0.007082422126057226,0.023760892564373047,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.07433941797077291,0.04115725784861411,0.07446410831401641,0.0,0.0,0.20574590149892935,0.9698630136986301,0.020456016202428685,0.007816423907584129,0.9912286421285988,0.0,0.9912286421285988,0.0,0.9912286421285988,0.9912286421285988,0.9912286421285988,0.33333333333333215,1.0,0.3528587372255796,0.10542548052037681,0.32038328442071234,0.061270125223613595,0.029593094944512947,0.07588985896574883,0.0,0.0,0.06565656565656566,0.0,0.06565656565656566,0.0,0.01123883820083431,0.0033579835947642744,0.011091274950208164,0.17218544000000002,0.0,0.006869432027330576,0.0023065243714283307,0.011423258999399919,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6.478762136187958e-05,0.0024987060272358957,8.889856895528627e-06,0.0,0.0,0.1498929336188437,0.0136986301369863,0.007784399604449806,1.0,0.049824632845020075,0.0,0.049824632845020075,0.0,0.049824632845020075,0.049824632845020075,0.049824632845020075,0.33333333333333215,1.0,0.3353733812784988,0.0987482314779668,0.30496131701444734,0.000894454382826476,0.002466091245376079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.298512470192113e-05,0.002115992391570108,0.0,0.0,0.0,0.001995078569209777,0.001995078817214005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.4388639052839996,0.2027164504096093,0.44057641832110606,0.0,0.0,0.14563592719486082,0.9979733821917809,0.09524034806568489,0.007816423907584129,0.7567390749542582,0.0,0.7567390749542582,0.0,0.7567390749542582,0.7567390749542582,0.7567390749542582,0.33333333333333215,1.0,0.3528587372255796,0.10542548052037681,0.32038328442071234,0.3676207513416816,0.2059186189889026,0.4398925453324379,0.0,0.0,0.12626262626262627,0.0,0.12626262626262627,0.0,0.08755016928190142,0.022470253170198733,0.08656273978155705,0.05896226,0.0,0.05398831730650148,0.02180550027010261,0.08673224308532938,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5.778355418762232e-05,0.002355922825679559,5.333914137317175e-06,0.0,0.0,0.14132762312633834,0.008219178082191782,0.007784399604449806,1.0,0.050835674095503096,0.0,0.050835674095503096,0.0,0.050835674095503096,0.050835674095503096,0.050835674095503096,0.33333333333333215,1.0,0.3353733812784988,0.0987482314779668,0.30496131701444734,0.000894454382826476,0.002466091245376079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.592803961837634e-05,0.001955399625885134,0.0,0.0,0.0,0.0019553995792807926,0.0019553998272948815,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5.953457098118664e-05,0.0022845312249013903,8.889856895528627e-06,0.0,0.0,0.13704496788008566,0.0136986301369863,1.0,1.0,0.029188390886348163,0.0,0.029188390886348163,0.0,0.029188390886348163,0.029188390886348163,0.029188390886348163,0.33333333333333215,1.0,0.05439738931303875,0.1742900031056972,0.0,0.000894454382826476,0.002466091245376079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014512069818184827,0.0033024023379708235,0.0,0.0,0.0,0.003405602622733671,0.0034056026218873786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.6757493366929509,0.493119634475004,0.6738760442803772,0.0,0.0,0.16076831691648824,0.9973080150684932,0.22650210624032605,0.007816423907584129,0.9963644516696282,0.0,0.9963644516696282,0.0,0.9963644516696282,0.9963644516696282,0.9963644516696282,0.33333333333333215,1.0,0.24950692857902534,0.08378049622140168,0.22365762153898833,0.6131484794275492,0.45376078914919854,0.6736064472800537,0.0,0.0,0.8484848484848485,0.0,0.8484848484848485,0.0,0.10243988269188212,0.04165111335482764,0.1006095699598563,0.21818182,0.0,0.0683901167546836,0.03661440335813603,0.10087141847644354,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
