TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Cause_Status,Dir_   ?>,State_A_PA,State_FPA_FPA,State_PA_A,State_PA_PA,State_SPA_SPA,TcpOpt_Mws   T,TcpOpt_MwsS  T,label
0.5957529131236784,0.8837936425221469,0.5495860434523872,0.0,0.0,0.46188435714285714,0.46493615500511504,0.658908507223114,0.0,0.9971680942417915,0.0,0.9971680942417915,0.0,0.9971680942417915,0.9971680942417915,0.9971680942417915,0.33333333333333215,0.0,0.47011140407791385,0.022028309293613584,0.5237155372964412,0.81169757489301,0.8345323741007195,0.7966903073286051,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.30704011773132556,0.6651765626048874,0.26957227304467246,0.009006737348725426,0.0,0.009396159997749258,0.5953383542915222,0.5213387282558728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.5058622396184821,0.5981631057842626,0.4910683524216197,0.0,0.0,0.2647515238095238,0.5737724101519668,0.658908507223114,0.0,0.9997143994192789,0.0,0.9997143994192789,0.0,0.9997143994192789,0.9997143994192789,0.9997143994192789,0.33333333333333215,0.0,0.47011140407791385,0.022028309293613584,0.5237155372964412,0.609129814550642,0.658273381294964,0.5768321513002364,0.0,0.0,0.08823529411764705,0.0,0.08823529411764705,0.0,0.2597934341894919,0.4491445720100309,0.23998372809714325,0.03579716653250666,0.0,0.007033288987186671,0.4684027380624301,0.3760792691938362,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.7475142844288478,0.7634184471078685,0.74496518171283,0.0,0.0,0.4110275476190476,0.6339845988740674,0.658908507223114,0.0,0.9841066010167554,0.0,0.9841066010167554,0.0,0.9841066010167554,0.9841066010167554,0.9841066010167554,0.33333333333333215,0.0,0.47011140407791385,0.022028309293613584,0.5237155372964412,0.7746077032810271,0.7482014388489209,0.7919621749408984,0.0,0.0,0.29411764705882354,0.6666666666666666,0.23529411764705882,0.0,0.39031933721655643,0.5821744167086875,0.37024764817220773,0.09283135069328802,0.0,0.009085822301376256,0.5408358045342154,0.5251137567925449,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.1847032887929095,0.2184080250130276,0.17930112859275654,0.0,0.0,0.2950938095238095,0.5943908543000956,0.658908507223114,0.0,0.30549858784712863,0.0,0.30549858784712863,0.0,0.30549858784712863,0.30549858784712863,0.30549858784712863,0.33333333333333215,0.0,0.47011140407791385,0.022028309293613584,0.5237155372964412,0.21540656205420827,0.2338129496402878,0.2033096926713948,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.3083288660157339,0.5353839520963205,0.284574623914062,0.033613457911164754,0.0,0.00813906049325326,0.5444379364583437,0.4304858178123791,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.3317136815584649,0.3542860865033871,0.328095799880981,0.0,0.0,0.43005952380952384,0.6877796267391267,0.40048154093097915,0.0,0.9993925654315496,0.0,0.9993925654315496,0.0,0.9993925654315496,0.9993925654315496,0.9993925654315496,0.33333333333333215,0.0,0.9999999999999999,1.0,0.9825768450230166,0.32952924393723254,0.341726618705036,0.3215130023640662,0.0,0.0,0.5882352941176471,0.6666666666666666,0.5294117647058824,0.0,0.16987548009462042,0.2655469745316741,0.15986641945121235,0.4081632779008749,0.0,0.0038061195832857736,0.243238172588209,0.2090002101724974,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
0.11037027039186574,0.2775534132360604,0.083574329473915,0.0,0.0,0.49338622619047634,0.22267767732027233,0.3996789727126806,0.0,0.9629156579285044,0.0,0.9629156579285044,0.0,0.9629156579285044,0.9629156579285044,0.9629156579285044,0.33333333333333215,0.0,0.9999999999999999,1.0,0.9825768450230166,0.253922967189729,0.25539568345323743,0.25295508274231676,0.0,0.0,0.5588235294117647,0.0,0.5588235294117647,0.0,0.058604898396698704,0.21558914989499406,0.042181371840125,0.49350652556586344,0.0,0.003043955683488067,0.1886749782946296,0.17032039423310433,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
0.288963872767355,0.4774622199062011,0.2587515529895702,0.0,0.0,0.43152454761904757,0.40091533505804033,0.40048154093097915,0.0,0.8721668234058743,0.0,0.8721668234058743,0.0,0.8721668234058743,0.8721668234058743,0.8721668234058743,0.33333333333333215,0.0,0.9999999999999999,1.0,0.9825768450230166,0.44507845934379464,0.460431654676259,0.4349881796690307,0.0,0.0,0.4117647058823529,0.6666666666666666,0.3529411764705882,0.0,0.16991178237390858,0.410425858522207,0.14474946041628253,0.2201835136041946,0.0,0.005890627539453152,0.37553860408559936,0.32463899345940217,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
0.21817609214018985,0.23163105784262636,0.21601954417798566,0.0,0.0,0.2769953452380952,0.500697560901859,0.40048154093097915,0.0,0.9691024205082549,0.0,0.9691024205082549,0.0,0.9691024205082549,0.9691024205082549,0.9691024205082549,0.33333333333333215,0.0,0.9999999999999999,1.0,0.9825768450230166,0.27532097004279604,0.2517985611510792,0.2907801418439716,0.0,0.0,1.0,0.0,1.0,0.0,0.11514821556560492,0.17905373601308675,0.10846248485447067,0.7669173261009674,0.0,0.00327939804459775,0.18483011469493882,0.19477773330075535,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
0.3942502361992171,0.37701928087545594,0.39701199586565467,0.0,0.0,0.36804626190476186,0.6943901737339992,0.5457463884430177,0.0,0.9852664033750202,0.0,0.9852664033750202,0.0,0.9852664033750202,0.9852664033750202,0.9852664033750202,0.33333333333333215,0.0,0.9999999999999999,1.0,0.9825768450230166,0.3837375178316691,0.381294964028777,0.38534278959810875,0.0,0.0,0.6176470588235294,0.0,0.6176470588235294,0.0,0.20502171719443685,0.28684413164037215,0.1964615644553809,0.37113403705449227,0.0,0.004495781083668821,0.27529379974867063,0.25439607712662266,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
0.46393125478022224,0.5745179781136007,0.44620652934236765,0.0,0.0,0.3980233333333333,0.5506954481407421,0.8033707865168539,0.0,0.9978718456727528,0.0,0.9978718456727528,0.0,0.9978718456727528,0.9978718456727528,0.9978718456727528,0.33333333333333215,0.0,0.9999999999999999,1.0,0.9825768450230166,0.5549215406562054,0.5683453237410072,0.5460992907801419,0.0,0.0,0.5588235294117647,0.0,0.5588235294117647,0.0,0.23862998009733039,0.4318955038524909,0.2184107589796515,0.23891025117509143,0.0,0.006419207506023641,0.4051600056192153,0.3566170545698408,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0
