StdDev,SynAck,DstBytes,SrcBytes,State_A_A,State_PA_PA,DstGap,DstWin,pLoss,SrcRate,Flgs_ e s      ,Mean,sTtl,SrcWin,SrcRetra,Rate,State_FPA_FPA,State__SA,IdleTime,Flgs_ e *      ,State_A_PA,AckDat,DstLoss,State_FA_FA,DstPkts,Min,State_S_SA,TcpOpt_MwsS  T,Load,SrcLoad,Dur,Flgs_ e d      ,DstRetra,SrcPkts,PCRatio,dMeanPktSz,DstRate,Loss,SrcGap,pRetran,State__PA,TotBytes,TotPkts,Flgs_ e g      ,DstLoad,State_SPA_SPA,State__A,TcpRtt,Cause_Status,SrcLoss,Sum,sMeanPktSz,Max,dTtl,label
0.0,0.0,1786.0,34330.0,0.0,1.0,0.0,509312.0,10.204082,27.369017,0.0,0.876904,62.0,64128.0,0.0,49.036156,0.0,0.0,1721542272.0,1.0,0.0,0.061124,1.0,0.0,19.0,0.876904,0.0,1.0,316103.0,300666.875,0.876904,0.0,0.0,25.0,-0.0,94.0,20.526762,5.0,0.0,0.0,0.0,36116.0,44.0,0.0,15436.125,0.0,0.0,0.061124,1.0,4.0,0.876904,1373.199951,0.876904,64.0,1
0.0,0.0,0.0,78.0,0.0,0.0,0.0,620297.7061469265,0.0,0.0,0.0,0.0,62.0,64128.0,0.0,0.0,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,0.0,0.0,0.0,0.0,0.061124,1.0,0.0,0.0,78.0,0.0,64.0,1
0.0,0.0,1282.0,42636.0,0.0,1.0,0.0,509312.0,0.0,33.111031,0.0,0.875841,62.0,64128.0,0.0,52.520947,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,17.0,0.875841,0.0,1.0,387485.84375,376461.0,0.875841,0.0,0.0,30.0,-0.0,75.411766,18.268156,0.0,0.0,0.0,0.0,43918.0,47.0,0.0,11024.832031,0.0,0.0,0.061124,1.0,0.0,0.875841,1421.199951,0.875841,64.0,1
0.0,0.0,766.0,16182.0,0.0,1.0,0.0,509312.0,4.761905,14.146572,0.0,0.848262,62.0,64128.0,0.0,22.398739,0.0,0.0,1721542272.0,0.0,0.0,0.061124,1.0,0.0,7.0,0.848262,0.0,1.0,147077.203125,140881.0,0.848262,1.0,0.0,13.0,-0.0,109.428574,7.073286,1.0,0.0,0.0,0.0,16948.0,20.0,0.0,6196.19873,0.0,0.0,0.061124,1.0,0.0,0.848262,1244.769287,0.848262,64.0,1
0.0,0.0,998.0,32038.0,0.0,1.0,0.0,509312.0,2.702703,22.665947,1.0,0.970619,62.0,64128.0,0.0,36.059464,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,13.0,0.970619,0.0,1.0,260188.59375,252589.328125,0.970619,0.0,0.0,23.0,-0.0,76.769234,12.363244,1.0,0.0,0.0,0.0,33036.0,36.0,0.0,7599.273926,0.0,0.0,0.061124,1.0,1.0,0.970619,1392.956543,0.970619,64.0,1
0.0,0.0,1636.0,26834.0,0.0,1.0,0.0,509312.0,2.5,20.962603,1.0,0.95408,62.0,64128.0,0.0,39.828945,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,18.0,0.95408,0.0,1.0,227259.765625,214296.5,0.95408,0.0,0.0,21.0,-0.0,90.888885,17.818213,1.0,0.0,0.0,0.0,28470.0,39.0,0.0,12963.273438,0.0,0.0,0.061124,1.0,1.0,0.95408,1277.80957,0.95408,64.0,1
0.0,0.0,324.0,0.0,0.0,0.0,0.0,620297.7061469265,0.0,0.0,0.0,0.367133,62.0,68938.88262773723,0.0,2.723809,0.0,0.0,1721542272.0,0.0,0.0,0.061124,1.0,0.0,2.0,0.367133,0.0,1.0,3530.055908,0.0,0.367133,1.0,0.0,0.0,-0.0,162.0,2.723809,0.0,0.0,0.0,1.0,324.0,2.0,0.0,3530.055908,0.0,0.0,0.061124,1.0,0.0,0.367133,0.0,0.367133,64.0,1
0.0,0.0,1044.0,33878.0,0.0,1.0,0.0,509312.0,0.0,48.154839,0.0,0.539925,62.0,64128.0,0.0,66.675926,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,10.0,0.539925,0.0,1.0,497313.53125,483385.6875,0.539925,0.0,0.0,27.0,-0.0,104.400002,16.668982,0.0,0.0,0.0,0.0,34922.0,37.0,0.0,13927.861328,0.0,0.0,0.061124,1.0,0.0,0.539925,1254.740723,0.539925,64.0,1
0.0,0.0,618.0,10598.0,0.0,1.0,0.0,509312.0,0.0,36.431995,0.0,0.274484,62.0,64128.0,0.0,54.647991,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,5.0,0.274484,0.0,1.0,295244.875,280817.8125,0.274484,0.0,0.0,11.0,-0.0,123.599998,14.572798,0.0,0.0,0.0,0.0,11216.0,16.0,0.0,14427.070312,0.0,0.0,0.061124,1.0,0.0,0.274484,963.454529,0.274484,64.0,1
0.0,0.0,666.0,6868.0,0.0,1.0,0.0,509312.0,0.0,32.244198,0.0,0.27912,62.0,64128.0,0.0,50.157639,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,5.0,0.27912,0.0,1.0,192462.03125,177185.4375,0.27912,0.0,0.0,10.0,-0.0,133.199997,14.330754,0.0,0.0,0.0,0.0,7534.0,15.0,0.0,15276.583984,0.0,0.0,0.061124,1.0,0.0,0.27912,686.799988,0.27912,64.0,1
