Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,label
0.0012270601259461,0.0,0.0012270601259461,0.0,0.0012270601259461,0.0012270601259461,0.0012270601259461,1.0,0.0,0.0,0.0,0.0,1.0
0.0012410608119797,0.0,0.0012410608119797,0.0,0.0012410608119797,0.0012410608119797,0.0012410608119797,1.0,0.0,0.0,0.0,0.0,1.0
0.075739711245851,0.0,0.075739711245851,0.0,0.075739711245851,0.075739711245851,0.075739711245851,1.0,0.0,0.0,0.0,0.0,1.0
0.6475377293487381,0.0,0.6475377293487381,0.0,0.6475377293487381,0.6475377293487381,0.6475377293487381,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.5698679235282529,0.0,0.5698679235282529,0.0,0.5698679235282529,0.5698679235282529,0.5698679235282529,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.2923083231078323,0.0,0.2923083231078323,0.0,0.2923083231078323,0.2923083231078323,0.2923083231078323,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.294095410675123,0.0,0.294095410675123,0.0,0.294095410675123,0.294095410675123,0.294095410675123,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.9420241591838,0.0,0.9420241591838,0.0,0.9420241591838,0.9420241591838,0.9420241591838,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.4786244525981773,0.0,0.4786244525981773,0.0,0.4786244525981773,0.4786244525981773,0.4786244525981773,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.6804423416747422,0.0,0.6804423416747422,0.0,0.6804423416747422,0.6804423416747422,0.6804423416747422,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.6953470720065283,0.0,0.6953470720065283,0.0,0.6953470720065283,0.6953470720065283,0.6953470720065283,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.8769469704015498,0.0,0.8769469704015498,0.0,0.8769469704015498,0.8769469704015498,0.8769469704015498,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.8758839183119973,0.0,0.8758839183119973,0.0,0.8758839183119973,0.8758839183119973,0.8758839183119973,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.8483035668747769,0.0,0.8483035668747769,0.0,0.8483035668747769,0.8483035668747769,0.8483035668747769,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.9706665626615704,0.0,0.9706665626615704,0.0,0.9706665626615704,0.9706665626615704,0.9706665626615704,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.9541267522108584,0.0,0.9541267522108584,0.0,0.9541267522108584,0.9541267522108584,0.9541267522108584,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.3671509903985295,0.0,0.3671509903985295,0.0,0.3671509903985295,0.3671509903985295,0.3671509903985295,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.5399514576214235,0.0,0.5399514576214235,0.0,0.5399514576214235,0.5399514576214235,0.5399514576214235,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.2744974503750684,0.0,0.2744974503750684,0.0,0.2744974503750684,0.2744974503750684,0.2744974503750684,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.2791336775501999,0.0,0.2791336775501999,0.0,0.2791336775501999,0.2791336775501999,0.2791336775501999,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.2468630962917183,0.0,0.2468630962917183,0.0,0.2468630962917183,0.2468630962917183,0.2468630962917183,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.7397682486441836,0.0,0.7397682486441836,0.0,0.7397682486441836,0.7397682486441836,0.7397682486441836,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.2775676008124398,0.0,0.2775676008124398,0.0,0.2775676008124398,0.2775676008124398,0.2775676008124398,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.2620388399031552,0.0,0.2620388399031552,0.0,0.2620388399031552,0.2620388399031552,0.2620388399031552,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.973664709570769,0.0,0.973664709570769,0.0,0.973664709570769,0.973664709570769,0.973664709570769,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.9726336590492934,0.0,0.9726336590492934,0.0,0.9726336590492934,0.9726336590492934,0.9726336590492934,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.987085367182992,0.0,0.987085367182992,0.0,0.987085367182992,0.987085367182992,0.987085367182992,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.9907615473158184,0.0,0.9907615473158184,0.0,0.9907615473158184,0.9907615473158184,0.9907615473158184,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.9625251637330228,0.0,0.9625251637330228,0.0,0.9625251637330228,0.9625251637330228,0.9625251637330228,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.0929365538911406,0.0,0.0929365538911406,0.0,0.0929365538911406,0.0929365538911406,0.0929365538911406,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.9715696069107388,0.0,0.9715696069107388,0.0,0.9715696069107388,0.9715696069107388,0.9715696069107388,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
0.3706161601918494,0.0,0.3706161601918494,0.0,0.3706161601918494,0.3706161601918494,0.3706161601918494,1.0,0.0,0.2065237223194556,0.0,0.2209506183103733,1.0
