TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e r      ,Flgs_ e s      ,Cause_Start,Cause_Status,State_A_A,State_A_FA,State_A_FPA,State_A_PA,State_FA_,State_FA_A,State_FA_FA,State_FA_PA,State_FRA_,State_FRA_A,State_FRA_PA,State_PA_,State_PA_A,State_PA_R,State_RA_,State_RA_A,State_RA_PA,State_R_,State_R_A,State_R_PA,State_S_,State_S_SA,State__A,State__FA,State__FPA,State__PA,State__R,State__SA,TcpOpt_MwsS  T,label
3464.0,0.0,3464.0,0.0,0.0,0.0,1154.666626,681344.1209964412,208941.2432132964,0.000493,1721543936.0,0.000493,0.0,0.000493,0.000493,0.000493,62.0,64.0,0.167035,0.000497,0.166538,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.0,37484784.0,0.0,37484784.0,0.0,0.0,4056.794922,0.0,4056.794922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6056.0,0.0,6056.0,0.0,0.0,0.0,1514.0,681344.1209964412,208941.2432132964,0.000989,1721543936.0,0.000989,0.0,0.000989,0.000989,0.000989,62.0,64.0,0.167035,0.000497,0.166538,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.0,36740144.0,0.0,36740144.0,0.0,0.0,3033.367188,0.0,3033.367188,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4542.0,0.0,4542.0,0.0,0.0,0.0,1514.0,681344.1209964412,208941.2432132964,0.000979,1721543936.0,0.000979,0.0,0.000979,0.000979,0.000979,62.0,64.0,0.167035,0.000497,0.166538,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.0,24743616.0,0.0,24743616.0,0.0,0.0,2042.900879,0.0,2042.900879,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
264.0,264.0,0.0,0.0,0.0,66.0,0.0,64128.0,208941.2432132964,0.000547,1721543936.0,0.000547,0.0,0.000547,0.000547,0.000547,62.0,64.0,0.167035,0.000497,0.166538,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2895795.5,2895795.5,0.0,0.0,0.0,5484.460938,5484.460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7900.0,330.0,7570.0,0.0,0.0,66.0,1514.0,64128.0,31872.0,0.000991,1721543936.0,0.000991,0.0,0.000991,0.000991,0.000991,62.0,64.0,0.167035,0.000497,0.166538,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.0,51019172.0,2131180.75,48887992.0,0.0,0.0,9081.735352,4036.327148,4036.327148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10598.0,0.0,10598.0,0.0,0.0,0.0,1514.0,681344.1209964412,208941.2432132964,0.000955,1721543936.0,0.000955,0.0,0.000955,0.000955,0.000955,62.0,64.0,0.167035,0.000497,0.166538,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,76096336.0,0.0,76096336.0,0.0,0.0,6282.722656,0.0,6282.722656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6056.0,0.0,6056.0,0.0,0.0,0.0,1514.0,681344.1209964412,208941.2432132964,0.000583,1721543936.0,0.000583,0.0,0.000583,0.000583,0.000583,62.0,64.0,0.167035,0.000497,0.166538,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.0,62325900.0,0.0,62325900.0,0.0,0.0,5145.797363,0.0,5145.797363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6056.0,0.0,6056.0,0.0,0.0,0.0,1514.0,681344.1209964412,208941.2432132964,0.000421,1721543936.0,0.000421,0.0,0.000421,0.000421,0.000421,62.0,64.0,0.167035,0.000497,0.166538,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.0,86308784.0,0.0,86308784.0,0.0,0.0,7125.890625,0.0,7125.890625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1778.0,264.0,1514.0,0.0,0.0,66.0,1514.0,57728.0,31872.0,0.000571,1721543936.0,0.000571,0.0,0.000571,0.000571,0.000571,62.0,64.0,0.167035,0.000497,0.166538,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,2774080.75,2774080.75,0.0,0.0,0.0,7005.254395,5253.94043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9348.0,264.0,9084.0,0.0,0.0,66.0,1514.0,64128.0,31872.0,0.000991,1721543936.0,0.000991,0.0,0.000991,0.000991,0.000991,62.0,64.0,0.167035,0.000497,0.166538,10.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,-0.0,62708376.0,1598385.5,61109992.0,0.0,0.0,9081.735352,3027.245361,5045.408691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
