pRetran,SrcRetra,PCRatio,SrcWin,SrcLoss,DstRate,SrcLoad,Load,DstLoad,TcpRtt,Sum,AckDat,dTtl,Min,pLoss,DstLoss,Loss,StdDev,Rate,SrcRate,IdleTime,Dur,SrcPkts,SrcGap,DstBytes,DstGap,sTtl,DstWin,TotPkts,DstPkts,Mean,SrcBytes,TotBytes,dMeanPktSz,DstRetra,SynAck,label
0.0,0.0,-0.0,64128.0,0.0,79.779167,54888.066406,636893.0625,582005.0,0.061946,0.125346,0.060849,64.0,0.125346,0.0,0.0,0.0,0.0,151.580414,63.823334,1721542400.0,0.125346,9.0,0.0,10030.0,0.0,62.0,31872.0,20.0,11.0,0.125346,967.0,10997.0,911.818176,0.0,0.001097,HTTP
0.0,0.0,-0.0,64128.0,0.0,42.592159,34925.570312,245217.25,210291.6875,0.060742,0.140871,0.060246,64.0,0.140871,0.0,0.0,0.0,0.0,85.184319,35.493465,1721542400.0,0.140871,6.0,0.0,4320.0,0.0,62.0,31872.0,13.0,7.0,0.140871,738.0,5058.0,617.142883,0.0,0.000496,HTTP
0.0,0.0,-0.0,64128.0,0.0,56.269192,43922.121094,330219.78125,286297.65625,0.060742,0.124402,0.060246,64.0,0.124402,0.0,0.0,0.0,0.0,112.538383,48.230736,1721542400.0,0.124402,7.0,0.0,5088.0,0.0,62.0,31872.0,15.0,8.0,0.124402,796.0,5884.0,636.0,0.0,0.000496,HTTP
0.0,0.0,-0.0,61568.0,0.0,49.690849,39014.417969,354480.34375,315465.90625,0.061258,0.140871,0.060265,64.0,0.140871,0.0,0.0,0.0,0.0,99.381699,42.592159,1721542400.0,0.140871,7.0,0.0,6348.0,0.0,62.0,31872.0,15.0,8.0,0.140871,801.0,7149.0,793.5,0.0,0.000993,HTTP
0.0,0.0,-0.0,60672.0,0.0,56.990204,47301.867188,432213.71875,384911.84375,0.060762,0.140375,0.060265,64.0,0.140375,0.0,0.0,0.0,0.0,121.104179,56.990204,1721542400.0,0.140375,9.0,0.0,7598.0,0.0,62.0,31872.0,18.0,9.0,0.140375,933.0,8531.0,844.222229,0.0,0.000497,HTTP
0.0,0.0,-0.0,60672.0,0.0,56.79277,39357.390625,378694.1875,339336.8125,0.061249,0.140863,0.060752,64.0,0.140863,0.0,0.0,0.0,0.0,106.486443,42.594578,1721542400.0,0.140863,7.0,0.0,6721.0,0.0,62.0,31872.0,16.0,9.0,0.140863,808.0,7529.0,746.777771,0.0,0.000497,HTTP
0.0,0.0,-0.0,63488.0,0.0,38.835205,31585.966797,238810.609375,207224.65625,0.061249,0.154499,0.059857,64.0,0.154499,0.0,0.0,0.0,0.0,77.67041,32.362671,1721542400.0,0.154499,6.0,0.0,4668.0,0.0,62.0,31872.0,13.0,7.0,0.154499,731.0,5399.0,666.857117,0.0,0.001392,HTTP
0.0,0.0,-0.0,61568.0,0.0,64.393051,44302.421875,497178.78125,452876.34375,0.061241,0.124237,0.059769,64.0,0.124237,0.0,0.0,0.0,0.0,120.736977,48.294792,1721542400.0,0.124237,7.0,0.0,7912.0,0.0,62.0,31872.0,16.0,9.0,0.124237,802.0,8714.0,879.111084,0.0,0.001472,HTTP
0.0,0.0,-0.0,61568.0,0.0,64.649078,44284.617188,435411.53125,391126.90625,0.060078,0.123745,0.059085,64.0,0.123745,0.0,0.0,0.0,0.0,121.217018,48.486805,1721542400.0,0.123745,7.0,0.0,6806.0,0.0,62.0,31872.0,16.0,9.0,0.123745,799.0,7605.0,756.222229,0.0,0.000993,HTTP
0.0,0.0,-0.0,62592.0,0.0,49.08337,40248.363281,298557.78125,258309.40625,0.059573,0.122241,0.058576,64.0,0.122241,0.0,0.0,0.0,0.0,98.16674,40.902809,1721542400.0,0.122241,6.0,0.0,4604.0,0.0,62.0,31872.0,13.0,7.0,0.122241,737.0,5341.0,657.714294,0.0,0.000997,HTTP
