State__FA,State__A,pRetran,Max,sMeanPktSz,SrcRetra,PCRatio,State_PA_,State_PA_A,SrcWin,SrcLoss,DstRate,SrcLoad,TcpOpt_MwsS  T,Load,DstLoad,TcpRtt,Flgs_ e g      ,State_A_PA,Flgs_ e d      ,Sum,AckDat,dTtl,State__PA,Min,pLoss,DstLoss,State_S_,Cause_Status,State_FA_,Loss,StdDev,Rate,SrcRate,IdleTime,Dur,SrcPkts,Flgs_ e s      ,SrcGap,DstBytes,DstGap,sTtl,DstWin,TotPkts,State_S_SA,DstPkts,Flgs_ e *      ,Mean,SrcBytes,State__SA,TotBytes,Cause_Start,dMeanPktSz,State_A_A,DstRetra,SynAck,label
0.0,0.0,0.0,0.000605,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,6611.570312,0.0,0.0,80079336.0,80079336.0,1.150407,0.0,0.0,0.0,0.000605,0.112833,64.0,1.0,0.000605,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6611.570312,0.0,1721543936.0,0.000605,0.0,0.0,0.0,7570.0,0.0,62.0,739954.953834936,5.0,0.0,5.0,0.0,0.000605,0.0,0.0,7570.0,0.0,1514.0,0.0,0.0,1.037574,HTTP
0.0,0.0,0.0,0.000995,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,6030.150879,0.0,0.0,73037184.0,73037184.0,1.150407,0.0,0.0,0.0,0.000995,0.112833,64.0,1.0,0.000995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6030.150879,0.0,1721543936.0,0.000995,0.0,0.0,0.0,10598.0,0.0,62.0,739954.953834936,7.0,0.0,7.0,0.0,0.000995,0.0,0.0,10598.0,0.0,1514.0,0.0,0.0,1.037574,HTTP
0.0,0.0,0.0,0.0,66.0,0.0,-0.0,0.0,0.0,368256.0,0.0,0.0,0.0,1.0,0.0,0.0,0.106018,0.0,0.0,0.0,0.0,0.097083,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1721543936.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,739954.953834936,1.0,0.0,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.008935,HTTP
0.0,0.0,0.0,0.0,66.0,0.0,-0.0,0.0,0.0,1094144.0,0.0,0.0,0.0,1.0,0.0,0.0,0.239928,0.0,0.0,0.0,0.0,0.225333,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1721543936.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,739954.953834936,1.0,0.0,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.014595,HTTP
0.0,0.0,0.0,0.000534,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,5617.977539,0.0,1.0,68044944.0,68044944.0,0.106018,0.0,0.0,0.0,0.000534,0.097083,64.0,1.0,0.000534,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5617.977539,0.0,1721543936.0,0.000534,0.0,0.0,0.0,6056.0,0.0,62.0,739954.953834936,4.0,0.0,4.0,0.0,0.000534,0.0,0.0,6056.0,0.0,1514.0,0.0,0.0,0.008935,HTTP
0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,0.0,0.0,1.0,0.0,0.0,0.106018,0.0,0.0,0.0,0.0,0.097083,64.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1721543936.0,0.0,0.0,0.0,0.0,3028.0,0.0,62.0,739954.953834936,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3028.0,0.0,1514.0,0.0,0.0,0.008935,HTTP
0.0,0.0,0.0,0.000993,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,7049.345703,0.0,1.0,85381672.0,85381672.0,0.239928,0.0,0.0,0.0,0.000993,0.225333,64.0,1.0,0.000993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7049.345703,0.0,1721543936.0,0.000993,0.0,0.0,0.0,12112.0,0.0,62.0,739954.953834936,8.0,0.0,8.0,0.0,0.000993,0.0,0.0,12112.0,0.0,1514.0,0.0,0.0,0.014595,HTTP
0.0,0.0,0.0,0.000497,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,6036.217285,0.0,1.0,73110664.0,73110664.0,0.106018,0.0,0.0,0.0,0.000497,0.097083,64.0,1.0,0.000497,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6036.217285,0.0,1721543936.0,0.000497,0.0,0.0,0.0,6056.0,0.0,62.0,739954.953834936,4.0,0.0,4.0,0.0,0.000497,0.0,0.0,6056.0,0.0,1514.0,0.0,0.0,0.008935,HTTP
0.0,0.0,0.0,0.000991,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,4036.327148,0.0,1.0,48887992.0,48887992.0,0.239928,0.0,0.0,0.0,0.000991,0.225333,64.0,1.0,0.000991,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4036.327148,0.0,1721543936.0,0.000991,0.0,0.0,0.0,7570.0,0.0,62.0,739954.953834936,5.0,0.0,5.0,0.0,0.000991,0.0,0.0,7570.0,0.0,1514.0,0.0,0.0,0.014595,HTTP
0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,888204.7240233952,0.0,0.0,0.0,1.0,0.0,0.0,0.239928,0.0,0.0,0.0,0.0,0.225333,64.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1721543936.0,0.0,0.0,0.0,0.0,1514.0,0.0,62.0,739954.953834936,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1514.0,0.0,1514.0,0.0,0.0,0.014595,HTTP
