TcpRtt,pLoss,Max,SrcLoss,TotBytes,DstGap,sTtl,Mean,dTtl,Sum,TcpOpt_MwsS  T,Flgs_ e s      ,State_PA_A,sMeanPktSz,State__SA,TotPkts,Load,SrcLoad,SrcPkts,StdDev,DstRate,SrcRetra,Dur,Flgs_ e *      ,State_S_,State_S_SA,DstLoss,DstRetra,AckDat,Flgs_ e d      ,SrcGap,SynAck,DstLoad,pRetran,Flgs_ e g      ,Min,State_A_PA,DstPkts,SrcRate,DstWin,Loss,dMeanPktSz,Cause_Start,State__FA,State_PA_,DstBytes,State_FA_,State__A,State_A_A,State__PA,Rate,PCRatio,SrcWin,Cause_Status,IdleTime,SrcBytes,label
0.167035,0.0,0.000421,0.0,6056.0,0.0,62.0,0.000421,64.0,0.000421,0.0,0.0,0.0,0.0,0.0,4.0,86308784.0,0.0,0.0,0.0,7125.890625,0.0,0.000421,0.0,0.0,0.0,0.0,0.0,0.166538,0.0,0.0,0.000497,86308784.0,0.0,0.0,0.000421,0.0,4.0,0.0,208941.2432132964,0.0,1514.0,0.0,0.0,0.0,6056.0,0.0,0.0,0.0,1.0,7125.890625,-0.0,681344.1209964412,1.0,1721543936.0,0.0,1
0.167035,0.0,0.000571,0.0,1778.0,0.0,62.0,0.000571,64.0,0.000571,0.0,0.0,0.0,66.0,0.0,5.0,2774080.75,2774080.75,4.0,0.0,0.0,0.0,0.000571,0.0,0.0,0.0,0.0,0.0,0.166538,0.0,0.0,0.000497,0.0,0.0,0.0,0.000571,0.0,1.0,5253.94043,31872.0,0.0,1514.0,0.0,0.0,0.0,1514.0,0.0,0.0,1.0,0.0,7005.254395,-0.0,57728.0,1.0,1721543936.0,264.0,1
0.167035,0.0,0.000991,0.0,9348.0,0.0,62.0,0.000991,64.0,0.000991,0.0,0.0,0.0,66.0,0.0,10.0,62708376.0,1598385.5,4.0,0.0,5045.408691,0.0,0.000991,0.0,0.0,0.0,0.0,0.0,0.166538,0.0,0.0,0.000497,61109992.0,0.0,0.0,0.000991,1.0,6.0,3027.245361,31872.0,0.0,1514.0,0.0,0.0,0.0,9084.0,0.0,0.0,0.0,0.0,9081.735352,-0.0,64128.0,1.0,1721543936.0,264.0,1
0.167035,0.0,0.000505,0.0,6056.0,0.0,62.0,0.000505,64.0,0.000505,0.0,0.0,0.0,0.0,0.0,4.0,71952472.0,0.0,0.0,0.0,5940.594238,0.0,0.000505,0.0,0.0,0.0,0.0,0.0,0.166538,0.0,0.0,0.000497,71952472.0,0.0,0.0,0.000505,0.0,4.0,0.0,208941.2432132964,0.0,1514.0,0.0,0.0,0.0,6056.0,0.0,0.0,0.0,1.0,5940.594238,-0.0,681344.1209964412,1.0,1721543936.0,0.0,1
0.167035,0.0,0.000582,0.0,7570.0,0.0,62.0,0.000582,64.0,0.000582,0.0,0.0,0.0,0.0,0.0,5.0,83243984.0,0.0,0.0,0.0,6872.852051,0.0,0.000582,0.0,0.0,0.0,0.0,0.0,0.166538,0.0,0.0,0.000497,83243984.0,0.0,0.0,0.000582,0.0,5.0,0.0,208941.2432132964,0.0,1514.0,0.0,0.0,0.0,7570.0,0.0,0.0,0.0,1.0,6872.852051,-0.0,681344.1209964412,1.0,1721543936.0,0.0,1
0.167035,0.0,0.000995,0.0,10598.0,0.0,62.0,0.000995,64.0,0.000995,0.0,0.0,0.0,0.0,0.0,7.0,73037184.0,0.0,0.0,0.0,6030.150879,0.0,0.000995,0.0,0.0,0.0,0.0,0.0,0.166538,0.0,0.0,0.000497,73037184.0,0.0,0.0,0.000995,0.0,7.0,0.0,208941.2432132964,0.0,1514.0,0.0,0.0,0.0,10598.0,0.0,0.0,0.0,1.0,6030.150879,-0.0,681344.1209964412,1.0,1721543936.0,0.0,1
0.167035,0.0,0.00099,0.0,9084.0,0.0,62.0,0.00099,64.0,0.00099,0.0,0.0,0.0,0.0,0.0,6.0,61171720.0,0.0,0.0,0.0,5050.505371,0.0,0.00099,0.0,0.0,0.0,0.0,0.0,0.166538,0.0,0.0,0.000497,61171720.0,0.0,0.0,0.00099,0.0,6.0,0.0,208941.2432132964,0.0,1514.0,0.0,0.0,0.0,9084.0,0.0,0.0,0.0,1.0,5050.505371,-0.0,681344.1209964412,1.0,1721543936.0,0.0,1
0.167035,0.0,0.000496,0.0,4542.0,0.0,62.0,0.000496,64.0,0.000496,0.0,0.0,0.0,0.0,0.0,3.0,48838712.0,0.0,0.0,0.0,4032.258057,0.0,0.000496,0.0,0.0,0.0,0.0,0.0,0.166538,0.0,0.0,0.000497,48838712.0,0.0,0.0,0.000496,0.0,3.0,0.0,208941.2432132964,0.0,1514.0,0.0,0.0,0.0,4542.0,0.0,0.0,0.0,1.0,4032.258057,-0.0,681344.1209964412,1.0,1721543936.0,0.0,1
0.167035,0.0,0.000992,0.0,6188.0,0.0,62.0,0.000992,64.0,0.000992,0.0,0.0,0.0,66.0,0.0,6.0,37161292.0,532258.0625,2.0,0.0,3024.193604,0.0,0.000992,0.0,0.0,0.0,0.0,0.0,0.166538,0.0,0.0,0.000497,36629032.0,0.0,0.0,0.000992,1.0,4.0,1008.064514,31872.0,0.0,1514.0,0.0,0.0,0.0,6056.0,0.0,0.0,0.0,0.0,5040.322754,-0.0,75776.0,1.0,1721543936.0,132.0,1
0.167035,0.0,0.000492,0.0,6056.0,0.0,62.0,0.000492,64.0,0.000492,0.0,0.0,0.0,0.0,0.0,4.0,73853656.0,0.0,0.0,0.0,6097.560547,0.0,0.000492,0.0,0.0,0.0,0.0,0.0,0.166538,0.0,0.0,0.000497,73853656.0,0.0,0.0,0.000492,0.0,4.0,0.0,208941.2432132964,0.0,1514.0,0.0,0.0,0.0,6056.0,0.0,0.0,0.0,1.0,6097.560547,-0.0,681344.1209964412,1.0,1721543936.0,0.0,1
