TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e s      ,Cause_Status,State_A_A,State_A_FA,State_A_PA,State_FA_A,State_FA_FPA,State_FA_PA,State_FPA_FPA,State_FPA_FSPA,State_FPA_PA,State_FRPA_FPA,State_FSPA_FSPA,State_PA_A,State_PA_FPA,State_PA_PA,State_PA_SPA,State_RA_PA,State_R_,State_R_PA,State_SA_SPA,State_SPA_FSPA,State_SPA_SPA,State_S_RA,State_S_SA,State__FA,State__PA,State__SA,TcpOpt_MwsS  T,label
0.002271952743382938,0.002220555138784696,0.024793388429752067,0.0,0.0,0.0488771466314399,0.2272727272727273,0.9999999999999999,0.0,0.002129469420703115,0.0,0.002129469420703115,0.0,0.002129469420703115,0.002129469420703115,0.002129469420703115,1.0,0.0,0.0,0.0,0.0,0.015625,0.029411764705882353,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03108857082986901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.03745882085652619,0.018994748687171794,0.30578512396694213,0.0,0.0,0.05226221928665786,0.31144780681818185,1.5688981628202148e-05,0.007816423907584129,0.9948870333172861,0.0,0.9948870333172861,0.0,0.9948870333172861,0.9948870333172861,0.9948870333172861,1.0,0.0,0.3867788025553011,0.1809803474171883,0.3630007161742295,0.25,0.23529411764705882,0.28125,0.0,0.0,0.16666666666666666,0.0,0.25,0.0,0.0017660445357311804,0.0012841650278173056,0.0018388868100734374,0.21052632,0.0,0.0010646780807489675,0.0010709103193248827,0.0015873673637990513,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.03998636828353971,0.024186046511627906,0.27107438016528923,0.0,0.0,0.1064729174372523,0.2760942613636364,1.5688981628202148e-05,0.007816423907584129,0.8233314406049637,0.0,0.8233314406049637,0.0,0.8233314406049637,0.8233314406049637,0.8233314406049637,1.0,0.0,0.3867788025553011,0.1809803474171883,0.3630007161742295,0.203125,0.14705882352941177,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0021639639851779354,0.0018066328347168044,0.0019721552244148675,0.0,0.0,0.0010452996851893002,0.0007394590776036745,0.001918123882046734,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.07000454390548677,0.04390097524381095,0.43636363636363634,0.0,0.0,0.07433187582562747,0.30769229545454546,1.5688981628202148e-05,0.007816423907584129,0.7484039979703337,0.0,0.7484039979703337,0.0,0.7484039979703337,0.7484039979703337,0.7484039979703337,1.0,0.0,0.30608126717136774,0.34177240305155704,0.26032125529726613,0.390625,0.38235294117647056,0.40625,0.0,0.0,0.08333333333333333,0.0,0.125,0.0,0.004505535683501194,0.004162977987481154,0.0036221917492759597,0.07407408,0.0,0.0022114444948687284,0.0024404727828724626,0.0031652388009642185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.06770419175281155,0.04210052513128282,0.4276859504132231,0.0,0.0,0.07722368824306473,0.3015734356060606,1.5688981628202148e-05,0.007816423907584129,0.5952936065715742,0.0,0.5952936065715742,0.0,0.5952936065715742,0.5952936065715742,0.5952936065715742,1.0,0.0,0.12547441676127014,0.019771629249709825,0.12304465588635982,0.375,0.3529411764705882,0.40625,0.0,0.0,0.16666666666666666,0.0,0.25,0.0,0.005462241241231832,0.004985769309811396,0.00446508334013018,0.14814814,0.0,0.0026690222180840305,0.002812485321500182,0.003979342031576469,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.05855958196069522,0.036879219804951235,0.3665289256198347,0.0,0.0,0.08117569484808454,0.30544075757575756,1.5688981628202148e-05,0.007816423907584129,0.2566517668475992,0.0,0.2566517668475992,0.0,0.2566517668475992,0.2566517668475992,0.2566517668475992,1.0,0.0,0.2691543458254684,0.01478159938889495,0.2676916573779407,0.3125,0.29411764705882354,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.010811115612580068,0.009946911456914098,0.0087424306571206,0.0,0.0,0.005158909547994466,0.005337366695935054,0.007691605821450139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05890037487220266,0.037239309827456865,0.3665289256198347,0.0,0.0,0.08196829458388376,0.30544075757575756,1.5688981628202148e-05,0.007816423907584129,0.178683825092698,0.0,0.178683825092698,0.0,0.178683825092698,0.178683825092698,0.178683825092698,1.0,0.0,0.12814928761914998,0.04927530480848404,0.12172134899224053,0.3125,0.29411764705882354,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.01560963124978128,0.014416266210186789,0.01255715358611232,0.0,0.0,0.007409978385007586,0.007666304283313972,0.011047806414051824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.059411564239463824,0.0377794448612153,0.3665289256198347,0.0,0.0,0.08315720079260237,0.30544075757575756,1.5688981628202148e-05,0.007816423907584129,0.3288433202922415,0.0,0.3288433202922415,0.0,0.3288433202922415,0.3288433202922415,0.3288433202922415,1.0,0.0,0.37396871032532397,0.034483784883086475,0.3700439935598167,0.3125,0.29411764705882354,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.008556759799447531,0.00795259557040002,0.006823189276020149,0.0,0.0,0.004026364880285444,0.0041656451922987385,0.006003054182552247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.06384187208906054,0.038499624906226555,0.42107438016528925,0.0,0.0,0.08474240620871863,0.2969114128787879,1.5688981628202148e-05,0.007816423907584129,0.12660432730107002,0.0,0.12660432730107002,0.0,0.12660432730107002,0.12660432730107002,0.12660432730107002,1.0,0.0,0.18363505679566325,0.35160365472564753,0.136293879133483,0.34375,0.29411764705882354,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.024000236018695307,0.021038669932024363,0.02066540720903079,0.0,0.0,0.011503930819245025,0.010819886520799715,0.018710869183602444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.06469385436782915,0.03939984996249062,0.42107438016528925,0.0,0.0,0.08672391215323647,0.2969114128787879,1.5688981628202148e-05,0.007816423907584129,0.1267663325824422,0.0,0.1267663325824422,0.0,0.1267663325824422,0.1267663325824422,0.1267663325824422,1.0,0.0,0.0816890244312037,0.019731947103699365,0.07917629194061676,0.34375,0.29411764705882354,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.024278335182108694,0.021502968703785895,0.02063899759038657,0.0,0.0,0.011489229784820443,0.010806059912854228,0.01868695713552437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
