Cause_Status,DstRetra,SynAck,sMeanPktSz,SrcWin,Flgs_ e g      ,Load,State__SA,State_A_A,DstLoss,State_A_PA,Flgs_ e *      ,dMeanPktSz,Min,SrcLoad,State__PA,State_FPA_FPA,IdleTime,AckDat,Max,PCRatio,pRetran,Flgs_ e s      ,dTtl,TcpOpt_MwsS  T,State_S_SA,StdDev,SrcGap,Rate,TotBytes,sTtl,State_SPA_SPA,SrcBytes,DstPkts,State_PA_PA,TotPkts,SrcRetra,DstRate,DstBytes,SrcPkts,State__A,Dur,Sum,pLoss,SrcRate,TcpRtt,Loss,State_FA_FA,Mean,DstLoad,Flgs_ e d      ,DstGap,SrcLoss,DstWin,label
0.0,0.0,0.0220283092936135,0.6344086021505377,0.0077988792029887,0.0,0.0034883216011751,0.0,0.0,0.0,0.0,0.0,0.1587846723910171,0.9101146742429472,0.0068070858025714,0.0,0.0,0.0,0.5237155372964412,0.9101146742429472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001849285727648,0.0914164575581898,0.3333333333333321,1.0,0.801358234295416,0.2325581395348837,0.0,0.2575757575757575,0.0,0.0024475844173696,0.0545892184022889,0.2962962962962963,0.0,0.9101146742429472,0.9101146742429472,0.0,0.0019036766865652,0.4701114040779138,0.0,0.0,0.9101146742429472,0.0025376121453851,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.4139784946236559,0.0077988792029887,0.0,0.0007818431176596,0.0,0.0,0.0,0.0,0.0,0.0541611624834874,0.3383855202642498,0.0017066963008831,0.0,0.0,0.0,0.5237155372964412,0.3383855202642498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011703060517347,0.0105563727610971,0.3333333333333321,0.0,0.130730050933786,0.0697674418604651,1.0,0.0606060606060606,0.0,0.0014628826529394,0.0055860847449929,0.074074074074074,0.0,0.3383855202642498,0.3383855202642498,0.0,0.0007314412027197,0.4701114040779138,0.0,0.0,0.3383855202642498,0.0005172448636901,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.272043002688172,0.0077988792029887,0.0,0.0016578716441133,0.0,0.0,0.0,0.0,0.0,0.1413474240422721,0.9549753340873612,0.0015904139230926,0.0,0.0,0.0,0.5237155372964412,0.9549753340873612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012440571860546,0.0465518733235268,0.3333333333333321,0.0,0.2147707979626485,0.1860465116279069,1.0,0.1818181818181818,0.0,0.001814249986844,0.0388755165993006,0.1851851851851851,0.0,0.9549753340873612,0.9549753340873612,0.0,0.001036714384268,0.4701114040779138,0.0,0.0,0.9549753340873612,0.0016741091341648,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3207885376344086,0.0077988792029887,0.0,0.0018157923218223,0.0,0.0,0.0,0.0,0.0,0.1116982265521796,0.8934550578371401,0.002505814394702,0.0,0.0,0.0,0.5237155372964412,0.8934550578371401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015513384155551,0.0469845115514406,0.3333333333333321,0.0,0.3039049235993208,0.2093023255813953,1.0,0.2121212121212121,0.0,0.002216197905591,0.0345610609019483,0.2222222222222222,0.0,0.8934550578371401,0.8934550578371401,0.0,0.0013851235981818,0.4701114040779138,0.0,0.0,0.8934550578371401,0.001616177933566,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3248847849462365,0.0077988792029887,0.0,0.002569771582883,0.0,0.0,0.0,0.0,0.0,0.1050798626155878,0.7501287547639264,0.0036295110539444,0.0,0.0,0.0,0.5237155372964412,0.7501287547639264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022436978416194,0.054728735831098,0.3333333333333321,0.0,0.3590831918505942,0.2558139534883721,1.0,0.2575757575757575,0.0,0.0032995556447136,0.039738407738771,0.2592592592592592,0.0,0.7501287547639264,0.7501287547639264,0.0,0.0019797334363281,0.4701114040779138,0.0,0.0,0.7501287547639264,0.0022635938546841,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.2402812177419355,0.0077988792029887,0.0,0.0189906245209887,0.0,0.0,0.0,0.0,0.0,0.722728250330251,0.9098726652886155,0.0044224856165245,0.0,0.0,0.0,0.5237155372964412,0.9098726652886155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033731242219482,0.4734360128060915,0.3333333333333321,0.0,0.4932088285229202,0.4418604651162791,1.0,0.4696969696969697,0.0,0.0048964706847352,0.4720922839366002,0.4814814814814814,0.0,0.9098726652886155,0.9098726652886155,0.0,0.0032643138723235,0.4701114040779138,0.0,0.0,0.9098726652886155,0.0231026366678323,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.2462365537634409,0.0123754669987546,0.0,0.0314970482766409,0.0,0.0,0.0,0.0,0.0,0.7199471598414795,0.5976171118331378,0.005177000938203,0.0,0.0,0.0,0.5237155372964412,0.5976171118331378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049699209596187,0.5135415765337025,0.3333333333333321,0.0,0.3887945670628183,0.4883720930232558,1.0,0.4545454545454546,0.0,0.0082832022641771,0.5197783732231255,0.3703703703703703,0.0,0.5976171118331378,0.5976171118331378,0.0,0.0037274410683797,0.4701114040779138,0.0,0.0,0.5976171118331378,0.0389311842238751,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3064516129032258,0.0127334993773349,0.0,0.0055274655216915,0.0,0.0,0.0,0.0,0.0,0.0858652575957727,0.1860358833276831,0.0091921144551473,0.0,0.0,0.0,0.5237155372964412,0.1860358833276831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058539256625215,0.0305875227135069,0.3333333333333321,0.0,0.2419354838709677,0.1627906976744186,1.0,0.1666666666666666,0.0,0.0079826263851141,0.0206639720241609,0.1851851851851851,0.0,0.1860358833276831,0.1860358833276831,0.0,0.0053217509234094,0.4701114040779138,0.0,0.0,0.1860358833276831,0.0044746799500841,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3150537553763441,0.0128113325031133,0.0,0.0079544062771613,0.0,0.0,0.0,0.0,0.0,0.0964332892998679,0.1712163350043951,0.0102724714265256,0.0,0.0,0.0,0.5237155372964412,0.1712163350043951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075170838779808,0.0396729254996971,0.3333333333333321,0.0,0.2487266553480475,0.2093023255813953,1.0,0.1969696969696969,0.0,0.0115647448589469,0.0298378672964258,0.1851851851851851,0.0,0.1712163350043951,0.1712163350043951,0.0,0.0057823724294734,0.4701114040779138,0.0,0.0,0.1712163350043951,0.0072805090196537,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3371735860215054,0.0128113325031133,0.0,0.0033247747142779,0.0,0.0,0.0,0.0,0.0,0.1499779828269485,0.9839104046849736,0.00287003174281,0.0,0.0,0.0,0.5237155372964412,0.9839104046849736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021130752699084,0.0912434022670243,0.3333333333333321,0.0,0.3726655348047538,0.3488372093023256,1.0,0.3181818181818182,0.0,0.0035217923290208,0.0773422952904309,0.2592592592592592,0.0,0.9839104046849736,0.9839104046849736,0.0,0.0015093396402946,0.4701114040779138,0.0,0.0,0.9839104046849736,0.0034482526266094,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.2634408602150538,0.0128113325031133,0.0,0.0023314407264561,0.0,0.0,0.0,0.0,0.0,0.0435931307793923,0.0934934592579925,0.0078618029745466,0.0,0.0,0.0,0.5237155372964412,0.0934934592579925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042357468072079,0.0077874881024487,0.3333333333333321,0.0,0.1247877758913412,0.0465116279069767,0.0,0.0606060606060606,0.0,0.0026473419142469,0.0029974113265815,0.1111111111111111,0.0,0.0934934592579925,0.0934934592579925,0.0,0.0052946838284938,0.4701114040779138,0.0,0.0,0.0934934592579925,0.0007534021124131,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3494623655913978,0.0128113325031133,0.0,0.0030916479057861,0.0,0.0,0.0,0.0,0.0,0.1756935270805812,0.9972858995782844,0.0029330685422602,0.0,0.0,0.0,0.5237155372964412,0.9972858995782844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017869156326059,0.0873063943930085,0.3333333333333321,0.0,0.3862478777589134,0.2790697674418604,1.0,0.2727272727272727,0.0,0.0027300101314891,0.0724828557155184,0.2592592592592592,0.0,0.9972858995782844,0.9972858995782844,0.0,0.0014890963678577,0.4701114040779138,0.0,0.0,0.9972858995782844,0.0031312571695029,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3494623655913978,0.0128113325031133,0.0,0.00263641556985,0.0,0.0,0.0,0.0,0.0,0.1159435052840158,0.9930867442095358,0.0039272943100551,0.0,0.0,0.0,0.5237155372964412,0.9930867442095358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020935501941474,0.0732456519858094,0.3333333333333321,0.0,0.49660441426146,0.3023255813953488,1.0,0.3181818181818182,0.0,0.0029907860306762,0.0518188836913574,0.3333333333333333,0.0,0.9930867442095358,0.9930867442095358,0.0,0.0019938572712841,0.4701114040779138,0.0,0.0,0.9930867442095358,0.0022643390226278,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.2634408602150538,0.0128113325031133,0.0,0.0023462979158421,0.0,0.0,0.0,0.0,0.0,0.0435931307793923,0.092901437353182,0.0079119033737575,0.0,0.0,0.0,0.5237155372964412,0.092901437353182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004262739749495,0.0077874881024487,0.3333333333333321,0.0,0.1247877758913412,0.0465116279069767,0.0,0.0606060606060606,0.0,0.0026642125041943,0.0029974113265815,0.1111111111111111,0.0,0.092901437353182,0.092901437353182,0.0,0.0053284250083886,0.4701114040779138,0.0,0.0,0.092901437353182,0.0007582032342061,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3408602231182796,0.0128113325031133,0.0,0.0046243411937111,0.0,0.0,0.0,0.0,0.0,0.0768069438573315,0.2169710279280333,0.0087802983865391,0.0,0.0,0.0,0.5237155372964412,0.2169710279280333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050192887914859,0.0298953015488448,0.3333333333333321,0.0,0.2691001697792869,0.1627906976744186,1.0,0.1666666666666666,0.0,0.0068444852636623,0.0184840365139197,0.1851851851851851,0.0,0.2169710279280333,0.2169710279280333,0.0,0.0045629899282748,0.4701114040779138,0.0,0.0,0.2169710279280333,0.003433347705745,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3322580591397849,0.0128113325031133,0.0,0.0046015130081003,0.0,0.0,0.0,0.0,0.0,0.0768069438573315,0.2156969807882891,0.0086061403798327,0.0,0.0,0.0,0.5237155372964412,0.2156969807882891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050489358246046,0.0295491909665138,0.3333333333333321,0.0,0.2623089983022071,0.1627906976744186,1.0,0.1666666666666666,0.0,0.0068849126560362,0.0184840365139197,0.1851851851851851,0.0,0.2156969807882891,0.2156969807882891,0.0,0.0045899416881908,0.4701114040779138,0.0,0.0,0.2156969807882891,0.0034536272149932,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3433179758064516,0.0128113325031133,0.0,0.001877959998802,0.0,0.0,0.0,0.0,0.0,0.0823425785997358,0.9476080614982756,0.0030353860392667,0.0,0.0,0.0,0.5237155372964412,0.9476080614982756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018805936836612,0.0502725620835857,0.3333333333333321,0.0,0.3794567062818336,0.2790697674418604,1.0,0.2727272727272727,0.0,0.002873129481043,0.033970661701258,0.2592592592592592,0.0,0.9476080614982756,0.9476080614982756,0.0,0.0015671615801143,0.4701114040779138,0.0,0.0,0.9476080614982756,0.001545216977478,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.2634408602150538,0.0128113325031133,0.0,0.002302380763344,0.0,0.0,0.0,0.0,0.0,0.0435931307793923,0.094673502919608,0.0077638104286085,0.0,0.0,0.0,0.5237155372964412,0.094673502919608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041829510015582,0.0077874881024487,0.3333333333333321,0.0,0.1247877758913412,0.0465116279069767,0.0,0.0606060606060606,0.0,0.0026143444718497,0.0029974113265815,0.1111111111111111,0.0,0.094673502919608,0.094673502919608,0.0,0.0052286891911995,0.4701114040779138,0.0,0.0,0.094673502919608,0.0007440114339059,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3207885376344086,0.0128113325031133,0.0,0.0020807019669593,0.0,0.0,0.0,0.0,0.0,0.0876265997357992,0.96563172837395,0.0037088488161836,0.0,0.0,0.0,0.5237155372964412,0.96563172837395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020505467748764,0.0562429696287964,0.3333333333333321,0.0,0.4558573853989813,0.2790697674418604,1.0,0.303030303030303,0.0,0.0028195021712102,0.0361505972114991,0.3333333333333333,0.0,0.96563172837395,0.96563172837395,0.0,0.0020505468986074,0.4701114040779138,0.0,0.0,0.96563172837395,0.0016136355041115,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.3064516129032258,0.0128113325031133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0435931307793923,0.000496018352679,0.0,0.0,0.0,0.0,0.5237155372964412,0.000496018352679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1995967611059887,0.0024660378991087,0.3333333333333321,0.0,0.0483870967741935,0.0232558139534883,0.0,0.0151515151515151,0.0,0.0,0.0014987056632907,0.037037037037037,0.0,0.000496018352679,0.000496018352679,0.0,0.0,0.4701114040779138,0.0,0.0,0.000496018352679,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.2849462365591398,0.0127957658779576,0.0,0.0008357484392421,0.0,0.0,0.0,0.0,0.0,0.1043593130779392,0.7884131712873377,0.001512587581829,0.0,0.0,0.0,0.5237155372964412,0.7884131712873377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008790132222195,0.021415592281734,0.3333333333333321,0.0,0.1799660441426146,0.0930232558139534,1.0,0.106060606060606,0.0,0.0009417998670639,0.0143512421090876,0.1481481481481481,0.0,0.7884131712873377,0.7884131712873377,0.0,0.0009417998670639,0.4701114040779138,0.0,0.0,0.7884131712873377,0.0006416357894555,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.1774193548387097,0.0128113325031133,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1387054161162483,0.0,0.0,0.0,0.0,0.0,0.5237155372964412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004542701393095,0.3333333333333321,0.0,0.0280135823429541,0.0232558139534883,0.0,0.0151515151515151,0.0,0.0,0.0047686089286525,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.4701114040779138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0220283092936135,0.1774193548387097,0.0128113325031133,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1387054161162483,0.0,0.0,0.0,0.0,0.0,0.5237155372964412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004542701393095,0.3333333333333321,0.0,0.0280135823429541,0.0232558139534883,0.0,0.0151515151515151,0.0,0.0,0.0047686089286525,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.4701114040779138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
