TcpRtt,pLoss,Max,SrcLoss,TotBytes,DstGap,sTtl,Mean,dTtl,Sum,TcpOpt_MwsS  T,Flgs_ e s      ,State_PA_A,sMeanPktSz,State__SA,TotPkts,Load,SrcLoad,SrcPkts,StdDev,DstRate,SrcRetra,Dur,Flgs_ e *      ,State_S_,State_S_SA,DstLoss,DstRetra,AckDat,Flgs_ e d      ,SrcGap,SynAck,DstLoad,pRetran,Flgs_ e g      ,Min,State_A_PA,DstPkts,SrcRate,DstWin,Loss,dMeanPktSz,Cause_Start,State__FA,State_PA_,DstBytes,State_FA_,State__A,State_A_A,State__PA,Rate,PCRatio,SrcWin,Cause_Status,IdleTime,SrcBytes,label
0.0,0.0,0.0,0.0,74.0,0.0,62.0,0.0,63.99964320448412,0.0,0.0,0.0,0.0,74.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739954.953834936,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1721543936.0,74.0,HTTP
0.001763,0.0,0.0,0.0,74.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001763,0.0,0.0,0.0,0.0,0.0,1.0,0.0,739954.953834936,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,-0.0,888204.7240233952,1.0,1721543936.0,0.0,HTTP
0.001267,0.0,0.0,0.0,74.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001267,0.0,0.0,0.0,0.0,0.0,1.0,0.0,739954.953834936,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,-0.0,888204.7240233952,1.0,1721543936.0,0.0,HTTP
0.001267,0.0,0.0,0.0,74.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001267,0.0,0.0,0.0,0.0,0.0,1.0,0.0,739954.953834936,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,-0.0,888204.7240233952,1.0,1721543936.0,0.0,HTTP
0.001276,0.0,0.0,0.0,74.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001276,0.0,0.0,0.0,0.0,0.0,1.0,0.0,739954.953834936,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,-0.0,888204.7240233952,1.0,1721543936.0,0.0,HTTP
0.001276,0.0,0.0,0.0,74.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001276,0.0,0.0,0.0,0.0,0.0,1.0,0.0,739954.953834936,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,-0.0,888204.7240233952,1.0,1721543936.0,0.0,HTTP
0.184895,0.0,0.000997,0.0,524.0,0.0,62.0,0.000997,64.0,0.000997,0.0,0.0,1.0,229.0,0.0,3.0,1837512.5,1837512.5,2.0,0.0,0.0,0.0,0.000997,0.0,0.0,0.0,0.0,0.0,0.183628,0.0,0.0,0.001267,0.0,0.0,0.0,0.000997,0.0,1.0,1003.008972,31872.0,0.0,66.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,2006.017944,-0.0,64256.0,1.0,1721543936.0,458.0,HTTP
0.185396,0.0,0.000496,0.0,529.0,0.0,62.0,0.000496,64.0,0.000496,0.0,0.0,1.0,231.5,0.0,3.0,3741935.5,3741935.5,2.0,0.0,0.0,0.0,0.000496,0.0,0.0,0.0,0.0,0.0,0.184129,0.0,0.0,0.001267,0.0,0.0,0.0,0.000496,0.0,1.0,2016.129028,31872.0,0.0,66.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,4032.258057,-0.0,64256.0,1.0,1721543936.0,463.0,HTTP
0.1849,0.0,0.0,0.0,66.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,66.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184129,0.0,0.0,0.000771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739954.953834936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,64256.0,1.0,1721543936.0,66.0,HTTP
0.1849,0.0,0.000496,0.0,470.0,0.0,62.0,0.000496,64.0,0.000496,0.0,0.0,0.0,235.0,0.0,2.0,3790322.75,3790322.75,2.0,0.0,0.0,0.0,0.000496,0.0,0.0,0.0,0.0,0.0,0.183624,0.0,0.0,0.001276,0.0,0.0,0.0,0.000496,0.0,0.0,2016.129028,739954.953834936,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016.129028,-0.0,64256.0,1.0,1721543936.0,470.0,HTTP
