TcpRtt,SynAck,AckDat,100,010,001,110,101,011,111,label
0.059577,0.000496,0.059081,0,0,0,0,0,0,0,0
0.047096,0.000874,0.046222,0,0,0,0,0,0,0,0
0.047595,0.000874,0.046721,0,0,0,0,0,0,0,0
0.060676,0.001381,0.059295,0,0,0,0,0,0,0,0
0.05981,0.001829,0.057981,0,0,0,0,0,0,0,0
0.057981,0.0005,0.057481,0,0,0,0,0,0,0,0
0.057979,0.000498,0.057481,0,0,0,0,0,0,0,0
0.075183,0.001477,0.073706,0,0,0,0,0,0,0,0
0.075262,0.000973,0.074289,0,0,0,0,0,0,0,0
0.075262,0.000973,0.074289,0,0,0,0,0,0,0,0
0.075755,0.000973,0.074782,0,0,0,0,0,0,0,0
0.074782,0.001003,0.073779,0,0,0,0,0,0,0,0
0.075607,0.001015,0.074592,0,0,0,0,0,0,0,0
0.094656,0.000912,0.093744,0,0,0,0,0,0,0,0
0.090078,0.0,0.090078,0,0,0,0,0,0,0,0
0.092765,0.0,0.092765,0,0,0,0,0,0,0,0
0.093322,0.001002,0.09232,0,0,0,0,0,0,0,0
0.091823,0.000488,0.091335,0,0,0,0,0,0,0,0
0.091823,0.000488,0.091335,0,0,0,0,0,0,0,0
0.106883,0.000722,0.106161,0,0,0,0,0,0,0,0
0.09243,0.000994,0.091436,0,0,0,0,0,0,0,0
0.093371,0.000816,0.092555,0,0,0,0,0,0,0,0
0.094301,0.000997,0.093304,0,0,0,0,0,0,0,0
0.093748,0.0,0.093748,0,0,0,0,0,0,0,0
0.093748,0.000926,0.092822,0,0,0,0,0,0,0,0
0.107602,0.000502,0.1071,0,0,0,0,0,0,0,0
0.105517,0.0,0.105517,0,0,0,0,0,0,0,0
0.094239,0.000497,0.093742,0,0,0,0,0,0,0,0
0.108825,0.0,0.108825,0,0,0,0,0,0,0,0
0.107824,0.001091,0.106733,0,0,0,0,0,0,0,0
0.107749,0.001015,0.106734,0,0,0,0,0,0,0,0
0.0931,0.001531,0.091569,0,0,0,0,0,0,0,0
0.10701,0.001006,0.106004,0,0,0,0,0,0,0,0
0.063343,0.0,0.063343,0,0,0,0,0,0,0,0
0.061554,0.000508,0.061046,0,0,0,0,0,0,0,0
0.047076,0.00082,0.046256,0,0,0,0,0,0,0,0
0.061564,0.000496,0.061068,0,0,0,0,0,0,0,0
0.061564,0.000496,0.061068,0,0,0,0,0,0,0,0
0.062088,0.000993,0.061095,0,0,0,0,0,0,0,0
0.061694,0.000497,0.061197,0,0,0,0,0,0,0,0
0.061694,0.000993,0.060701,0,0,0,0,0,0,0,0
0.078221,0.001021,0.0772,0,0,0,0,0,0,0,0
0.07694,0.000498,0.076442,0,0,0,0,0,0,0,0
0.077496,0.000498,0.076998,0,0,0,0,0,0,0,0
0.001718,0.001718,0.0,0,0,0,0,0,0,0,0
