SrcRate,Sum,SrcWin,SrcLoss,DstRate,AckDat,Flgs_ e *      ,Loss,DstRetra,State_FPA_FPA,pLoss,Load,DstLoad,State_SPA_SPA,dTtl,State_PA_PA,DstBytes,SynAck,IdleTime,DstWin,TcpRtt,SrcGap,SrcLoad,Min,Mean,sTtl,State_A_PA,SrcPkts,SrcRetra,DstPkts,PCRatio,Cause_Status,DstGap,SrcBytes,TcpOpt_MwsS  T,Dur,Max,Rate,Flgs_ e d      ,State__PA,TotPkts,DstLoss,pRetran,sMeanPktSz,StdDev,TotBytes,dMeanPktSz,label
38.955296,1.309193,2603520.0,0.0,202.414764,0.165909,0.0,49.0,0.0,0.0,13.351499,2458057.75,2435686.75,0.0,64.0,0.0,400102.0,0.019423,1721542784.0,31872.0,0.185332,0.0,22371.033203,1.309193,1.309193,62.0,0.0,52.0,0.0,266.0,-0.0,1.0,0.0,3732.0,1.0,1.309193,1.309193,242.133896,1.0,0.0,318.0,49.0,0.0,71.769234,0.0,403834.0,1504.142822,1
7.75308,0.128981,8222720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3969.577148,0.0,0.0,64.0,0.0,74.0,0.007512,1721542784.0,4077568.0,0.007512,0.0,3969.577148,0.128981,0.128981,62.0,0.0,2.0,0.0,1.0,-0.0,0.0,0.0,128.0,0.0,0.128981,0.128981,15.506161,0.0,0.0,3.0,0.0,0.0,64.0,0.0,202.0,74.0,1
55.066139,3.686476,777344.0,0.0,205.616425,0.110198,0.0,24.0,0.0,0.0,2.431611,2507322.5,2476696.0,0.0,64.0,0.0,1142790.0,0.014078,1721542784.0,31872.0,0.124276,0.0,30626.539062,3.686476,3.686476,62.0,0.0,204.0,0.0,759.0,-0.0,0.0,0.0,14182.0,1.0,3.686476,3.686476,260.953827,1.0,0.0,963.0,24.0,0.0,69.519608,0.0,1156972.0,1505.652222,1
87.328064,1.099303,330624.0,0.0,188.301132,0.027865,0.0,0.0,0.0,0.0,0.0,2297346.5,2252088.75,0.0,64.0,0.0,310961.0,0.010539,1721542784.0,31872.0,0.038404,0.0,45257.769531,1.099303,1.099303,62.0,0.0,97.0,0.0,208.0,-0.0,0.0,0.0,6283.0,0.0,1.099303,1.099303,276.538849,0.0,0.0,305.0,0.0,0.0,64.773193,0.0,317244.0,1495.004761,1
20.461864,3.518741,400384.0,0.0,66.50106,0.110348,0.0,12.0,0.0,0.0,3.75,803080.4375,791130.6875,0.0,64.0,0.0,349460.0,0.024998,1721542784.0,31872.0,0.135346,0.0,11949.728516,3.518741,3.518741,62.0,0.0,73.0,0.0,235.0,-0.0,0.0,0.0,5328.0,1.0,3.518741,3.518741,87.247116,1.0,0.0,308.0,12.0,0.0,72.986298,0.0,354788.0,1487.063843,1
2.001045,0.499739,64256.0,0.0,0.0,0.406617,0.0,0.0,0.0,0.0,0.0,1120.584961,0.0,0.0,64.0,0.0,74.0,0.093122,1721542784.0,4077568.0,0.499739,0.0,1120.584961,0.499739,0.499739,62.0,0.0,2.0,0.0,1.0,-0.0,0.0,0.0,140.0,0.0,0.499739,0.499739,4.002089,0.0,0.0,3.0,0.0,0.0,70.0,0.0,214.0,74.0,1
9.352612,0.106922,64256.0,0.0,0.0,0.406617,0.0,0.0,0.0,0.0,0.0,4938.179199,0.0,0.0,64.0,0.0,66.0,0.093122,1721542784.0,4077568.0,0.499739,0.0,4938.179199,0.106922,0.106922,62.0,0.0,2.0,0.0,1.0,-0.0,1.0,0.0,132.0,0.0,0.106922,0.106922,18.705225,0.0,0.0,3.0,0.0,0.0,66.0,0.0,198.0,66.0,1
59.963051,1.584309,449152.0,0.0,140.124176,0.058757,0.0,18.0,0.0,0.0,5.341246,1692488.0,1658575.5,0.0,64.0,0.0,329941.0,0.00298,1721542784.0,31872.0,0.061737,0.0,33912.578125,1.584309,1.584309,62.0,0.0,96.0,0.0,223.0,-0.0,0.0,0.0,6786.0,1.0,1.584309,1.584309,200.71843,1.0,0.0,319.0,18.0,0.0,70.6875,0.0,336727.0,1479.55603,1
20.351357,3.685258,492032.0,0.0,77.606506,0.324406,0.0,41.0,0.0,0.0,10.148515,938413.5625,925614.4375,0.0,64.0,0.0,427881.0,0.017978,1721542784.0,31872.0,0.342384,0.0,12799.104492,3.685258,3.685258,62.0,0.0,76.0,0.0,287.0,-0.0,0.0,0.0,5974.0,1.0,3.685258,3.685258,98.229218,1.0,0.0,363.0,41.0,0.0,78.605263,0.0,433855.0,1490.874512,1
2.220421,0.450365,64256.0,0.0,0.0,0.43343,0.0,0.0,0.0,0.0,0.0,1243.435913,0.0,0.0,64.0,0.0,74.0,0.016935,1721542784.0,4077568.0,0.450365,0.0,1243.435913,0.450365,0.450365,62.0,0.0,2.0,0.0,1.0,-0.0,0.0,0.0,140.0,0.0,0.450365,0.450365,4.440842,0.0,0.0,3.0,0.0,0.0,70.0,0.0,214.0,74.0,1
