dMeanPktSz,DstLoad,Rate,pRetran,State_A_A,SrcRetra,State__A,sTtl,Max,DstPkts,State_SPA_SPA,DstGap,TotBytes,DstWin,StdDev,Min,SynAck,AckDat,pLoss,Cause_Status,dTtl,SrcGap,State_PA_A,IdleTime,Flgs_ e g      ,Load,Cause_Start,SrcRate,SrcBytes,TotPkts,State__SA,TcpOpt_MwsS  T,Loss,DstBytes,SrcWin,Mean,State_FA_FA,PCRatio,State_PA_PA,Sum,Flgs_ e d      ,State_S_SA,sMeanPktSz,DstRetra,TcpRtt,State_A_PA,State__PA,DstLoss,Dur,Flgs_ e *      ,SrcPkts,SrcLoss,Flgs_ e s      ,DstRate,SrcLoad,label
0.2812417357992074,0.0001356610721493,0.0007743107430859,0.0,0.0,0.0,0.0,1.0,0.7748382127889414,0.0284090909090909,0.0,0.0,0.0098033403974687,0.0,0.0,0.7748382127889414,0.0025439203425188,0.0839309842335858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001655868877047,1.0,0.001855191764271,0.1053894425987449,0.0307017543859649,0.0,0.0,0.0,0.0079898222649213,0.0078144458281444,0.7748382127889414,0.0,0.0,0.0,0.7748382127889414,0.0,0.0,0.3339181192982456,0.0,0.0844790713986095,0.0,0.0,0.0,0.7748382127889414,0.0,0.0375,0.0,0.0,0.0004752383374538,0.0057205605585654,1.0
0.0435931307793923,0.0,0.0016146533506729,0.0,0.0,0.0,0.0,1.0,0.1592466267241465,0.0056818181818181,0.0,0.0,0.0007780428886879,0.0,0.0,0.1592466267241465,0.0025439203425188,0.0839309842335858,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.100756758213001e-05,0.0,0.0090267120454785,0.0365448504983388,0.0131578947368421,0.0,0.0,0.0,0.0002476882430647,0.0077833125778331,0.1592466267241465,0.0,0.0,0.0,0.1592466267241465,0.0,0.0,0.1157894736842105,0.0,0.0844790713986095,0.0,0.0,0.0,0.1592466267241465,0.0,0.0375,0.0,0.0,0.0,0.0096433591865483,1.0
0.1089828269484808,4.000715126875681e-05,0.0006737755624622,0.0,0.0,0.0,0.0,1.0,0.7632455464756893,0.0227272727272727,0.0,0.0,0.0042051365650517,0.0,0.0,0.7632455464756893,0.0025491226336078,0.0851526850559957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.836951364684051e-05,1.0,0.001883369608734,0.0976375046142487,0.0263157894736842,0.0,0.0,0.0,0.0024768824306472,0.0078144458281444,0.7632455464756893,0.0,0.0,0.0,0.7632455464756893,0.0,0.0,0.3093567157894736,0.0,0.0857003362604264,0.0,0.0,0.0,0.7632455464756893,0.0,0.0375,0.0,0.0,0.0003618424336046,0.0053806544609273,1.0
0.0435931307793923,0.0,0.0345522796792475,0.0,0.0,0.0,0.0,1.0,0.0049611410624443,0.0056818181818181,0.0,0.0,0.0005335151236717,0.0,0.0,0.0049611410624443,0.0025491226336078,0.0851526850559957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0008186406028182,0.0,0.1448732717607741,0.0243632336655592,0.0087719298245614,0.0,0.0,0.0,0.0002476882430647,0.0077988792029887,0.0049611410624443,0.0,0.0,0.0,0.0049611410624443,0.0,0.0,0.1157894736842105,0.0,0.0857003362604264,0.0,0.0,0.0,0.0049611410624443,0.0,0.025,0.0,0.0,0.0,0.1547700812228934,1.0
0.7817040951122853,0.0012222553153148,0.0018261815086279,0.0,0.0,0.0,0.0,1.0,0.6570711263590625,0.0681818181818181,1.0,0.0,0.0546000859552143,0.0,0.0,0.6570711263590625,0.0,0.0836513841581076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012560649122008,1.0,0.002187698405678,0.1087117017349575,0.0614035087719298,0.0,0.0,0.0,0.0532980064849285,0.0078144458281444,0.6570711263590625,0.0,0.0,0.0,0.6570711263590625,0.0,0.0,0.3444444350877192,0.0,0.0835273649972837,0.0,0.0,0.0,0.6570711263590625,0.0,0.0375,0.0,0.0,0.0015411425693287,0.006958326483304,1.0
1.0,0.0070390273046206,0.0084305727124243,0.0,0.0,0.0,0.0,1.0,0.7828200486111805,0.3409090909090909,0.0,0.0,0.3407605554485232,0.0,0.0,0.7828200486111805,0.0,0.0836513841581076,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0071099731945828,0.0,0.0156083448963925,0.2192691029900332,0.337719298245614,0.0,0.0,0.0,0.3409090909090909,0.0092154420921544,0.7828200486111805,0.0,0.0,0.0,0.7828200486111805,0.0,0.0,0.1157894736842105,0.0,0.0835273649972837,1.0,0.0,0.0,0.7828200486111805,0.0,0.225,0.0,0.0,0.0069382925419042,0.0166746061764467,1.0
1.0,0.0170671872159947,0.0200990040993127,0.0,0.0,0.0,0.0,1.0,0.9466877381797812,0.9886363636363636,0.0,0.0,0.9878032514782814,0.0,0.0,0.9466877381797812,0.0,0.0836513841581076,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0172312800363108,0.0,0.0364421785934675,0.5968992248062015,0.9736842105263156,0.0,0.0,0.0,0.9886363636363636,0.0402085927770859,0.9466877381797812,0.0,0.0,0.0,0.9466877381797812,0.0,0.0,0.1157894736842105,0.0,0.0835273649972837,1.0,0.0,0.0,0.9466877381797812,0.0,0.6125,0.0,0.0,0.0168229397501177,0.0389316733518235,1.0
1.0,0.0181527103442511,0.0206614031204155,0.0,0.0,0.0,0.0,1.0,0.7923222341138462,0.8806818181818182,0.0,0.0,0.8782918624123776,0.0,0.0,0.7923222341138462,0.0,0.0836513841581076,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0182927512763617,0.0,0.0326565649476905,0.450719822812846,0.837719298245614,0.0,0.0,0.0,0.8806818181818182,0.0621886674968866,0.7923222341138462,0.0,0.0,0.0,0.7923222341138462,0.0,0.0,0.1157894736842105,0.0,0.0835273649972837,1.0,0.0,0.0,0.7923222341138462,0.0,0.4625,0.0,0.0,0.0178929275823952,0.0348874507245768,1.0
1.0,0.0104604461908827,0.0157579340288744,0.0,0.0,0.0,0.0,1.0,0.9464076737649658,0.6079545454545455,0.0,0.0,0.6166249240481941,0.0,0.0,0.9464076737649658,0.0,0.0836513841581076,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0107223291332454,0.0,0.0508822604310014,0.8283499446290143,0.763157894736842,0.0,0.0,0.0,0.6079545454545455,0.0981164383561643,0.9464076737649658,0.0,0.0,0.0,0.9464076737649658,0.0,0.0,0.1157894736842105,0.0,0.0835273649972837,1.0,0.0,0.0,0.9464076737649658,0.0,0.8500000000000001,0.0,0.0,0.0103107476814511,0.054358210217622,1.0
1.0,0.0087344533466073,0.013936386625291,0.0,0.0,0.0,0.0,1.0,0.9409564199765946,0.5056818181818182,0.0,0.0,0.5184951909539547,0.0,0.0,0.9409564199765946,0.0,0.0836513841581076,0.1547618981292517,1.0,0.0,0.0,0.0,0.0,0.0,0.009051411690613,0.0,0.0488855274845571,0.9697305278700628,0.6710526315789473,0.0,1.0,0.1521739130434782,0.5056818181818182,0.1379047322540473,0.9409564199765946,0.0,0.0,0.0,0.9409564199765946,1.0,0.0,0.1418083719298245,0.0,0.0835273649972837,1.0,0.0,0.1521739130434782,0.9409564199765946,0.0,0.8125,0.0,0.0,0.0086094551124632,0.0639707660174248,1.0
