SrcPkts,DstLoss,Load,SrcBytes,DstGap,dTtl,IdleTime,pLoss,SrcWin,State_SPA_SPA,StdDev,SrcRate,SrcGap,sMeanPktSz,DstRate,TotBytes,DstWin,DstBytes,AckDat,SrcRetra,sTtl,State__PA,Flgs_ e d      ,SrcLoss,SynAck,Sum,Max,DstLoad,State_PA_PA,TotPkts,State_A_PA,DstRetra,TcpOpt_MwsS  T,State_FPA_FPA,DstPkts,Min,SrcLoad,Mean,Loss,Flgs_ e *      ,PCRatio,Dur,Cause_Status,dMeanPktSz,Rate,pRetran,TcpRtt,label
0.0068259385665529,0.0,0.0058811674918771,0.013225329343377,0.0,0.0,0.0,0.0,0.0023165539694465,0.0,0.0,0.0178733256390177,0.0,0.274446835117773,0.0180171742663461,0.0012686116669373,0.0,0.0009756383764132,0.0839309842335858,0.0,1.0,0.0,0.0,0.0,0.0025439203425188,0.0278079345637301,0.0278079345637301,0.0043555389151894,0.0,0.00472711645896,0.0,0.0,0.0,0.0,0.0040268456375838,0.0278079345637301,0.0347175795158815,0.0278079345637301,0.0,0.0,0.0,0.0278079345637301,0.0,0.2416336486129458,0.0196606594503051,0.0,0.0844790713986095,1.0
0.005688282138794,0.0,0.0029458466602552,0.0113679358855295,0.0,0.0,0.0,0.0,0.0023322063611319,0.0,0.0,0.015943795159322,0.0,0.283083505353319,0.0160721144824517,0.0005782732960746,0.0,0.0003226940598068,0.0851526850559957,0.0,1.0,0.0,0.0,0.0,0.0025491226336078,0.0249386174955938,0.0249386174955938,0.0015419251589512,0.0,0.0038676407391491,0.0,0.0,0.0,0.0,0.0033557046979865,0.0249386174955938,0.031947983343911,0.0249386174955938,0.0,0.0,0.0,0.0249386174955938,0.0,0.0959048857331572,0.0179367704284446,0.0,0.0857003362604264,1.0
0.9226393629124005,0.0707070707070707,0.4335722100543315,0.9635916486086747,0.0,0.0,0.0,0.01243892,0.3790383170548459,0.0,0.0,0.2390118376794701,0.0,0.147936426124197,0.4238679398276597,0.966717110542128,0.0,0.9567003243386438,0.0836513841581076,0.0,1.0,0.0,1.0,0.0,0.0,0.3368757445303768,0.3368757445303768,0.422577924481865,0.0,0.9608938547486034,0.0,0.0,1.0,0.0,0.9570469798657718,0.3368757445303768,0.2501889635408614,0.3368757445303768,0.0707070707070707,0.0,0.0,0.3368757445303768,0.0,0.9969563857331571,0.3298953455271747,0.0,0.0835273649972837,1.0
0.073947667804323,0.0454545454545454,0.0236926670017145,0.0815189350944175,0.0,0.0,0.0,0.0625,0.0171393688955672,0.0,0.0,0.0070824221260572,0.0,0.1561522055674518,0.023760892564373,0.1414160560360394,0.0,0.1415120127975308,0.3680308303846773,0.0,1.0,0.0,1.0,0.0,0.079007194768576,0.8982604490263203,0.8982604490263203,0.0233487207169197,0.0,0.1194671250537172,0.0,0.0,1.0,0.0,0.1436241610738255,0.8982604490263203,0.0078268812972452,0.8982604490263203,0.0454545454545454,0.0,0.0,0.8982604490263203,0.0,0.9826510191545574,0.0153821354501342,0.0,0.388371853145651,1.0
0.0273037542662116,0.0656565656565656,0.0112388382008343,0.0396587899425583,0.0,0.0,0.0,0.17218544,0.0150889055847733,1.0,0.0,0.0023065243714283,0.0,0.2057459014989293,0.0114232589993999,0.0743394179707729,0.0,0.074486323061202,0.3273386893505427,0.0,1.0,0.0,1.0,0.0,0.1271491965061413,0.9912286421285988,0.9912286421285988,0.0110912749502081,0.0,0.0588740868070477,0.0,0.0,1.0,0.0,0.0765100671140939,0.9912286421285988,0.0033579835947642,0.9912286421285988,0.0656565656565656,0.0,0.0,0.9912286421285988,0.0,0.9709379128137384,0.0068694320273305,0.0,0.3604670512917489,1.0
0.0022753128555176,0.0,9.298512470192112e-05,0.0024077322601726,0.0,0.0,0.0,0.0,0.0023478587528174,0.0,0.0,0.001995078817214,0.0,0.1498929336188437,0.0,6.478762136187958e-05,1.0,3.289168102714497e-05,0.3115819166240838,0.0,1.0,0.0,0.0,0.0,0.1190960499003761,0.04982463284502,0.04982463284502,0.0,0.0,0.0008594757198109,0.0,0.0,0.0,0.0,0.0006711409395973,0.04982463284502,0.0021159923915701,0.04982463284502,0.0,0.0,0.0,0.04982463284502,0.0,0.0488771466314399,0.0019950785692097,0.0,0.3426046773894088,1.0
0.1899886234357224,0.1262626262626262,0.0875501692819014,0.1953358786502941,0.0,0.0,0.0,0.05896226,0.0902829952416729,0.0,0.0,0.0218055002701026,0.0,0.1456359271948608,0.0867322430853293,0.4388639052839996,0.0,0.4405898456268954,0.3273386893505427,0.0,1.0,0.0,1.0,0.0,0.1271491965061413,0.7567390749542582,0.7567390749542582,0.086562739781557,0.0,0.3532445208422862,0.0,0.0,1.0,0.0,0.4402684563758389,0.7567390749542582,0.0224702531701987,0.7567390749542582,0.1262626262626262,0.0,0.0,0.7567390749542582,1.0,0.9980456657859974,0.0539883173065014,0.0,0.3604670512917489,1.0
0.0022753128555176,0.0,8.592803961837634e-05,0.0022701475595913,0.0,0.0,0.0,0.0,0.0023478587528174,0.0,0.0,0.0019553998272948,0.0,0.1413276231263383,0.0,5.778355418762232e-05,1.0,2.933582361880497e-05,0.3115819166240838,0.0,1.0,0.0,0.0,0.0,0.1190960499003761,0.050835674095503,0.050835674095503,0.0,0.0,0.0008594757198109,0.0,0.0,0.0,0.0,0.0006711409395973,0.050835674095503,0.0019553996258851,0.050835674095503,0.0,0.0,0.0,0.050835674095503,1.0,0.0435931307793923,0.0019553995792807,0.0,0.3426046773894088,1.0
0.0022753128555176,0.0,0.0001451206981818,0.0022013552093007,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0034056026218873,0.0,0.1370449678800856,0.0,5.953457098118664e-05,1.0,3.289168102714497e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.2102037737419559,0.0291883908863481,0.0291883908863481,0.0,0.0,0.0008594757198109,0.0,0.0,0.0,0.0,0.0006711409395973,0.0291883908863481,0.0033024023379708,0.0291883908863481,0.0,0.0,0.0,0.0291883908863481,0.0,0.0488771466314399,0.0034056026227336,0.0,0.0555703018092048,1.0
0.4186575654152445,0.8484848484848485,0.1024398826918821,0.4751659615450762,0.0,0.0,0.0,0.21818182,0.2222639619333834,1.0,0.0,0.036614403358136,0.0,0.1607683169164882,0.1008714184764435,0.6757493366929509,0.0,0.673883871919794,0.2285131474015787,0.0,1.0,0.0,1.0,0.0,0.1010440998215614,0.9963644516696282,0.9963644516696282,0.1006095699598563,0.0,0.5891706059303825,0.0,0.0,1.0,0.0,0.6738255033557047,0.9963644516696282,0.0416511133548276,0.9963644516696282,0.8484848484848485,0.0,0.0,0.9963644516696282,0.0,0.9974040303830912,0.0683901167546836,0.0,0.2548867785701024,1.0
