TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e s      ,Cause_Status,Dir_  <?>,State_A_A,State_A_PA,State_FA_FA,State_FPA_FPA,State_FRPA_FPA,State_PA_A,State_PA_PA,State_RPA_PA,State_SPA_SPA,State__PA,TcpOpt_Mws   T,TcpOpt_MwsS  T,label
4.226824120690303e-05,4.3084444921848946e-05,0.0010076028212878995,0.0,0.0,0.0964332892998679,0.18181818181818182,0.0,0.0,0.00024540127608663567,0.0,0.00024540127608663567,0.0,0.00024540127608663567,0.00024540127608663567,0.00024540127608663567,1.0,0.0,0.0,0.0,0.0,0.0003245699448231094,0.00044583147570218456,0.0011918951132300357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341483263081773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.226824120690303e-05,4.3084444921848946e-05,0.0010076028212878995,0.0,0.0,0.0964332892998679,0.18181818181818182,0.0,0.0,0.0002482012906467113,0.0,0.0002482012906467113,0.0,0.0002482012906467113,0.0002482012906467113,0.0002482012906467113,1.0,0.0,0.0,0.0,0.0,0.0003245699448231094,0.00044583147570218456,0.0011918951132300357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3376309132413171,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.821512218706302e-05,3.8953059792356584e-05,0.0010076028212878995,0.0,0.0,0.043593130779392336,0.18181818181818182,0.0,0.0,0.015147278765849582,0.0,0.015147278765849582,0.0,0.015147278765849582,0.015147278765849582,0.015147278765849582,1.0,0.0,0.0,0.0,0.0,0.0006491398896462189,0.0008916629514043691,0.0011918951132300357,0.0,0.0,0.0,0.0,0.0,0.0,0.0006184899067570137,0.0006319133637138701,0.0,0.0,0.0,0.011064750114429941,0.014361835510747111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0054601303367273375,0.0036763425673725625,0.09874507648621415,0.0,0.0,0.22239279920739763,0.5240641625344352,0.8223655516051863,0.013684667607926342,0.9502359412268944,0.0,0.9502359412268944,0.0,0.9502359412268944,0.9502359412268944,0.9502359412268944,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.022719896137617657,0.016495764600980827,0.04052443384982121,0.0,0.0,0.0,0.0,0.0,0.0,0.0027485882790257974,0.0018500823393460522,0.044147429456807497,0.0,0.0,0.0061732355128738346,0.008241677799176861,0.017858397395550795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.25912632124442336,0.2584057456943589,0.2971512320234496,0.0,0.0,0.9753353467635403,0.22341597245179065,0.8223655516051863,0.22058845197452187,0.9941237694436011,0.0,0.9941237694436011,0.0,0.9941237694436011,0.9941237694436011,0.9941237694436011,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.270042194092827,0.26437806509139544,0.2860548271752086,0.0,0.0,0.16216216216216217,0.136986301369863,0.3333333333333333,0.0,0.12758775169897446,0.1275291973661097,0.13028550273026637,0.03550295,0.0,0.07013408388742273,0.12954654497273432,0.12362816068986841,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0028394993818993495,0.0026110354018391746,0.015663643858202802,0.0,0.0,0.584412145310436,0.3140495867768595,0.8223655516051863,0.22058845197452187,0.9741260654555404,0.0,0.9741260654555404,0.0,0.9741260654555404,0.9741260654555404,0.9741260654555404,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.005842259006815969,0.004458314757021846,0.01072705601907032,0.0,0.0,0.013513513513513514,0.0,0.16666666666666666,0.0,0.0012933778626709298,0.0011856712917885717,0.00625597816622154,0.125,0.0,0.0015484726338611783,0.002009888614566512,0.004223132201969649,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.017508316131703207,0.01730460171381659,0.02903728130438765,0.0,0.0,0.9221865455746368,0.22781172451790635,0.8223655516051863,0.22058845197452187,0.33852556033291376,0.0,0.33852556033291376,0.0,0.33852556033291376,0.33852556033291376,0.33852556033291376,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.020772476468679,0.01872492197949175,0.027413587604290822,0.0,0.0,0.013513513513513514,0.0,0.16666666666666666,0.0,0.02476593551229437,0.02452374357149448,0.035924891931566894,0.037878800000000004,0.0,0.01584290259782957,0.026347350981772866,0.0334188253294116,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.027991418968017996,0.027370426482886914,0.061097371072638997,0.0,0.0,0.8628388461030383,0.25639055371900826,0.8223655516051863,0.22058845197452187,0.8790933712855308,0.0,0.8790933712855308,0.0,0.8790933712855308,0.8790933712855308,0.8790933712855308,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.036676403765011356,0.0316540347748551,0.05125148986889153,0.0,0.0,0.06756756756756757,0.0273972602739726,0.5,0.0,0.015396523499888706,0.015085803406153927,0.02971298123372542,0.105042025,0.0,0.010771835195696723,0.017322382013538525,0.02456824988147762,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.008546290961834093,0.008135877715721749,0.030777686177521295,0.0,0.0,0.5518193718626155,0.34710743801652894,0.8223655516051863,0.22058845197452187,0.8479430093036484,0.0,0.8479430093036484,0.0,0.8479430093036484,0.8479430093036484,0.8479430093036484,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.01557935735150925,0.014712438698172091,0.01907032181168057,0.0,0.0,0.0,0.0,0.0,0.0,0.004791837980607964,0.004572584430530808,0.014893977535597869,0.0,0.0,0.004743739177780686,0.008209711148478474,0.00909671437761019,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
0.013948519598278003,0.013276501212561534,0.049708405850203044,0.0,0.0,0.5402906208718626,0.3203463168044077,0.8223655516051863,0.22058845197452187,0.9259480149296777,0.0,0.9259480149296777,0.0,0.9259480149296777,0.9259480149296777,0.9259480149296777,1.0,0.0,0.20652372231945562,0.0,0.22095061831037335,0.02661473547549497,0.02452073116362015,0.033373063170441,0.0,0.0,0.0,0.0,0.0,0.0,0.0072528390337534415,0.006918448496542307,0.022659932418859403,0.0,0.0,0.007421189216527919,0.012686790193024445,0.014994679412805297,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
